nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;118219;4148;114071;35160;1087;34073;154401;1022;5235;3,41%;148144;21,9282109737;964,017174006;985,945384979
1;118219;4835;113384;35160;1104;34056;154401;1022;5939;3,87%;147440;22,1246180534;912,386940002;934,511558056
2;118219;4512;113707;35160;1132;34028;154401;1022;5644;3,68%;147735;19,3397879601;878,093649149;897,433437109
3;118219;4957;113262;35160;1135;34025;154401;1022;6092;3,97%;147287;19,230670929;890,51969099;909,750361919
4;118219;5069;113150;35160;1156;34004;154401;1022;6225;4,06%;147154;19,8062129021;892,854861975;912,661074877
5;118219;4450;113769;35160;1123;34037;154401;1022;5573;3,63%;147806;19,9716470242;907,297069073;927,268716097
6;118219;4700;113519;35160;1089;34071;154401;1022;5789;3,77%;147590;20,0112521648;827,201531887;847,212784052
7;118219;4923;113296;35160;1169;33991;154401;1022;6092;3,97%;147287;20,2551350594;744,799798012;765,054933071
8;118219;4501;113718;35160;1153;34007;154401;1022;5654;3,69%;147725;20,620677948;920,543662071;941,164340019
9;118219;4931;113288;35160;1122;34038;154401;1022;6053;3,95%;147326;20,3504600525;924,096600056;944,447060108
10;118219;4710;113509;35160;1131;34029;154401;1022;5841;3,81%;147538;20,699311018;925,930664062;946,62997508
11;118219;4641;113578;35160;1157;34003;154401;1022;5798;3,78%;147581;20,4701631069;1016,83701205;1037,30717516
12;118219;4669;113550;35160;1059;34101;154401;1022;5728;3,73%;147651;20,6662330627;741,657088995;762,323322058
13;118219;4606;113613;35160;1137;34023;154401;1022;5743;3,74%;147636;21,1035830975;927,510102034;948,613685131
14;118219;4699;113520;35160;1037;34123;154401;1022;5736;3,74%;147643;20,7303469181;935,970519066;956,700865984
15;118219;4932;113287;35160;1093;34067;154401;1022;6025;3,93%;147354;20,8132331371;927,35907197;948,172305107
16;118219;4704;113515;35160;1157;34003;154401;1022;5861;3,82%;147518;20,7624411583;927,003297806;947,765738964
17;118219;4713;113506;35160;1102;34058;154401;1022;5815;3,79%;147564;20,3940119743;742,334561825;762,728573799
18;118219;4609;113610;35160;1103;34057;154401;1022;5712;3,72%;147667;20,3977110386;749,957917929;770,355628967
19;118219;4393;113826;35160;1133;34027;154401;1022;5526;3,60%;147853;20,6849548817;1031,97791505;1052,66286993
20;118219;4643;113576;35160;1111;34049;154401;1022;5754;3,75%;147625;21,2087290287;843,098974943;864,307703972
21;118219;4950;113269;35160;1119;34041;154401;1022;6069;3,96%;147310;20,9042539597;756,028967857;776,933221817
22;118219;5203;113016;35160;1227;33933;154401;1022;6430;4,19%;146949;20,603728056;1130,1396718;1150,74339986
23;118219;4767;113452;35160;1103;34057;154401;1022;5870;3,83%;147509;20,7490420341;844,829159021;865,578201056
24;118219;4761;113458;35160;1098;34062;154401;1022;5859;3,82%;147520;21,0696930885;942,234216928;963,303910017
25;118219;4534;113685;35160;1185;33975;154401;1022;5719;3,73%;147660;20,487404108;748,234596014;768,722000122
26;118219;4054;114165;35160;1100;34060;154401;1022;5154;3,36%;148225;20,884403944;900,792710066;921,67711401
27;118219;4619;113600;35160;1098;34062;154401;1022;5717;3,73%;147662;19,449627161;880,783967018;900,233594179
28;118219;3999;114220;35160;1111;34049;154401;1022;5110;3,33%;148269;19,3361198902;871,031790018;890,367909908
29;118219;4702;113517;35160;1111;34049;154401;1022;5813;3,79%;147566;18,9877622128;791,335613012;810,323375225
;;;;;;;;;5786;3,77%;;;;903,7
;;;;;;;;;287;0,19%;;;;93,46
