nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;190781;928;189853;224795;4845;219950;419200;3624;5773;1,39%;409803;74,1674098969;1145,05205607;1219,21946597
1;190781;1009;189772;224795;3935;220860;419200;3624;4944;1,19%;410632;47,6828570366;995,841817856;1043,52467489
2;190781;994;189787;224795;4593;220202;419200;3624;5587;1,34%;409989;47,1088399887;994,50575614;1041,61459613
3;190781;950;189831;224795;3483;221312;419200;3624;4433;1,07%;411143;47,0645217896;1148,1434381;1195,20795989
4;190781;1072;189709;224795;3842;220953;419200;3624;4914;1,18%;410662;47,0498559475;1071,22026205;1118,270118
5;190781;939;189842;224795;4318;220477;419200;3624;5257;1,26%;410319;47,1538770199;1145,66173482;1192,81561184
6;190781;965;189816;224795;3946;220849;419200;3624;4911;1,18%;410665;47,1511511803;1076,84502196;1123,99617314
7;190781;1144;189637;224795;4254;220541;419200;3624;5398;1,30%;410178;47,2700378895;995,016078949;1042,28611684
8;190781;973;189808;224795;5004;219791;419200;3624;5977;1,44%;409599;47,194411993;1069,62846804;1116,82288003
9;190781;940;189841;224795;3281;221514;419200;3624;4221;1,02%;411355;47,0886719227;1145,35802603;1192,44669795
10;190781;950;189831;224795;4682;220113;419200;3624;5632;1,36%;409944;47,099159956;1146,92299795;1194,02215791
11;190781;1056;189725;224795;4284;220511;419200;3624;5340;1,28%;410236;47,1302161217;993,008445978;1040,1386621
12;190781;893;189888;224795;4232;220563;419200;3624;5125;1,23%;410451;47,1170659065;1142,83460808;1189,95167398
13;190781;1033;189748;224795;3970;220825;419200;3624;5003;1,20%;410573;47,1915640831;1149,84814787;1197,03971195
14;190781;1022;189759;224795;4594;220201;419200;3624;5616;1,35%;409960;47,2368731499;1069,76944399;1117,00631714
15;190781;1039;189742;224795;5633;219162;419200;3624;6672;1,61%;408904;47,1036570072;998,557868958;1045,66152596
16;190781;1146;189635;224795;3780;221015;419200;3624;4926;1,19%;410650;47,165304184;1225,28734899;1272,45265317
17;190781;973;189808;224795;4633;220162;419200;3624;5606;1,35%;409970;47,1681828499;1149,17264795;1196,3408308
18;190781;846;189935;224795;4406;220389;419200;3624;5252;1,26%;410324;47,1127281189;1068,38241291;1115,49514103
19;190781;884;189897;224795;5219;219576;419200;3624;6103;1,47%;409473;46,9475171566;1144,22073078;1191,16824794
20;190781;979;189802;224795;4371;220424;419200;3624;5350;1,29%;410226;47,1594159603;1066,9544189;1114,11383486
21;190781;1024;189757;224795;4218;220577;419200;3624;5242;1,26%;410334;47,1531131268;999,393851995;1046,54696512
22;190781;1244;189537;224795;3532;221263;419200;3624;4776;1,15%;410800;47,0431258678;1070,37596607;1117,41909194
23;190781;1038;189743;224795;4607;220188;419200;3624;5645;1,36%;409931;46,9549629688;1074,00374103;1120,95870399
24;190781;886;189895;224795;5539;219256;419200;3624;6425;1,55%;409151;47,0931909084;1068,95133305;1116,04452395
25;190781;1036;189745;224795;3485;221310;419200;3624;4521;1,09%;411055;47,0060310364;1229,06517887;1276,07120991
26;190781;870;189911;224795;4108;220687;419200;3624;4978;1,20%;410598;47,2305288315;1145,01847315;1192,24900198
27;190781;1020;189761;224795;4198;220597;419200;3624;5218;1,26%;410358;47,0735070705;1147,72290897;1194,79641604
28;190781;950;189831;224795;3838;220957;419200;3624;4788;1,15%;410788;47,1165978909;1144,86141396;1191,97801185
29;190781;1041;189740;224795;3785;221010;419200;3624;4826;1,16%;410750;46,9417378902;1145,10007;1192,04180789
;;;;;;;;;5282;1,27%;;;;1146,92
;;;;;;;;;559;0,13%;;;;68,42
