nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;163141;11083;152058;21247;1655;19592;187500;3112;12738;6,91%;171650;21,7667810917;1214,59079194;1236,35757303
1;163141;11143;151998;21247;1535;19712;187500;3112;12678;6,88%;171710;21,2967441082;1063,77680707;1085,07355118
2;163141;11855;151286;21247;1571;19676;187500;3112;13426;7,28%;170962;21,4648840427;1291,00730586;1312,4721899
3;163141;11688;151453;21247;1472;19775;187500;3112;13160;7,14%;171228;22,0810761452;1296,41711783;1318,49819398
4;163141;11458;151683;21247;1605;19642;187500;3112;13063;7,08%;171325;21,5658938885;1135,92367697;1157,48957086
5;163141;11780;151361;21247;1480;19767;187500;3112;13260;7,19%;171128;21,6739659309;1056,95689917;1078,6308651
6;163141;11121;152020;21247;1549;19698;187500;3112;12670;6,87%;171718;21,615904808;1070,92819715;1092,54410195
7;163141;11709;151432;21247;1614;19633;187500;3112;13323;7,23%;171065;21,7228431702;1059,15509796;1080,87794113
8;163141;12213;150928;21247;1540;19707;187500;3112;13753;7,46%;170635;21,6042029858;1294,35844898;1315,96265197
9;163141;10998;152143;21247;1556;19691;187500;3112;12554;6,81%;171834;21,5883719921;1128,92177486;1150,51014686
10;163141;11352;151789;21247;1532;19715;187500;3112;12884;6,99%;171504;21,4775710106;1212,99855304;1234,47612405
11;163141;10698;152443;21247;1626;19621;187500;3112;12324;6,68%;172064;21,7993900776;909,155237913;930,954627991
12;163141;11847;151294;21247;1575;19672;187500;3112;13422;7,28%;170966;21,721555233;1212,23608589;1233,95764112
13;163141;11697;151444;21247;1548;19699;187500;3112;13245;7,18%;171143;21,7710289955;1216,1000998;1237,8711288
14;163141;12745;150396;21247;1613;19634;187500;3112;14358;7,79%;170030;21,6817770004;1215,60560799;1237,28738499
15;163141;11290;151851;21247;1647;19600;187500;3112;12937;7,02%;171451;21,6900010109;1140,41379499;1162,10379601
16;163141;11920;151221;21247;1586;19661;187500;3112;13506;7,32%;170882;21,5467531681;1209,40752578;1230,95427895
17;163141;11368;151773;21247;1572;19675;187500;3112;12940;7,02%;171448;21,8828320503;1211,42920899;1233,31204104
18;163141;11498;151643;21247;1560;19687;187500;3112;13058;7,08%;171330;21,7115321159;987,728644848;1009,44017696
19;163141;11241;151900;21247;1632;19615;187500;3112;12873;6,98%;171515;21,8836479187;1148,94223595;1170,82588387
20;163141;10838;152303;21247;1637;19610;187500;3112;12475;6,77%;171913;22,0834441185;990,462246895;1012,54569101
21;163141;10816;152325;21247;1632;19615;187500;3112;12448;6,75%;171940;22,0535349846;1059,11293602;1081,166471
22;163141;11359;151782;21247;1589;19658;187500;3112;12948;7,02%;171440;21,5784368515;1134,34177613;1155,92021298
23;163141;11159;151982;21247;1526;19721;187500;3112;12685;6,88%;171703;22,153387785;1062,70635915;1084,85974693
24;163141;10749;152392;21247;1600;19647;187500;3112;12349;6,70%;172039;21,7499849796;1074,48952603;1096,23951101
25;163141;11881;151260;21247;1600;19647;187500;3112;13481;7,31%;170907;22,0481410027;1066,82673788;1088,87487888
26;163141;11433;151708;21247;1581;19666;187500;3112;13014;7,06%;171374;21,7546041012;1067,898453;1089,6530571
27;163141;11499;151642;21247;1597;19650;187500;3112;13096;7,10%;171292;21,5530707836;1148,14676523;1169,69983602
28;163141;10918;152223;21247;1568;19679;187500;3112;12486;6,77%;171902;21,861317873;1063,8108871;1085,67220497
29;163141;12247;150894;21247;1529;19718;187500;3112;13776;7,47%;170612;21,8056809902;1299,73321891;1321,5388999
;;;;;;;;;13031;7,07%;;;;1156,53
;;;;;;;;;472;0,26%;;;;99,9
