nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;176093;1896;174197;9125;408;8717;187500;2282;2304;1,24%;182914;19,9746530056;874,456483126;894,431136131
1;176093;1834;174259;9125;414;8711;187500;2282;2248;1,21%;182970;23,1450169086;881,282013893;904,427030802
2;176093;2565;173528;9125;465;8660;187500;2282;3030;1,64%;182188;21,8406381607;879,542294025;901,382932186
3;176093;2455;173638;9125;323;8802;187500;2282;2778;1,50%;182440;21,3059751987;883,763278008;905,069253206
4;176093;2046;174047;9125;412;8713;187500;2282;2458;1,33%;182760;21,4855499268;968,356373072;989,841922998
5;176093;1780;174313;9125;469;8656;187500;2282;2249;1,21%;182969;21,5747280121;887,984297991;909,559026003
6;176093;1852;174241;9125;437;8688;187500;2282;2289;1,24%;182929;21,3282790184;888,254400015;909,582679033
7;176093;1852;174241;9125;407;8718;187500;2282;2259;1,22%;182959;22,0316050053;889,110816956;911,142421961
8;176093;2192;173901;9125;445;8680;187500;2282;2637;1,42%;182581;21,52414608;888,03340292;909,557549
9;176093;2097;173996;9125;405;8720;187500;2282;2502;1,35%;182716;21,8917019367;814,8329072;836,724609137
10;176093;1869;174224;9125;420;8705;187500;2282;2289;1,24%;182929;22,0236299038;893,504786015;915,528415918
11;176093;2204;173889;9125;395;8730;187500;2282;2599;1,40%;182619;21,786812067;819,830163002;841,616975069
12;176093;1946;174147;9125;487;8638;187500;2282;2433;1,31%;182785;22,3880059719;833,677577972;856,065583944
13;176093;1870;174223;9125;439;8686;187500;2282;2309;1,25%;182909;21,8947639465;897,857028961;919,751792908
14;176093;2438;173655;9125;449;8676;187500;2282;2887;1,56%;182331;21,6528389454;811,186604023;832,839442968
15;176093;1806;174287;9125;368;8757;187500;2282;2174;1,17%;183044;21,8384768963;737,272169113;759,110646009
16;176093;1868;174225;9125;422;8703;187500;2282;2290;1,24%;182928;22,1639630795;912,242133856;934,406096935
17;176093;2231;173862;9125;411;8714;187500;2282;2642;1,43%;182576;21,779763937;903,227355957;925,007119894
18;176093;2234;173859;9125;472;8653;187500;2282;2706;1,46%;182512;22,1515100002;899,227797985;921,379307985
19;176093;1770;174323;9125;401;8724;187500;2282;2171;1,17%;183047;21,7080528736;940,225960016;961,93401289
20;176093;2318;173775;9125;372;8753;187500;2282;2690;1,45%;182528;24,8539960384;1134,70163703;1159,55563307
21;176093;2013;174080;9125;423;8702;187500;2282;2436;1,32%;182782;28,8011460304;988,658020973;1017,459167
22;176093;1719;174374;9125;385;8740;187500;2282;2104;1,14%;183114;27,6395089626;955,274209023;982,913717985
23;176093;1720;174373;9125;405;8720;187500;2282;2125;1,15%;183093;24,3393781185;875,472672939;899,812051058
24;176093;2405;173688;9125;455;8670;187500;2282;2860;1,54%;182358;19,0022530556;861,95783186;880,960084915
25;176093;2121;173972;9125;328;8797;187500;2282;2449;1,32%;182769;19,2165551186;705,119549036;724,336104155
26;176093;1910;174183;9125;432;8693;187500;2282;2342;1,26%;182876;19,2760307789;711,74044013;731,016470909
27;176093;2386;173707;9125;378;8747;187500;2282;2764;1,49%;182454;19,1457519531;704,752310038;723,898061991
28;176093;2332;173761;9125;427;8698;187500;2282;2759;1,49%;182459;19,3170571327;775,541553974;794,858611107
29;176093;1621;174472;9125;469;8656;187500;2282;2090;1,13%;183128;19,2223699093;706,172500134;725,394870043
;;;;;;;;;2462;1,33%;;;;885,99
;;;;;;;;;261;0,14%;;;;95,31
