nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;83128;4694;78434;96702;3639;93063;187500;7670;8333;4,63%;171497;27,5752031803;1190,25663185;1217,83183503
1;83128;4284;78844;96702;3887;92815;187500;7670;8171;4,54%;171659;26,6688308716;1182,24680805;1208,91563892
2;83128;4597;78531;96702;3523;93179;187500;7670;8120;4,52%;171710;27,3974230289;988,623100042;1016,02052307
3;83128;4274;78854;96702;3780;92922;187500;7670;8054;4,48%;171776;26,92903018;1187,14775586;1214,07678604
4;83128;4609;78519;96702;3565;93137;187500;7670;8174;4,55%;171656;26,981495142;1009,40449905;1036,3859942
5;83128;4103;79025;96702;3869;92833;187500;7670;7972;4,43%;171858;27,0576820374;1197,93253779;1224,99021983
6;83128;4343;78785;96702;3748;92954;187500;7670;8091;4,50%;171739;26,9771010876;1094,35722494;1121,33432603
7;83128;4454;78674;96702;3717;92985;187500;7670;8171;4,54%;171659;26,719137907;1293,00497913;1319,72411704
8;83128;4686;78442;96702;3700;93002;187500;7670;8386;4,66%;171444;27,1394290924;1192,28188205;1219,42131114
9;83128;4574;78554;96702;3584;93118;187500;7670;8158;4,54%;171672;27,3718039989;1202,29213691;1229,66394091
10;83128;4346;78782;96702;3674;93028;187500;7670;8020;4,46%;171810;26,7599270344;1200,91395116;1227,67387819
11;83128;4410;78718;96702;3835;92867;187500;7670;8245;4,58%;171585;27,3219749928;1206,00528812;1233,32726312
12;83128;4299;78829;96702;3737;92965;187500;7670;8036;4,47%;171794;27,5539019108;1200,43124104;1227,98514295
13;83128;4282;78846;96702;3872;92830;187500;7670;8154;4,53%;171676;27,9838008881;1312,46271801;1340,4465189
14;83128;4458;78670;96702;3687;93015;187500;7670;8145;4,53%;171685;26,848555088;1199,75307178;1226,60162687
15;83128;4287;78841;96702;3860;92842;187500;7670;8147;4,53%;171683;27,5214009285;1104,73890996;1132,26031089
16;83128;4557;78571;96702;3778;92924;187500;7670;8335;4,63%;171495;27,8120009899;1200,19440198;1228,00640297
17;83128;4568;78560;96702;3702;93000;187500;7670;8270;4,60%;171560;27,101788044;1106,65859509;1133,76038313
18;83128;4173;78955;96702;3915;92787;187500;7670;8088;4,50%;171742;27,4164209366;1121,51266289;1148,92908382
19;83128;4337;78791;96702;3897;92805;187500;7670;8234;4,58%;171596;27,0136609077;1006,65519309;1033,668854
20;83128;4653;78475;96702;3666;93036;187500;7670;8319;4,63%;171511;27,2274417877;1008,57534504;1035,80278683
21;83128;4654;78474;96702;3677;93025;187500;7670;8331;4,63%;171499;27,3755309582;1011,84884;1039,22437096
22;83128;4140;78988;96702;4074;92628;187500;7670;8214;4,57%;171616;27,6304991245;1123,96379495;1151,59429407
23;83128;4816;78312;96702;3694;93008;187500;7670;8510;4,73%;171320;27,5240190029;1014,6366539;1042,1606729
24;83128;4483;78645;96702;3718;92984;187500;7670;8201;4,56%;171629;27,077575922;1210,03031015;1237,10788608
25;83128;4459;78669;96702;3767;92935;187500;7670;8226;4,57%;171604;26,8703010082;1205,89981794;1232,77011895
26;83128;4563;78565;96702;3793;92909;187500;7670;8356;4,65%;171474;27,2605850697;1105,17677188;1132,43735695
27;83128;4492;78636;96702;3927;92775;187500;7670;8419;4,68%;171411;26,951693058;1211,10096788;1238,05266094
28;83128;4406;78722;96702;3983;92719;187500;7670;8389;4,66%;171441;27,7080481052;1014,95197582;1042,66002393
29;83128;4305;78823;96702;3813;92889;187500;7670;8118;4,51%;171712;27,7463002205;1473,62551379;1501,37181401
;;;;;;;;;8213;4,57%;;;;1179,81
;;;;;;;;;130;0,07%;;;;108,06
