nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;231749;2839;228910;72509;299;72210;307200;2942;3138;1,03%;301120;61,2459030151;1401,47390509;1462,7198081
1;231749;2782;228967;72509;414;72095;307200;2942;3196;1,05%;301062;51,3477170467;1312,30051398;1363,64823103
2;231749;2943;228806;72509;238;72271;307200;2942;3181;1,05%;301077;51,1548089981;1190,12255979;1241,27736878
3;231749;2791;228958;72509;327;72182;307200;2942;3118;1,02%;301140;51,2276730537;1284,64581394;1335,873487
4;231749;2920;228829;72509;324;72185;307200;2942;3244;1,07%;301014;51,3036909103;1396,61431694;1447,91800785
5;231749;2885;228864;72509;251;72258;307200;2942;3136;1,03%;301122;50,875633955;1292,44892716;1343,32456112
6;231749;2933;228816;72509;302;72207;307200;2942;3235;1,06%;301023;50,9575550556;1285,34519911;1336,30275416
7;231749;2702;229047;72509;306;72203;307200;2942;3008;0,99%;301250;50,5896208286;1181,35038805;1231,94000888
8;231749;2773;228976;72509;271;72238;307200;2942;3044;1,00%;301214;50,8948600292;1184,23720908;1235,13206911
9;231749;2955;228794;72509;275;72234;307200;2942;3230;1,06%;301028;51,0156471729;1408,92471385;1459,94036102
10;231749;2719;229030;72509;304;72205;307200;2942;3023;0,99%;301235;50,5688309669;1292,86041403;1343,429245
11;231749;2722;229027;72509;294;72215;307200;2942;3016;0,99%;301242;51,152118206;1186,04311585;1237,19523406
12;231749;2726;229023;72509;331;72178;307200;2942;3057;1,00%;301201;51,4188888073;1290,42745614;1341,84634495
13;231749;2578;229171;72509;299;72210;307200;2942;2877;0,95%;301381;51,0905849934;1281,51329279;1332,60387778
14;231749;2784;228965;72509;281;72228;307200;2942;3065;1,01%;301193;76,2536358833;1178,05499005;1254,30862594
15;231749;2845;228904;72509;310;72199;307200;2942;3155;1,04%;301103;52,6082649231;1189,75411105;1242,36237597
16;231749;2569;229180;72509;399;72110;307200;2942;2968;0,98%;301290;54,3763070107;1175,31167102;1229,68797803
17;231749;2923;228826;72509;250;72259;307200;2942;3173;1,04%;301085;56,4692320824;1287,09574699;1343,56497908
18;231749;2782;228967;72509;306;72203;307200;2942;3088;1,01%;301170;57,2244539261;1196,96021199;1254,18466592
19;231749;2772;228977;72509;313;72196;307200;2942;3085;1,01%;301173;58,2229759693;1180,08761692;1238,31059289
20;231749;2602;229147;72509;354;72155;307200;2942;2956;0,97%;301302;56,0571091175;1297,71149397;1353,76860309
21;231749;2783;228966;72509;342;72167;307200;2942;3125;1,03%;301133;50,4959299564;1187,14037013;1237,63630009
22;231749;2703;229046;72509;318;72191;307200;2942;3021;0,99%;301237;51,6020112038;1183,52150893;1235,12352014
23;231749;2789;228960;72509;317;72192;307200;2942;3106;1,02%;301152;50,6607830524;1321,48856711;1372,14935017
24;231749;2973;228776;72509;335;72174;307200;2942;3308;1,09%;300950;71,0330750942;1700,845397;1771,87847209
25;231749;2856;228893;72509;294;72215;307200;2942;3150;1,04%;301108;66,6822650433;1278,9352591;1345,61752415
26;231749;2742;229007;72509;369;72140;307200;2942;3111;1,02%;301147;51,0925450325;1198,36568689;1249,45823193
27;231749;2879;228870;72509;317;72192;307200;2942;3196;1,05%;301062;50,2612500191;1395,86268997;1446,12393999
28;231749;2668;229081;72509;249;72260;307200;2942;2917;0,96%;301341;54,4939670563;1282,52712202;1337,02108908
29;231749;2820;228929;72509;305;72204;307200;2942;3125;1,03%;301133;62,9226639271;1169,25978208;1232,182446
;;;;;;;;;3102;1,02%;;;;1328,55
;;;;;;;;;101;0,03%;;;;112,64
