nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;122609;13873;108736;55050;1623;53427;187500;9841;15496;8,72%;162163;20,908372879;1604,3899529;1625,29832578
1;122609;13260;109349;55050;1634;53416;187500;9841;14894;8,38%;162765;29,8299269676;1330,38200903;1360,211936
2;122609;14045;108564;55050;1552;53498;187500;9841;15597;8,78%;162062;22,8879189491;1175,67463303;1198,56255198
3;122609;13929;108680;55050;1589;53461;187500;9841;15518;8,73%;162141;22,9263820648;1072,78590989;1095,71229196
4;122609;13396;109213;55050;1467;53583;187500;9841;14863;8,37%;162796;22,7887980938;1406,84956288;1429,63836098
5;122609;13697;108912;55050;1524;53526;187500;9841;15221;8,57%;162438;22,8366229534;1166,42731404;1189,263937
6;122609;13279;109330;55050;1457;53593;187500;9841;14736;8,29%;162923;22,6665420532;1169,76774192;1192,43428397
7;122609;13394;109215;55050;1586;53464;187500;9841;14980;8,43%;162679;22,7916631699;1282,15140486;1304,94306803
8;122609;13822;108787;55050;1403;53647;187500;9841;15225;8,57%;162434;22,3792009354;1277,25527406;1299,63447499
9;122609;13435;109174;55050;1553;53497;187500;9841;14988;8,44%;162671;22,6089651585;1166,52151489;1189,13048005
10;122609;13335;109274;55050;1503;53547;187500;9841;14838;8,35%;162821;22,6144170761;1167,94154692;1190,55596399
11;122609;13982;108627;55050;1665;53385;187500;9841;15647;8,81%;162012;22,4158449173;1042,62416601;1065,04001093
12;122609;13456;109153;55050;1464;53586;187500;9841;14920;8,40%;162739;22,6403648853;1057,70386004;1080,34422493
13;122609;14037;108572;55050;1651;53399;187500;9841;15688;8,83%;161971;22,7481050491;1274,83684492;1297,58494997
14;122609;13100;109509;55050;1597;53453;187500;9841;14697;8,27%;162962;22,9125008583;1157,99852014;1180,91102099
15;122609;13185;109424;55050;1517;53533;187500;9841;14702;8,28%;162957;22,3724000454;1042,1013689;1064,47376895
16;122609;13322;109287;55050;1574;53476;187500;9841;14896;8,38%;162763;22,4170229435;1034,63997388;1057,05699682
17;122609;13425;109184;55050;1457;53593;187500;9841;14882;8,38%;162777;23,7508831024;1035,86805701;1059,61894011
18;122609;13608;109001;55050;1536;53514;187500;9841;15144;8,52%;162515;22,9933350086;1155,86448479;1178,8578198
19;122609;13962;108647;55050;1686;53364;187500;9841;15648;8,81%;162011;22,4187180996;1150,95970106;1173,37841916
20;122609;13912;108697;55050;1615;53435;187500;9841;15527;8,74%;162132;22,5675418377;1374,2287631;1396,79630494
21;122609;13739;108870;55050;1548;53502;187500;9841;15287;8,60%;162372;22,620046854;1161,47649097;1184,09653783
22;122609;13308;109301;55050;1498;53552;187500;9841;14806;8,33%;162853;23,0236480236;1148,29536796;1171,31901598
23;122609;13259;109350;55050;1445;53605;187500;9841;14704;8,28%;162955;22,3405711651;1143,59452701;1165,93509817
24;122609;13838;108771;55050;1583;53467;187500;9841;15421;8,68%;162238;22,4906210899;1036,68588185;1059,17650294
25;122609;13846;108763;55050;1639;53411;187500;9841;15485;8,72%;162174;22,9644720554;1387,3638401;1410,32831216
26;122609;13790;108819;55050;1686;53364;187500;9841;15476;8,71%;162183;22,2710001469;1274,36680484;1296,63780499
27;122609;13088;109521;55050;1672;53378;187500;9841;14760;8,31%;162899;22,2621669769;1027,48329616;1049,74546313
28;122609;13260;109349;55050;1520;53530;187500;9841;14780;8,32%;162879;19,285574913;1004,86455107;1024,15012598
29;122609;13542;109067;55050;1455;53595;187500;9841;14997;8,44%;162662;19,8525891304;1085,77889299;1105,63148212
;;;;;;;;;15127;8,51%;;;;1203,22
;;;;;;;;;342;0,19%;;;;140,2
