nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;133669;1160;132509;27665;402;27263;166500;5166;1562;0,97%;159772;29,9844968319;700,346947193;730,331444025
1;133669;1202;132467;27665;350;27315;166500;5166;1552;0,96%;159782;30,143903017;874,16536808;904,309271097
2;133669;1126;132543;27665;442;27223;166500;5166;1568;0,97%;159766;30,361410141;791,501337051;821,862747192
3;133669;1050;132619;27665;400;27265;166500;5166;1450;0,90%;159884;29,7366900444;703,611619949;733,348309994
4;133669;1178;132491;27665;396;27269;166500;5166;1574;0,98%;159760;30,0334000587;682,770510912;712,803910971
5;133669;1081;132588;27665;426;27239;166500;5166;1507;0,93%;159827;26,2892730236;772,36498785;798,654260874
6;133669;957;132712;27665;398;27267;166500;5166;1355;0,84%;159979;26,2628970146;621,560414076;647,82331109
7;133669;1028;132641;27665;412;27253;166500;5166;1440;0,89%;159894;27,0187389851;737,611516953;764,630255938
8;133669;1108;132561;27665;386;27279;166500;5166;1494;0,93%;159840;29,3234140873;784,824414015;814,147828102
9;133669;1056;132613;27665;459;27206;166500;5166;1515;0,94%;159819;30,7026560307;700,508358955;731,211014986
10;133669;921;132748;27665;427;27238;166500;5166;1348;0,84%;159986;29,7690320015;700,451443911;730,220475912
11;133669;975;132694;27665;473;27192;166500;5166;1448;0,90%;159886;29,7948570251;871,886812925;901,68166995
12;133669;1059;132610;27665;395;27270;166500;5166;1454;0,90%;159880;30,9154338837;702,84890604;733,764339924
13;133669;1086;132583;27665;413;27252;166500;5166;1499;0,93%;159835;30,785378933;704,178083181;734,963462114
14;133669;1020;132649;27665;454;27211;166500;5166;1474;0,91%;159860;31,0514438152;703,893532038;734,944975853
15;133669;1021;132648;27665;432;27233;166500;5166;1453;0,90%;159881;30,8554739952;788,940279007;819,795753002
16;133669;979;132690;27665;348;27317;166500;5166;1327;0,82%;160007;32,1500759125;708,393390179;740,543466091
17;133669;957;132712;27665;414;27251;166500;5166;1371;0,85%;159963;30,060749054;785,797930002;815,858679056
18;133669;1075;132594;27665;381;27284;166500;5166;1456;0,90%;159878;29,9054558277;703,53918004;733,444635868
19;133669;852;132817;27665;418;27247;166500;5166;1270;0,79%;160064;30,9027030468;701,417373896;732,320076942
20;133669;1105;132564;27665;383;27282;166500;5166;1488;0,92%;159846;29,3969290257;966,282337904;995,67926693
21;133669;1068;132601;27665;404;27261;166500;5166;1472;0,91%;159862;30,0335540771;871,274948835;901,308502913
22;133669;1283;132386;27665;375;27290;166500;5166;1658;1,03%;159676;30,1002509594;788,071809053;818,172060013
23;133669;1053;132616;27665;435;27230;166500;5166;1488;0,92%;159846;29,8181128502;790,641324997;820,459437847
24;133669;1015;132654;27665;474;27191;166500;5166;1489;0,92%;159845;29,7297611237;787,483388901;817,213150024
25;133669;1032;132637;27665;417;27248;166500;5166;1449;0,90%;159885;29,9472868443;707,418052197;737,365339041
26;133669;1089;132580;27665;428;27237;166500;5166;1517;0,94%;159817;29,4701719284;706,853816986;736,323988914
27;133669;1062;132607;27665;400;27265;166500;5166;1462;0,91%;159872;29,6601338387;813,948210001;843,60834384
28;133669;1156;132513;27665;444;27221;166500;5166;1600;0,99%;159734;39,6701807976;904,260117054;943,930297852
29;133669;1036;132633;27665;479;27186;166500;5166;1515;0,94%;159819;38,6849958897;1112,63557506;1151,32057095
;;;;;;;;;1475;0,91%;;;;803,4
;;;;;;;;;83;0,05%;;;;102,07
