nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;156462;1376;155086;8246;526;7720;166500;1792;1902;1,15%;162806;16,7709589005;770,655410051;787,426368952
1;156462;1364;155098;8246;525;7721;166500;1792;1889;1,15%;162819;16,6744289398;768,15576911;784,83019805
2;156462;1098;155364;8246;559;7687;166500;1792;1657;1,01%;163051;16,6645729542;771,089682102;787,754255056
3;156462;1312;155150;8246;519;7727;166500;1792;1831;1,11%;162877;16,6219718456;849,147592068;865,769563913
4;156462;1148;155314;8246;485;7761;166500;1792;1633;0,99%;163075;16,5481600761;695,02974081;711,577900887
5;156462;1241;155221;8246;506;7740;166500;1792;1747;1,06%;162961;16,8438270092;768,72556591;785,56939292
6;156462;1308;155154;8246;467;7779;166500;1792;1775;1,08%;162933;16,5307629108;690,017727137;706,548490047
7;156462;1139;155323;8246;529;7717;166500;1792;1668;1,01%;163040;16,508412838;766,015202045;782,523614883
8;156462;1293;155169;8246;446;7800;166500;1792;1739;1,06%;162969;16,6116471291;768,561918974;785,173566103
9;156462;1194;155268;8246;453;7793;166500;1792;1647;1,00%;163061;16,4675798416;618,382519007;634,850098848
10;156462;1037;155425;8246;554;7692;166500;1792;1591;0,97%;163117;16,6215889454;771,072140932;787,693729877
11;156462;1050;155412;8246;507;7739;166500;1792;1557;0,95%;163151;16,4260480404;618,69885993;635,12490797
12;156462;1379;155083;8246;546;7700;166500;1792;1925;1,17%;162783;16,5967419147;918,498887062;935,095628977
13;156462;1095;155367;8246;495;7751;166500;1792;1590;0,97%;163118;16,6929759979;619,246598959;635,939574957
14;156462;1311;155151;8246;470;7776;166500;1792;1781;1,08%;162927;16,5751440525;765,904798985;782,479943037
15;156462;1482;154980;8246;465;7781;166500;1792;1947;1,18%;162761;16,7884321213;694,330314875;711,118746996
16;156462;1253;155209;8246;521;7725;166500;1792;1774;1,08%;162934;16,6055779457;841,165307999;857,770885944
17;156462;1405;155057;8246;426;7820;166500;1792;1831;1,11%;162877;17,1433548927;771,236469984;788,379824877
18;156462;1393;155069;8246;470;7776;166500;1792;1863;1,13%;162845;16,5722169876;791,965610981;808,537827969
19;156462;1424;155038;8246;482;7764;166500;1792;1906;1,16%;162802;18,3207221031;781,934736013;800,255458117
20;156462;1155;155307;8246;541;7705;166500;1792;1696;1,03%;163012;17,0284149647;777,785987854;794,814402819
21;156462;1349;155113;8246;490;7756;166500;1792;1839;1,12%;162869;16,7216820717;944,65735507;961,379037142
22;156462;1299;155163;8246;587;7659;166500;1792;1886;1,15%;162822;16,8993330002;780,22001791;797,11935091
23;156462;1187;155275;8246;579;7667;166500;1792;1766;1,07%;162942;17,1457498074;706,715604067;723,861353874
24;156462;1265;155197;8246;449;7797;166500;1792;1714;1,04%;162994;16,7131409645;778,821588993;795,534729958
25;156462;1241;155221;8246;538;7708;166500;1792;1779;1,08%;162929;16,930907011;778,313820124;795,244727135
26;156462;1232;155230;8246;515;7731;166500;1792;1747;1,06%;162961;16,9379351139;783,385644913;800,323580027
27;156462;1453;155009;8246;502;7744;166500;1792;1955;1,19%;162753;17,1640691757;781,274751902;798,438821077
28;156462;1023;155439;8246;478;7768;166500;1792;1501;0,91%;163207;17,1227600574;856,554114103;873,676874161
29;156462;1465;154997;8246;474;7772;166500;1792;1939;1,18%;162769;16,8672878742;778,867604017;795,734891891
;;;;;;;;;1769;1,07%;;;;783,68
;;;;;;;;;125;0,08%;;;;74,98
