nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;191051;689;190362;113583;250;113333;307200;2566;939;0,31%;303695;33,6941139698;1100,77314305;1134,46725702
1;191051;899;190152;113583;183;113400;307200;2566;1082;0,36%;303552;33,1793260574;1073,02720904;1106,2065351
2;191051;886;190165;113583;215;113368;307200;2566;1101;0,36%;303533;33,2199420929;1081,28449202;1114,50443411
3;191051;791;190260;113583;215;113368;307200;2566;1006;0,33%;303628;33,2044050694;1013,21829581;1046,42270088
4;191051;638;190413;113583;244;113339;307200;2566;882;0,29%;303752;33,1282589436;1082,95444608;1116,08270502
5;191051;691;190360;113583;297;113286;307200;2566;988;0,32%;303646;33,4382660389;1078,46566701;1111,90393305
6;191051;790;190261;113583;239;113344;307200;2566;1029;0,34%;303605;33,6759309769;1083,71319008;1117,38912106
7;191051;624;190427;113583;225;113358;307200;2566;849;0,28%;303785;33,4047369957;1081,52341509;1114,92815208
8;191051;667;190384;113583;271;113312;307200;2566;938;0,31%;303696;33,1009559631;1079,90305305;1113,00400901
9;191051;830;190221;113583;218;113365;307200;2566;1048;0,34%;303586;33,1952011585;1076,62438583;1109,81958699
10;191051;643;190408;113583;227;113356;307200;2566;870;0,29%;303764;33,3217580318;1092,61150002;1125,93325806
11;191051;755;190296;113583;248;113335;307200;2566;1003;0,33%;303631;33,1323800087;1081,12065697;1114,25303698
12;191051;709;190342;113583;250;113333;307200;2566;959;0,31%;303675;33,3374910355;1079,04796696;1112,38545799
13;191051;647;190404;113583;257;113326;307200;2566;904;0,30%;303730;33,0266370773;1139,18004298;1172,20668006
14;191051;581;190470;113583;331;113252;307200;2566;912;0,30%;303722;33,1503350735;1284,20524001;1317,35557508
15;191051;820;190231;113583;222;113361;307200;2566;1042;0,34%;303592;41,2195720673;1165,18401098;1206,40358305
16;191051;750;190301;113583;247;113336;307200;2566;997;0,33%;303637;32,9759681225;1061,55345392;1094,52942204
17;191051;802;190249;113583;257;113326;307200;2566;1059;0,35%;303575;33,0948600769;1199,17726088;1232,27212095
18;191051;775;190276;113583;210;113373;307200;2566;985;0,32%;303649;32,8288428783;1066,46859217;1099,29743505
19;191051;829;190222;113583;205;113378;307200;2566;1034;0,34%;303600;32,8255720139;1075,94184303;1108,76741505
20;191051;836;190215;113583;216;113367;307200;2566;1052;0,35%;303582;32,9319839478;1067,41556597;1100,34754992
21;191051;688;190363;113583;260;113323;307200;2566;948;0,31%;303686;33,6129448414;1071,89846015;1105,51140499
22;191051;701;190350;113583;257;113326;307200;2566;958;0,31%;303676;33,1078708172;1140,37495399;1173,4828248
23;191051;884;190167;113583;181;113402;307200;2566;1065;0,35%;303569;33,1718289852;1065,44596291;1098,61779189
24;191051;969;190082;113583;188;113395;307200;2566;1157;0,38%;303477;32,8525879383;1064,23728395;1097,08987188
25;191051;839;190212;113583;217;113366;307200;2566;1056;0,35%;303578;32,7434959412;1132,91275501;1165,65625095
26;191051;712;190339;113583;253;113330;307200;2566;965;0,32%;303669;32,832542181;1071,6461308;1104,47867298
27;191051;640;190411;113583;279;113304;307200;2566;919;0,30%;303715;32,5330030918;1058,26751399;1090,80051708
28;191051;747;190304;113583;246;113337;307200;2566;993;0,33%;303641;32,4016649723;1134,78404593;1167,18571091
29;191051;660;190391;113583;286;113297;307200;2566;946;0,31%;303688;32,4088768959;1140,18490005;1172,59377694
;;;;;;;;;990;0,32%;;;;1131,46
;;;;;;;;;73;0,02%;;;;51,81
