nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;200951;7240;193711;31161;595;30566;234000;1888;7835;3,38%;224277;28,8946621418;1166,82566786;1195,72033
1;200951;7837;193114;31161;623;30538;234000;1888;8460;3,64%;223652;30,3424959183;1158,68510509;1189,027601
2;200951;7319;193632;31161;557;30604;234000;1888;7876;3,39%;224236;29,3938250542;1129,22430491;1158,61812997
3;200951;7771;193180;31161;588;30573;234000;1888;8359;3,60%;223753;29,3179030418;1123,78610706;1153,10401011
4;200951;6892;194059;31161;629;30532;234000;1888;7521;3,24%;224591;29,2873899937;1125,32080197;1154,60819197
5;200951;7169;193782;31161;636;30525;234000;1888;7805;3,36%;224307;29,3871409893;922,091467142;951,478608131
6;200951;7362;193589;31161;604;30557;234000;1888;7966;3,43%;224146;29,1842401028;1141,27144599;1170,45568609
7;200951;7686;193265;31161;606;30555;234000;1888;8292;3,57%;223820;29,9991910458;1168,71272612;1198,71191716
8;200951;7663;193288;31161;575;30586;234000;1888;8238;3,55%;223874;30,6167268753;1182,77726603;1213,3939929
9;200951;7412;193539;31161;521;30640;234000;1888;7933;3,42%;224179;30,7555909157;978,935134172;1009,69072509
10;200951;7492;193459;31161;550;30611;234000;1888;8042;3,46%;224070;34,743117094;965,516722918;1000,25984001
11;200951;7189;193762;31161;528;30633;234000;1888;7717;3,32%;224395;30,037211895;964,207251072;994,244462967
12;200951;7158;193793;31161;611;30550;234000;1888;7769;3,35%;224343;30,1401269436;1175,04829597;1205,18842292
13;200951;7811;193140;31161;554;30607;234000;1888;8365;3,60%;223747;30,0792729855;1182,58971596;1212,66898894
14;200951;6248;194703;31161;636;30525;234000;1888;6884;2,97%;225228;30,5556321144;964,580786943;995,136419058
15;200951;6639;194312;31161;660;30501;234000;1888;7299;3,14%;224813;30,2204520702;1069,34036398;1099,56081605
16;200951;7217;193734;31161;624;30537;234000;1888;7841;3,38%;224271;30,6774580479;1073,89781713;1104,57527518
17;200951;7299;193652;31161;668;30493;234000;1888;7967;3,43%;224145;30,5357751846;967,432775974;997,968551159
18;200951;7020;193931;31161;615;30546;234000;1888;7635;3,29%;224477;30,8153531551;965,449473858;996,264827013
19;200951;6748;194203;31161;675;30486;234000;1888;7423;3,20%;224689;30,2015619278;962,037807226;992,239369154
20;200951;7229;193722;31161;598;30563;234000;1888;7827;3,37%;224285;30,4262239933;971,268706083;1001,69493008
21;200951;7535;193416;31161;579;30582;234000;1888;8114;3,50%;223998;30,2332260609;958,857374907;989,090600967
22;200951;6929;194022;31161;620;30541;234000;1888;7549;3,25%;224563;30,2020919323;954,791257143;984,993349075
23;200951;7167;193784;31161;590;30571;234000;1888;7757;3,34%;224355;30,2752170563;962,794450998;993,069668055
24;200951;7571;193380;31161;525;30636;234000;1888;8096;3,49%;224016;30,2033729553;1250,61324692;1280,81661987
25;200951;7119;193832;31161;558;30603;234000;1888;7677;3,31%;224435;37,6192128658;1252,44705701;1290,06626987
26;200951;7132;193819;31161;641;30520;234000;1888;7773;3,35%;224339;29,91471982;1156,99201822;1186,90673804
27;200951;7399;193552;31161;576;30585;234000;1888;7975;3,44%;224137;30,0167710781;954,118707895;984,135478973
28;200951;7837;193114;31161;641;30520;234000;1888;8478;3,65%;223634;30,1719918251;1165,87499809;1196,04698992
29;200951;6895;194056;31161;581;30580;234000;1888;7476;3,22%;224636;29,8596360683;953,772778034;983,632414103
;;;;;;;;;7865;3,39%;;;;1096,11
;;;;;;;;;358;0,15%;;;;106,92
