nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;115248;2757;112491;49926;10675;39251;166500;1326;13432;8,13%;151742;20,0801329613;1328,84327102;1348,92340398
1;115248;2609;112639;49926;9925;40001;166500;1326;12534;7,59%;152640;20,4786350727;1406,12076902;1426,5994041
2;115248;2679;112569;49926;9676;40250;166500;1326;12355;7,48%;152819;20,1848740578;1540,9854188;1561,17029285
3;115248;2703;112545;49926;9848;40078;166500;1326;12551;7,60%;152623;20,3901729584;1340,52590299;1360,91607594
4;115248;2531;112717;49926;9936;39990;166500;1326;12467;7,55%;152707;26,6553239822;1783,33224607;1809,98757005
5;115248;2819;112429;49926;9978;39948;166500;1326;12797;7,75%;152377;27,1949059963;1873,92972803;1901,12463403
6;115248;2977;112271;49926;9456;40470;166500;1326;12433;7,53%;152741;29,5686540604;2199,22087908;2228,78953314
7;115248;2812;112436;49926;8664;41262;166500;1326;11476;6,95%;153698;27,1599800587;1654,42103291;1681,58101296
8;115248;2570;112678;49926;10837;39089;166500;1326;13407;8,12%;151767;35,1604340076;1526,071383;1561,23181701
9;115248;2707;112541;49926;9391;40535;166500;1326;12098;7,32%;153076;20,5386400223;1776,86700797;1797,40564799
10;115248;2543;112705;49926;10621;39305;166500;1326;13164;7,97%;152010;29,4502120018;1663,70864201;1693,15885401
11;115248;2845;112403;49926;9781;40145;166500;1326;12626;7,64%;152548;20,3018941879;1398,90327096;1419,20516515
12;115248;3074;112174;49926;9653;40273;166500;1326;12727;7,71%;152447;20,315320015;1401,95551419;1422,27083421
13;115248;2574;112674;49926;8986;40940;166500;1326;11560;7,00%;153614;20,5309569836;1348,05984688;1368,59080386
14;115248;2349;112899;49926;9993;39933;166500;1326;12342;7,47%;152832;20,3827967644;1275,940593;1296,32338977
15;115248;2887;112361;49926;8971;40955;166500;1326;11858;7,18%;153316;20,592982769;1488,67651105;1509,26949382
16;115248;2807;112441;49926;9915;40011;166500;1326;12722;7,70%;152452;20,6934740543;1209,86818385;1230,56165791
17;115248;2483;112765;49926;9892;40034;166500;1326;12375;7,49%;152799;20,8027470112;1495,36063099;1516,163378
18;115248;2981;112267;49926;10477;39449;166500;1326;13458;8,15%;151716;27,0660870075;1863,666574;1890,73266101
19;115248;2708;112540;49926;9354;40572;166500;1326;12062;7,30%;153112;20,3792481422;1417,02138186;1437,40063
20;115248;2896;112352;49926;8992;40934;166500;1326;11888;7,20%;153286;20,555519104;1606,5081811;1627,0637002
21;115248;2952;112296;49926;8828;41098;166500;1326;11780;7,13%;153394;20,667222023;1542,53755116;1563,20477319
22;115248;3225;112023;49926;9984;39942;166500;1326;13209;8,00%;151965;20,3231039047;1475,24476194;1495,56786585
23;115248;2833;112415;49926;9743;40183;166500;1326;12576;7,61%;152598;20,3124909401;1343,76940203;1364,08189297
24;115248;2682;112566;49926;10338;39588;166500;1326;13020;7,88%;152154;20,1794159412;1324,85021305;1345,02962899
25;115248;2783;112465;49926;9099;40827;166500;1326;11882;7,19%;153292;17,1826229095;1084,95888209;1102,141505
26;115248;3081;112167;49926;9874;40052;166500;1326;12955;7,84%;152219;17,1903150082;1202,88428998;1220,07460499
27;115248;2885;112363;49926;9781;40145;166500;1326;12666;7,67%;152508;17,2399399281;1259,33962512;1276,57956505
28;115248;2538;112710;49926;10046;39880;166500;1326;12584;7,62%;152590;17,1955308914;1083,40863919;1100,60417008
29;115248;2613;112635;49926;9966;39960;166500;1326;12579;7,62%;152595;17,2690830231;1146,09959793;1163,36868095
;;;;;;;;;12519;7,58%;;;;1490,64
;;;;;;;;;535;0,32%;;;;257,45
