nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;222401;6741;215660;45362;1299;44063;270000;2237;8040;3,00%;259723;37,229432106;1123,8702879;1161,09972
1;222401;7697;214704;45362;1205;44157;270000;2237;8902;3,32%;258861;36,8246479034;1119,52884817;1156,35349607
2;222401;7243;215158;45362;1218;44144;270000;2237;8461;3,16%;259302;36,7876021862;1122,65114403;1159,43874621
3;222401;7710;214691;45362;1200;44162;270000;2237;8910;3,33%;258853;37,0688309669;1364,06902003;1401,137851
4;222401;7166;215235;45362;1180;44182;270000;2237;8346;3,12%;259417;37,5662899017;1249,9949472;1287,5612371
5;222401;7443;214958;45362;1178;44184;270000;2237;8621;3,22%;259142;37,1215820312;1116,73616314;1153,85774517
6;222401;6492;215909;45362;1241;44121;270000;2237;7733;2,89%;260030;36,75289011;1121,04588604;1157,79877615
7;222401;7201;215200;45362;1364;43998;270000;2237;8565;3,20%;259198;36,8607239723;992,760590076;1029,62131405
8;222401;7427;214974;45362;1177;44185;270000;2237;8604;3,21%;259159;37,31397295;1119,02579904;1156,33977199
9;222401;6767;215634;45362;1072;44290;270000;2237;7839;2,93%;259924;36,7885379791;1122,32775903;1159,11629701
10;222401;6934;215467;45362;1156;44206;270000;2237;8090;3,02%;259673;37,3629469872;994,313396931;1031,67634392
11;222401;6654;215747;45362;1264;44098;270000;2237;7918;2,96%;259845;36,9535748959;993,632100105;1030,585675
12;222401;7203;215198;45362;1333;44029;270000;2237;8536;3,19%;259227;36,8901040554;1362,4666369;1399,35674095
13;222401;7127;215274;45362;1345;44017;270000;2237;8472;3,16%;259291;36,8431050777;1113,37550902;1150,2186141
14;222401;6657;215744;45362;1284;44078;270000;2237;7941;2,97%;259822;36,1653690338;1120,53793001;1156,70329905
15;222401;6814;215587;45362;1316;44046;270000;2237;8130;3,04%;259633;36,9611618519;1113,37581015;1150,336972
16;222401;7208;215193;45362;1267;44095;270000;2237;8475;3,17%;259288;37,2656400204;1112,56226182;1149,82790184
17;222401;6830;215571;45362;1261;44101;270000;2237;8091;3,02%;259672;36,7824530602;991,18366909;1027,96612215
18;222401;7100;215301;45362;1209;44153;270000;2237;8309;3,10%;259454;38,0059649944;1112,37965107;1150,38561606
19;222401;7275;215126;45362;1169;44193;270000;2237;8444;3,15%;259319;35,8769469261;1111,09557796;1146,97252488
20;222401;6979;215422;45362;1197;44165;270000;2237;8176;3,05%;259587;36,5720508099;1113,11947417;1149,69152498
21;222401;7236;215165;45362;1100;44262;270000;2237;8336;3,11%;259427;36,2281970978;1110,71254396;1146,94074106
22;222401;7263;215138;45362;1236;44126;270000;2237;8499;3,17%;259264;37,8436319828;1115,57961488;1153,42324686
23;222401;6833;215568;45362;1344;44018;270000;2237;8177;3,05%;259586;36,2734889984;995,518553019;1031,79204202
24;222401;6813;215588;45362;1263;44099;270000;2237;8076;3,02%;259687;36,5027050972;1120,99393988;1157,49664497
25;222401;6970;215431;45362;1220;44142;270000;2237;8190;3,06%;259573;37,0987391472;1119,17646885;1156,275208
26;222401;7104;215297;45362;1293;44069;270000;2237;8397;3,14%;259366;36,9043610096;1119,27059889;1156,1749599
27;222401;6974;215427;45362;1234;44128;270000;2237;8208;3,07%;259555;37,3826348782;1118,97635007;1156,35898495
28;222401;6907;215494;45362;1275;44087;270000;2237;8182;3,06%;259581;37,4493329525;1113,53420496;1150,98353791
29;222401;7018;215383;45362;1183;44179;270000;2237;8201;3,06%;259562;37,2092528343;1238,01536417;1275,224617
;;;;;;;;;8296;3,10%;;;;1158,36
;;;;;;;;;284;0,11%;;;;89,07
