nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;162291;10213;152078;23179;516;22663;187500;2030;10729;5,78%;174741;21,2106559277;905,823702097;927,034358025
1;162291;10224;152067;23179;509;22670;187500;2030;10733;5,79%;174737;21,3257079124;904,653604984;925,979312897
2;162291;10136;152155;23179;581;22598;187500;2030;10717;5,78%;174753;21,4214789867;909,836395979;931,257874966
3;162291;10414;151877;23179;559;22620;187500;2030;10973;5,92%;174497;21,2626171112;1111,67586493;1132,93848205
4;162291;10554;151737;23179;482;22697;187500;2030;11036;5,95%;174434;21,4499650002;972,314553976;993,764518976
5;162291;10089;152202;23179;478;22701;187500;2030;10567;5,70%;174903;21,1086819172;967,321135044;988,429816961
6;162291;10418;151873;23179;530;22649;187500;2030;10948;5,90%;174522;21,2811129093;980,641834021;1001,92294693
7;162291;10197;152094;23179;597;22582;187500;2030;10794;5,82%;174676;21,4698719978;1042,98490095;1064,45477295
8;162291;10448;151843;23179;512;22667;187500;2030;10960;5,91%;174510;21,7278711796;917,164521933;938,892393112
9;162291;10510;151781;23179;500;22679;187500;2030;11010;5,94%;174460;21,2545280457;908,469354868;929,723882914
10;162291;10229;152062;23179;553;22626;187500;2030;10782;5,81%;174688;21,5158071518;905,187345982;926,703153133
11;162291;10000;152291;23179;424;22755;187500;2030;10424;5,62%;175046;21,1113798618;901,954267025;923,065646887
12;162291;11074;151217;23179;510;22669;187500;2030;11584;6,25%;173886;21,4415540695;1113,55935192;1135,00090599
13;162291;10509;151782;23179;558;22621;187500;2030;11067;5,97%;174403;21,2747941017;913,130814075;934,405608177
14;162291;10015;152276;23179;501;22678;187500;2030;10516;5,67%;174954;21,531514883;913,25612092;934,787635803
15;162291;10721;151570;23179;543;22636;187500;2030;11264;6,07%;174206;21,5449049473;1048,52440691;1070,06931186
16;162291;10679;151612;23179;522;22657;187500;2030;11201;6,04%;174269;21,4489319324;1107,27203298;1128,72096491
17;162291;10536;151755;23179;522;22657;187500;2030;11058;5,96%;174412;21,3960030079;970,758955002;992,15495801
18;162291;10905;151386;23179;525;22654;187500;2030;11430;6,16%;174040;21,0321719646;898,74074316;919,772915125
19;162291;10535;151756;23179;571;22608;187500;2030;11106;5,99%;174364;18,0502169132;942,214152098;960,264369011
20;162291;9597;152694;23179;549;22630;187500;2030;10146;5,47%;175324;17,972589016;708,30866909;726,281258106
21;162291;10438;151853;23179;541;22638;187500;2030;10979;5,92%;174491;18,0061910152;882,707294941;900,713485956
22;162291;9777;152514;23179;532;22647;187500;2030;10309;5,56%;175161;18,096873045;707,74991703;725,846790075
23;162291;10937;151354;23179;493;22686;187500;2030;11430;6,16%;174040;18,0156731606;940,110852957;958,126526117
24;162291;11085;151206;23179;504;22675;187500;2030;11589;6,25%;173881;18,0824320316;938,958897829;957,041329861
25;162291;10403;151888;23179;602;22577;187500;2030;11005;5,93%;174465;18,096848011;824,409187794;842,506035805
26;162291;10731;151560;23179;514;22665;187500;2030;11245;6,06%;174225;18,0145998001;1159,38144612;1177,39604592
27;162291;9988;152303;23179;493;22686;187500;2030;10481;5,65%;174989;31,8374068737;1214,92759109;1246,76499796
28;162291;10490;151801;23179;502;22677;187500;2030;10992;5,93%;174478;27,6316931248;1268,52361393;1296,15530705
29;162291;11227;151064;23179;480;22699;187500;2030;11707;6,31%;173763;31,2659900188;1583,16851282;1614,43450284
;;;;;;;;;10959;5,91%;;;;1006,82
;;;;;;;;;383;0,21%;;;;172,04
