nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;133613;4718;128895;37602;669;36933;173500;2285;5387;3,15%;165828;30,0302391052;1448,61265588;1478,64289498
1;133613;5038;128575;37602;805;36797;173500;2285;5843;3,41%;165372;30,3544991016;1308,0627408;1338,4172399
2;133613;4832;128781;37602;784;36818;173500;2285;5616;3,28%;165599;31,9151852131;1236,8354578;1268,75064301
3;133613;5203;128410;37602;855;36747;173500;2285;6058;3,54%;165157;32,0385529995;1318,26451707;1350,30307007
4;133613;5330;128283;37602;693;36909;173500;2285;6023;3,52%;165192;27,6797189713;1202,87881899;1230,55853796
5;133613;4871;128742;37602;847;36755;173500;2285;5718;3,34%;165497;27,2432100773;1118,0293169;1145,27252698
6;133613;5599;128014;37602;675;36927;173500;2285;6274;3,66%;164941;27,7377278805;1472,68299007;1500,42071795
7;133613;4951;128662;37602;727;36875;173500;2285;5678;3,32%;165537;27,661108017;1118,28263402;1145,94374204
8;133613;5030;128583;37602;703;36899;173500;2285;5733;3,35%;165482;25,196089983;1103,42059207;1128,61668205
9;133613;5748;127865;37602;743;36859;173500;2285;6491;3,79%;164724;26,1028051376;1375,62940097;1401,73220611
10;133613;4941;128672;37602;742;36860;173500;2285;5683;3,32%;165532;24,168309927;1042,17204404;1066,34035397
11;133613;5254;128359;37602;729;36873;173500;2285;5983;3,49%;165232;25,4038910866;1163,50563478;1188,90952587
12;133613;5216;128397;37602;901;36701;173500;2285;6117;3,57%;165098;20,0019631386;904,952207088;924,954170227
13;133613;4933;128680;37602;801;36801;173500;2285;5734;3,35%;165481;20,4274389744;905,302571058;925,730010033
14;133613;4860;128753;37602;775;36827;173500;2285;5635;3,29%;165580;20,4244208336;909,457436085;929,881856918
15;133613;5845;127768;37602;671;36931;173500;2285;6516;3,81%;164699;20,5128929615;1044,43927693;1064,9521699
16;133613;4954;128659;37602;666;36936;173500;2285;5620;3,28%;165595;20,509513855;1045,43007112;1065,93958497
17;133613;5203;128410;37602;633;36969;173500;2285;5836;3,41%;165379;20,6653928757;982,470664024;1003,1360569
18;133613;4817;128796;37602;866;36736;173500;2285;5683;3,32%;165532;20,5133650303;1046,19349599;1066,70686102
19;133613;5247;128366;37602;760;36842;173500;2285;6007;3,51%;165208;20,7289040089;918,769664049;939,498568058
20;133613;5263;128350;37602;948;36654;173500;2285;6211;3,63%;165004;20,6026749611;851,568700075;872,171375036
21;133613;5123;128490;37602;697;36905;173500;2285;5820;3,40%;165395;20,6828160286;1111,13428688;1131,81710291
22;133613;4762;128851;37602;796;36806;173500;2285;5558;3,25%;165657;20,7049601078;914,326713085;935,031673193
23;133613;4730;128883;37602;781;36821;173500;2285;5511;3,22%;165704;26,6282110214;914,655877113;941,284088135
24;133613;5155;128458;37602;664;36938;173500;2285;5819;3,40%;165396;20,9456000328;980,911005974;1001,85660601
25;133613;4814;128799;37602;877;36725;173500;2285;5691;3,32%;165524;20,6062660217;981,42553401;1002,03180003
26;133613;5809;127804;37602;846;36756;173500;2285;6655;3,89%;164560;20,8406188488;915,202932119;936,043550968
27;133613;5387;128226;37602;641;36961;173500;2285;6028;3,52%;165187;21,8923192024;985,325980902;1007,2183001
28;133613;5304;128309;37602;824;36778;173500;2285;6128;3,58%;165087;20,6691608429;912,598364115;933,267524958
29;133613;5269;128344;37602;779;36823;173500;2285;6048;3,53%;165167;20,680850029;1104,69710684;1125,37795687
;;;;;;;;;5903;3,45%;;;;1101,69
;;;;;;;;;310;0,18%;;;;175,26
