nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;210440;5986;204454;93564;533;93031;307200;3196;6519;2,14%;297485;32,9730608463;1152,25244522;1185,22550607
1;210440;5760;204680;93564;397;93167;307200;3196;6157;2,03%;297847;35,4114329815;1163,93696308;1199,34839606
2;210440;5538;204902;93564;386;93178;307200;3196;5924;1,95%;298080;35,4513931274;1161,2499249;1196,70131803
3;210440;5213;205227;93564;526;93038;307200;3196;5739;1,89%;298265;42,5409989357;1159,52378798;1202,06478691
4;210440;5590;204850;93564;617;92947;307200;3196;6207;2,04%;297797;35,3577730656;1161,66722393;1197,024997
5;210440;5810;204630;93564;442;93122;307200;3196;6252;2,06%;297752;35,4134979248;1159,54221892;1194,95571685
6;210440;5669;204771;93564;522;93042;307200;3196;6191;2,04%;297813;35,3746089935;1150,11899996;1185,49360895
7;210440;5694;204746;93564;496;93068;307200;3196;6190;2,04%;297814;34,5707168579;1147,06922102;1181,63993788
8;210440;5767;204673;93564;383;93181;307200;3196;6150;2,02%;297854;34,9872751236;1154,47217298;1189,4594481
9;210440;5834;204606;93564;408;93156;307200;3196;6242;2,05%;297762;35,6647150517;1149,14317703;1184,80789208
10;210440;5589;204851;93564;449;93115;307200;3196;6038;1,99%;297966;34,6435089111;967,922019958;1002,56552887
11;210440;5697;204743;93564;514;93050;307200;3196;6211;2,04%;297793;35,4640641212;1146,37165189;1181,83571601
12;210440;5710;204730;93564;490;93074;307200;3196;6200;2,04%;297804;34,8603081703;1147,12159896;1181,98190713
13;210440;5540;204900;93564;332;93232;307200;3196;5872;1,93%;298132;34,7095479965;1137,03331995;1171,74286795
14;210440;5919;204521;93564;493;93071;307200;3196;6412;2,11%;297592;34,5378670692;1140,9592948;1175,49716187
15;210440;5698;204742;93564;509;93055;307200;3196;6207;2,04%;297797;34,5171048641;1141,45742607;1175,97453094
16;210440;5649;204791;93564;456;93108;307200;3196;6105;2,01%;297899;34,8162550926;1145,08499885;1179,90125394
17;210440;5721;204719;93564;463;93101;307200;3196;6184;2,03%;297820;34,9782099724;1150,75219822;1185,73040819
18;210440;5799;204641;93564;521;93043;307200;3196;6320;2,08%;297684;35,017334938;1144,56391001;1179,58124495
19;210440;5743;204697;93564;523;93041;307200;3196;6266;2,06%;297738;34,5916750431;1145,63952994;1180,23120499
20;210440;5429;205011;93564;494;93070;307200;3196;5923;1,95%;298081;35,1327838898;1146,46544218;1181,59822607
21;210440;5664;204776;93564;355;93209;307200;3196;6019;1,98%;297985;35,0328578949;969,040076017;1004,07293391
22;210440;5522;204918;93564;450;93114;307200;3196;5972;1,96%;298032;34,7928550243;1142,32104301;1177,11389804
23;210440;5631;204809;93564;431;93133;307200;3196;6062;1,99%;297942;34,8771681786;1132,64852595;1167,52569413
24;210440;5639;204801;93564;451;93113;307200;3196;6090;2,00%;297914;34,712471962;1145,99531603;1180,70778799
25;210440;5603;204837;93564;552;93012;307200;3196;6155;2,02%;297849;35,1737020016;965,993608952;1001,16731095
26;210440;5655;204785;93564;592;92972;307200;3196;6247;2,05%;297757;34,592648983;962,373912096;996,966561079
27;210440;5776;204664;93564;556;93008;307200;3196;6332;2,08%;297672;34,5070621967;1139,11766577;1173,62472796
28;210440;5627;204813;93564;589;92975;307200;3196;6216;2,04%;297788;34,57447505;1129,74498105;1164,3194561
29;210440;5590;204850;93564;525;93039;307200;3196;6115;2,01%;297889;34,2768290043;1129,36274099;1163,63957
;;;;;;;;;6151;2,02%;;;;1158,08
;;;;;;;;;161;0,05%;;;;63,3
