nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;157980;5229;152751;46933;6438;40495;207000;2087;11667;5,69%;193246;23,5166921616;1081,46585679;1104,98254895
1;157980;6408;151572;46933;6365;40568;207000;2087;12773;6,23%;192140;27,6699819565;1440,89231896;1468,56230092
2;157980;8292;149688;46933;6027;40906;207000;2087;14319;6,99%;190594;23,4612178802;1381,66057301;1405,12179089
3;157980;6352;151628;46933;6390;40543;207000;2087;12742;6,22%;192171;23,5170488358;1090,16972804;1113,68677688
4;157980;6329;151651;46933;5925;41008;207000;2087;12254;5,98%;192659;23,9526131153;1313,74156094;1337,69417405
5;157980;8213;149767;46933;5775;41158;207000;2087;13988;6,83%;190925;24,2438158989;1247,35892105;1271,60273695
6;157980;5576;152404;46933;6800;40133;207000;2087;12376;6,04%;192537;23,8868360519;1255,9729979;1279,85983396
7;157980;6970;151010;46933;6316;40617;207000;2087;13286;6,48%;191627;23,9221930504;1242,98652887;1266,90872192
8;157980;6168;151812;46933;6588;40345;207000;2087;12756;6,23%;192157;24,0004799366;1335,24688196;1359,2473619
9;157980;5222;152758;46933;6340;40593;207000;2087;11562;5,64%;193351;24,4905769825;1409,43121505;1433,92179203
10;157980;6423;151557;46933;6470;40463;207000;2087;12893;6,29%;192020;24,2418079376;1188,18626118;1212,42806911
11;157980;6049;151931;46933;6294;40639;207000;2087;12343;6,02%;192570;24,4865131378;1264,87488389;1289,36139703
12;157980;6813;151167;46933;6417;40516;207000;2087;13230;6,46%;191683;24,5544390678;1423,98947191;1448,54391098
13;157980;7227;150753;46933;6289;40644;207000;2087;13516;6,60%;191397;24,43840909;1267,74600792;1292,18441701
14;157980;7848;150132;46933;6164;40769;207000;2087;14012;6,84%;190901;24,2915201187;1194,62766695;1218,91918707
15;157980;6181;151799;46933;6960;39973;207000;2087;13141;6,41%;191772;24,7755019665;1035,85856104;1060,63406301
16;157980;8684;149296;46933;6476;40457;207000;2087;15160;7,40%;189753;24,3067250252;1352,53464413;1376,84136915
17;157980;4900;153080;46933;6514;40419;207000;2087;11414;5,57%;193499;24,102314949;1349,82020807;1373,92252302
18;157980;6451;151529;46933;6667;40266;207000;2087;13118;6,40%;191795;24,6027290821;1207,68761086;1232,29033995
19;157980;8612;149368;46933;5646;41287;207000;2087;14258;6,96%;190655;24,4846880436;1425,66784286;1450,15253091
20;157980;6711;151269;46933;6805;40128;207000;2087;13516;6,60%;191397;24,6564958096;1065,63060999;1090,2871058
21;157980;8049;149931;46933;6425;40508;207000;2087;14474;7,06%;190439;23,960919857;1339,18551922;1363,14643908
22;157980;5107;152873;46933;6879;40054;207000;2087;11986;5,85%;192927;24,8773610592;1355,9561429;1380,83350396
23;157980;6151;151829;46933;6609;40324;207000;2087;12760;6,23%;192153;24,473856926;1353,806288;1378,28014493
24;157980;7273;150707;46933;5879;41054;207000;2087;13152;6,42%;191761;24,8810989857;1217,37688112;1242,25798011
25;157980;7159;150821;46933;6083;40850;207000;2087;13242;6,46%;191671;24,8166940212;1369,62392282;1394,44061685
26;157980;5773;152207;46933;7539;39394;207000;2087;13312;6,50%;191601;24,7168531418;1209,77344298;1234,49029613
27;157980;6280;151700;46933;6117;40816;207000;2087;12397;6,05%;192516;24,6995551586;1265,52025986;1290,21981502
28;157980;5833;152147;46933;6107;40826;207000;2087;11940;5,83%;192973;24,1843008995;1291,4625771;1315,646878
29;157980;5842;152138;46933;6207;40726;207000;2087;12049;5,88%;192864;25,2007329464;1354,63237095;1379,8331039
;;;;;;;;;12988;6,34%;;;;1302,21
;;;;;;;;;918;0,45%;;;;110,39
