nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;181038;3983;177055;5586;212;5374;187500;876;4195;2,25%;182429;20,2075278759;629,519110918;649,726638794
1;181038;4298;176740;5586;241;5345;187500;876;4539;2,43%;182085;19,9596300125;734,340314865;754,299944878
2;181038;4157;176881;5586;185;5401;187500;876;4342;2,33%;182282;19,950248003;625,562160969;645,512408972
3;181038;4440;176598;5586;131;5455;187500;876;4571;2,45%;182053;20,4552900791;739,353771925;759,809062004
4;181038;3918;177120;5586;200;5386;187500;876;4118;2,21%;182506;20,2253508568;744,589638233;764,81498909
5;181038;3571;177467;5586;313;5273;187500;876;3884;2,08%;182740;20,1254270077;735,922204971;756,047631979
6;181038;4353;176685;5586;142;5444;187500;876;4495;2,41%;182129;20,1303470135;828,580487013;848,710834026
7;181038;4122;176916;5586;182;5404;187500;876;4304;2,31%;182320;24,2691888809;872,603625059;896,87281394
8;181038;4525;176513;5586;135;5451;187500;876;4660;2,50%;181964;21,0021750927;825,549965858;846,552140951
9;181038;3674;177364;5586;254;5332;187500;876;3928;2,10%;182696;20,5721700191;751,574766874;772,146936893
10;181038;3838;177200;5586;253;5333;187500;876;4091;2,19%;182533;20,3327410221;798,754445076;819,087186098
11;181038;3808;177230;5586;294;5292;187500;876;4102;2,20%;182522;20,3591098785;625,732079029;646,091188908
12;181038;4258;176780;5586;242;5344;187500;876;4500;2,41%;182124;20,0767638683;860,680038214;880,756802082
13;181038;4238;176800;5586;221;5365;187500;876;4459;2,39%;182165;21,6107759476;805,813998938;827,424774885
14;181038;4786;176252;5586;107;5479;187500;876;4893;2,62%;181731;20,1383280754;852,397773981;872,536102057
15;181038;4058;176980;5586;208;5378;187500;876;4266;2,29%;182358;21,5092840195;779,365604877;800,874888897
16;181038;4125;176913;5586;182;5404;187500;876;4307;2,31%;182317;20,7240250111;718,120462894;738,844487906
17;181038;3790;177248;5586;302;5284;187500;876;4092;2,19%;182532;21,6661040783;878,178990126;899,845094204
18;181038;3643;177395;5586;307;5279;187500;876;3950;2,12%;182674;25,7441141605;848,775120974;874,519235134
19;181038;4125;176913;5586;231;5355;187500;876;4356;2,33%;182268;18,8164339066;688,593736172;707,410170078
20;181038;3946;177092;5586;228;5358;187500;876;4174;2,24%;182450;18,9836900234;765,851015091;784,834705114
21;181038;3837;177201;5586;226;5360;187500;876;4063;2,18%;182561;19,2267239094;715,811820984;735,038544893
22;181038;3649;177389;5586;265;5321;187500;876;3914;2,10%;182710;19,6509549618;718,256337881;737,907292843
23;181038;4227;176811;5586;174;5412;187500;876;4401;2,36%;182223;19,5002501011;722,858564854;742,358814955
24;181038;4338;176700;5586;220;5366;187500;876;4558;2,44%;182066;20,2148151398;782,190162897;802,404978037
25;181038;3735;177303;5586;260;5326;187500;876;3995;2,14%;182629;19,787348032;783,702675104;803,490023136
26;181038;3656;177382;5586;284;5302;187500;876;3940;2,11%;182684;19,4503960609;728,640765905;748,091161966
27;181038;3662;177376;5586;257;5329;187500;876;3919;2,10%;182705;20,0003929138;727,538014889;747,538407803
28;181038;4070;176968;5586;199;5387;187500;876;4269;2,29%;182355;19,742577076;726,981245995;746,723823071
29;181038;3848;177190;5586;229;5357;187500;876;4077;2,18%;182547;19,8311378956;732,360589981;752,191727877
;;;;;;;;;4245;2,27%;;;;778,75
;;;;;;;;;259;0,14%;;;;69,76
