nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;168318;5125;163193;99812;5;99807;270000;1870;5130;1,91%;263000;29,3035871983;1021,13257384;1050,43616104
1;168318;4590;163728;99812;5;99807;270000;1870;4595;1,71%;263535;29,0299198627;1153,50599313;1182,53591299
2;168318;4650;163668;99812;5;99807;270000;1870;4655;1,74%;263475;29,3226640224;1093,48570609;1122,80837011
3;168318;5022;163296;99812;0;99812;270000;1870;5022;1,87%;263108;29,1107420921;1096,31733108;1125,42807317
4;168318;4840;163478;99812;6;99806;270000;1870;4846;1,81%;263284;29,2119309902;1035,60485005;1064,81678104
5;168318;5068;163250;99812;5;99807;270000;1870;5073;1,89%;263057;29,7000231743;1036,96533179;1066,66535497
6;168318;4547;163771;99812;7;99805;270000;1870;4554;1,70%;263576;29,4858579636;1050,19134188;1079,67719984
7;168318;4824;163494;99812;6;99806;270000;1870;4830;1,80%;263300;29,4431200027;1035,5718441;1065,0149641
8;168318;4419;163899;99812;5;99807;270000;1870;4424;1,65%;263706;29,1265690327;1045,10988903;1074,23645806
9;168318;4895;163423;99812;5;99807;270000;1870;4900;1,83%;263230;29,9022831917;1172,07041693;1201,97270012
10;168318;5088;163230;99812;5;99807;270000;1870;5093;1,90%;263037;29,8576409817;1050,84517598;1080,70281696
11;168318;4719;163599;99812;5;99807;270000;1870;4724;1,76%;263406;29,5954430103;1046,63482594;1076,23026896
12;168318;4607;163711;99812;2;99810;270000;1870;4609;1,72%;263521;29,6105771065;1110,57295299;1140,18353009
13;168318;4940;163378;99812;5;99807;270000;1870;4945;1,84%;263185;29,5847918987;1050,77718306;1080,36197495
14;168318;4640;163678;99812;4;99808;270000;1870;4644;1,73%;263486;29,6674799919;1046,87302899;1076,54050899
15;168318;4765;163553;99812;6;99806;270000;1870;4771;1,78%;263359;29,9275910854;1056,98812985;1086,91572094
16;168318;5061;163257;99812;2;99810;270000;1870;5063;1,89%;263067;29,840695858;1237,13348794;1266,9741838
17;168318;4837;163481;99812;4;99808;270000;1870;4841;1,81%;263289;29,6477160454;1180,34736109;1209,99507713
18;168318;4764;163554;99812;4;99808;270000;1870;4768;1,78%;263362;30,1879360676;1245,55559707;1275,74353313
19;168318;4602;163716;99812;5;99807;270000;1870;4607;1,72%;263523;30,5703299046;1061,35248303;1091,92281294
20;168318;4938;163380;99812;5;99807;270000;1870;4943;1,84%;263187;29,8338389397;1239,25406098;1269,08789992
21;168318;4523;163795;99812;5;99807;270000;1870;4528;1,69%;263602;29,7657389641;1119,2767241;1149,04246306
22;168318;4963;163355;99812;5;99807;270000;1870;4968;1,85%;263162;30,0980219841;1060,54283905;1090,64086103
23;168318;4842;163476;99812;1;99811;270000;1870;4843;1,81%;263287;29,9077398777;1064,1944201;1094,10215998
24;168318;4991;163327;99812;5;99807;270000;1870;4996;1,86%;263134;30,3484320641;1068,00077081;1098,34920287
25;168318;4597;163721;99812;7;99805;270000;1870;4604;1,72%;263526;30,1428160667;1193,38231301;1223,52512908
26;168318;4719;163599;99812;5;99807;270000;1870;4724;1,76%;263406;29,9305920601;1062,29684711;1092,22743917
27;168318;4895;163423;99812;5;99807;270000;1870;4900;1,83%;263230;29,8408768177;1053,97918105;1083,82005787
28;168318;4658;163660;99812;5;99807;270000;1870;4663;1,74%;263467;29,7016539574;1052,90512896;1082,60678291
29;168318;4614;163704;99812;5;99807;270000;1870;4619;1,72%;263511;30,1286380291;1061,62135386;1091,74999189
;;;;;;;;;4796;1,79%;;;;1123,14
;;;;;;;;;191;0,07%;;;;67,23
