nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;126796;14526;112270;34875;1549;33326;167000;5329;16075;9,94%;145596;17,5351321697;1246,15655899;1263,69169116
1;126796;14045;112751;34875;1437;33438;167000;5329;15482;9,58%;146189;19,6764099598;1431,69977212;1451,37618208
2;126796;15692;111104;34875;1529;33346;167000;5329;17221;10,65%;144450;19,8145670891;1171,44599295;1191,26056004
3;126796;14506;112290;34875;1847;33028;167000;5329;16353;10,11%;145318;19,8590519428;1428,33269787;1448,19174981
4;126796;14645;112151;34875;1679;33196;167000;5329;16324;10,10%;145347;19,9791269302;1077,30865002;1097,28777695
5;126796;14845;111951;34875;1800;33075;167000;5329;16645;10,30%;145026;19,7643668652;1334,37287116;1354,13723803
6;126796;14760;112036;34875;1498;33377;167000;5329;16258;10,06%;145413;19,4225749969;1147,72950697;1167,15208197
7;126796;14256;112540;34875;1434;33441;167000;5329;15690;9,70%;145981;19,5040991306;1158,32221484;1177,82631397
8;126796;15257;111539;34875;1426;33449;167000;5329;16683;10,32%;144988;19,6533851624;1330,07286787;1349,72625303
9;126796;14546;112250;34875;1841;33034;167000;5329;16387;10,14%;145284;19,586632967;1319,57895422;1339,16558719
10;126796;14944;111852;34875;1502;33373;167000;5329;16446;10,17%;145225;19,6477220058;1326,41139889;1346,05912089
11;126796;14848;111948;34875;1484;33391;167000;5329;16332;10,10%;145339;19,6064190865;1323,77528977;1343,38170886
12;126796;15690;111106;34875;1477;33398;167000;5329;17167;10,62%;144504;19,586566925;1395,00642705;1414,59299397
13;126796;14987;111809;34875;1550;33325;167000;5329;16537;10,23%;145134;19,0552999973;1583,94779086;1603,00309086
14;126796;15213;111583;34875;1822;33053;167000;5329;17035;10,54%;144636;19,589607954;1238,27134395;1257,8609519
15;126796;14488;112308;34875;1551;33324;167000;5329;16039;9,92%;145632;19,4210100174;1322,74044204;1342,16145205
16;126796;14912;111884;34875;1581;33294;167000;5329;16493;10,20%;145178;19,4716458321;1496,76731205;1516,23895788
17;126796;14989;111807;34875;1561;33314;167000;5329;16550;10,24%;145121;19,5560679436;1330,07844996;1349,63451791
18;126796;14075;112721;34875;2363;32512;167000;5329;16438;10,17%;145233;19,6337721348;1495,94274187;1515,57651401
19;126796;14819;111977;34875;1262;33613;167000;5329;16081;9,95%;145590;19,3843400478;1231,07414484;1250,45848489
20;126796;14156;112640;34875;1512;33363;167000;5329;15668;9,69%;146003;19,4810738564;1141,74972796;1161,23080182
21;126796;14278;112518;34875;1350;33525;167000;5329;15628;9,67%;146043;19,2572848797;1229,853513;1249,11079788
22;126796;14207;112589;34875;1474;33401;167000;5329;15681;9,70%;145990;19,4522230625;1231,544415;1250,99663806
23;126796;14400;112396;34875;1534;33341;167000;5329;15934;9,86%;145737;19,6269190311;1313,499578;1333,12649703
24;126796;14765;112031;34875;1407;33468;167000;5329;16172;10,00%;145499;19,3942430019;1224,00020885;1243,39445186
25;126796;15212;111584;34875;1404;33471;167000;5329;16616;10,28%;145055;19,405133009;1398,77890611;1418,18403912
26;126796;15241;111555;34875;2205;32670;167000;5329;17446;10,79%;144225;19,1700801849;1482,37168884;1501,54176903
27;126796;15001;111795;34875;1711;33164;167000;5329;16712;10,34%;144959;19,4630589485;1052,60329294;1072,06635189
28;126796;15391;111405;34875;2037;32838;167000;5329;17428;10,78%;144243;19,306522131;1317,56219792;1336,86872005
29;126796;15208;111588;34875;1657;33218;167000;5329;16865;10,43%;144806;19,3208060265;1136,74865508;1156,06946111
;;;;;;;;;16413;10,15%;;;;1316,71
;;;;;;;;;525;0,32%;;;;131,05
