nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;166488;7086;159402;17395;200;17195;187500;3617;7286;3,96%;176597;21,4130880833;1007,47227287;1028,88536096
1;166488;6836;159652;17395;194;17201;187500;3617;7030;3,82%;176853;21,3556210995;858,812453032;880,168074131
2;166488;7179;159309;17395;202;17193;187500;3617;7381;4,01%;176502;21,386854887;856,256363153;877,64321804
3;166488;7114;159374;17395;205;17190;187500;3617;7319;3,98%;176564;21,3559041023;854,472272873;875,828176975
4;166488;6547;159941;17395;166;17229;187500;3617;6713;3,65%;177170;21,1624429226;858,440950155;879,603393078
5;166488;6799;159689;17395;220;17175;187500;3617;7019;3,82%;176864;21,4968810081;935,237083912;956,73396492
6;166488;6877;159611;17395;203;17192;187500;3617;7080;3,85%;176803;21,4295210838;1010,00564003;1031,43516111
7;166488;6807;159681;17395;184;17211;187500;3617;6991;3,80%;176892;21,6184492111;1007,97145796;1029,58990717
8;166488;6847;159641;17395;295;17100;187500;3617;7142;3,88%;176741;21,4261519909;1018,54598093;1039,97213292
9;166488;6921;159567;17395;228;17167;187500;3617;7149;3,89%;176734;21,597342968;862,266849995;883,864192963
10;166488;6488;160000;17395;227;17168;187500;3617;6715;3,65%;177168;21,2125301361;1015,49562883;1036,70815897
11;166488;6884;159604;17395;238;17157;187500;3617;7122;3,87%;176761;21,4326610565;938,199692965;959,632354021
12;166488;7029;159459;17395;141;17254;187500;3617;7170;3,90%;176713;21,4794840813;946,509683847;967,989167929
13;166488;6715;159773;17395;160;17235;187500;3617;6875;3,74%;177008;21,5100209713;941,585141897;963,095162868
14;166488;6913;159575;17395;188;17207;187500;3617;7101;3,86%;176782;21,4730558395;1017,49451804;1038,96757388
15;166488;6955;159533;17395;223;17172;187500;3617;7178;3,90%;176705;21,4511339664;865,207755089;886,658889055
16;166488;6846;159642;17395;239;17156;187500;3617;7085;3,85%;176798;21,9475250244;935,139714956;957,087239981
17;166488;7103;159385;17395;237;17158;187500;3617;7340;3,99%;176543;21,463570118;1007,53616095;1028,99973106
18;166488;6834;159654;17395;307;17088;187500;3617;7141;3,88%;176742;21,2927150726;860,046349049;881,339064121
19;166488;6541;159947;17395;255;17140;187500;3617;6796;3,70%;177087;21,371325016;938,37507391;959,746398926
20;166488;6616;159872;17395;287;17108;187500;3617;6903;3,75%;176980;21,6940820217;936,023437977;957,717519999
21;166488;6660;159828;17395;155;17240;187500;3617;6815;3,71%;177068;21,1735489368;1015,91817713;1037,09172606
22;166488;6410;160078;17395;209;17186;187500;3617;6619;3,60%;177264;21,6666619778;1094,63794518;1116,30460715
23;166488;7378;159110;17395;143;17252;187500;3617;7521;4,09%;176362;21,5224502087;1030,21827388;1051,74072409
24;166488;6604;159884;17395;341;17054;187500;3617;6945;3,78%;176938;21,5322589874;936,118746996;957,651005983
25;166488;6618;159870;17395;313;17082;187500;3617;6931;3,77%;176952;21,586856842;1017,51142907;1039,09828591
26;166488;6638;159850;17395;223;17172;187500;3617;6861;3,73%;177022;21,5528321266;860,085135937;881,637968063
27;166488;6626;159862;17395;226;17169;187500;3617;6852;3,73%;177031;21,6215898991;862,801081896;884,422671795
28;166488;6905;159583;17395;224;17171;187500;3617;7129;3,88%;176754;21,3147549629;1016,97894788;1038,29370284
29;166488;7113;159375;17395;214;17181;187500;3617;7327;3,98%;176556;21,3645730019;1014,63065004;1035,99522305
;;;;;;;;;7051;3,83%;;;;972,13
;;;;;;;;;218;0,12%;;;;71,08
