nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;159565;5174;154391;91835;442;91393;253638;2238;5616;2,23%;245784;24,852599144;869,909383774;894,761982918
1;159565;5287;154278;91835;381;91454;253638;2238;5668;2,25%;245732;26,7715620995;881,191451073;907,963013172
2;159565;5043;154522;91835;365;91470;253638;2238;5408;2,15%;245992;25,5359568596;982,935433149;1008,47139001
3;159565;5279;154286;91835;409;91426;253638;2238;5688;2,26%;245712;25,9933381081;892,452924013;918,446262121
4;159565;4654;154911;91835;464;91371;253638;2238;5118;2,04%;246282;26,3127369881;907,209742785;933,522479773
5;159565;7352;152213;91835;164;91671;253638;2238;7516;2,99%;243884;26,5672149658;1083,60897684;1110,17619181
6;159565;6189;153376;91835;314;91521;253638;2238;6503;2,59%;244897;26,4238569736;1024,7689991;1051,19285607
7;159565;5980;153585;91835;247;91588;253638;2238;6227;2,48%;245173;26,895015955;922,147824049;949,042840004
8;159565;4960;154605;91835;404;91431;253638;2238;5364;2,13%;246036;26,9414689541;1078,51587701;1105,45734596
9;159565;4828;154737;91835;414;91421;253638;2238;5242;2,09%;246158;26,9564108849;917,663084984;944,619495869
10;159565;5014;154551;91835;479;91356;253638;2238;5493;2,18%;245907;27,1998729706;922,924415112;950,124288082
11;159565;4854;154711;91835;435;91400;253638;2238;5289;2,10%;246111;27,2337319851;920,701164007;947,934895992
12;159565;6043;153522;91835;345;91490;253638;2238;6388;2,54%;245012;26,9797711372;1089,74491286;1116,724684
13;159565;5233;154332;91835;254;91581;253638;2238;5487;2,18%;245913;27,2667140961;920,46033287;947,727046967
14;159565;5714;153851;91835;238;91597;253638;2238;5952;2,37%;245448;27,0535988808;914,787487984;941,841086864
15;159565;6048;153517;91835;241;91594;253638;2238;6289;2,50%;245111;26,8794639111;914,644906044;941,524369955
16;159565;6701;152864;91835;189;91646;253638;2238;6890;2,74%;244510;26,9595611095;1119,02151799;1145,9810791
17;159565;4970;154595;91835;503;91332;253638;2238;5473;2,18%;245927;34,1083881855;1157,91138697;1192,01977515
18;159565;6204;153361;91835;256;91579;253638;2238;6460;2,57%;244940;34,4273679256;1339,32042909;1373,74779701
19;159565;4903;154662;91835;257;91578;253638;2238;5160;2,05%;246240;35,6365249157;1081,75125313;1117,38777804
20;159565;5189;154376;91835;379;91456;253638;2238;5568;2,21%;245832;29,3626749516;1093,38306117;1122,74573612
21;159565;5423;154142;91835;302;91533;253638;2238;5725;2,28%;245675;27,1058089733;1030,04067302;1057,14648199
22;159565;4783;154782;91835;190;91645;253638;2238;4973;1,98%;246427;26,7755119801;858,406164169;885,181676149
23;159565;4728;154837;91835;475;91360;253638;2238;5203;2,07%;246197;27,3691570759;924,941230059;952,310387135
24;159565;5077;154488;91835;234;91601;253638;2238;5311;2,11%;246089;27,1590619087;980,230559111;1007,38962102
25;159565;5060;154505;91835;311;91524;253638;2238;5371;2,14%;246029;27,5033340454;1101,31513095;1128,81846499
26;159565;5666;153899;91835;102;91733;253638;2238;5768;2,29%;245632;27,5844321251;928,909360886;956,493793011
27;159565;5566;153999;91835;347;91488;253638;2238;5913;2,35%;245487;27,4506790638;1109,76411295;1137,21479201
28;159565;5805;153760;91835;297;91538;253638;2238;6102;2,43%;245298;27,396655798;937,14143014;964,538085938
29;159565;6187;153378;91835;319;91516;253638;2238;6506;2,59%;244894;27,5901660919;995,429068804;1023,0192349
;;;;;;;;;5789;2,30%;;;;1024
;;;;;;;;;591;0,24%;;;;111
