nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;205077;3075;202002;98718;364;98354;307200;3405;3439;1,13%;300356;30,34674716;1045,26642394;1075,6131711
1;205077;3258;201819;98718;411;98307;307200;3405;3669;1,21%;300126;32,3206679821;1050,57292604;1082,89359403
2;205077;3438;201639;98718;328;98390;307200;3405;3766;1,24%;300029;32,6967139244;1046,79801893;1079,49473286
3;205077;3518;201559;98718;364;98354;307200;3405;3882;1,28%;299913;31,5448918343;994,31083107;1025,8557229
4;205077;3079;201998;98718;391;98327;307200;3405;3470;1,14%;300325;32,1164968014;1000,31666422;1032,43316102
5;205077;3375;201702;98718;304;98414;307200;3405;3679;1,21%;300116;31,9729850292;925,499356031;957,472341061
6;205077;2861;202216;98718;415;98303;307200;3405;3276;1,08%;300519;32,5576219559;1099,21089792;1131,76851988
7;205077;3251;201826;98718;460;98258;307200;3405;3711;1,22%;300084;32,9161128998;1097,96615505;1130,88226795
8;205077;3210;201867;98718;337;98381;307200;3405;3547;1,17%;300248;32,4669790268;1009,22665095;1041,69362998
9;205077;2983;202094;98718;393;98325;307200;3405;3376;1,11%;300419;32,5775771141;1023,49049091;1056,06806803
10;205077;3018;202059;98718;408;98310;307200;3405;3426;1,13%;300369;32,6877770424;1016,12924004;1048,81701708
11;205077;3135;201942;98718;432;98286;307200;3405;3567;1,17%;300228;32,3069758415;1096,98832011;1129,29529595
12;205077;3008;202069;98718;397;98321;307200;3405;3405;1,12%;300390;33,1725430489;1109,25415492;1142,42669797
13;205077;2818;202259;98718;383;98335;307200;3405;3201;1,05%;300594;32,5628769398;1099,23260713;1131,79548407
14;205077;3281;201796;98718;371;98347;307200;3405;3652;1,20%;300143;33,0526399612;1197,04477501;1230,09741497
15;205077;3044;202033;98718;361;98357;307200;3405;3405;1,12%;300390;38,8274731636;1370,22857285;1409,05604601
16;205077;2918;202159;98718;362;98356;307200;3405;3280;1,08%;300515;40,6095979214;1273,58597898;1314,19557691
17;205077;3056;202021;98718;368;98350;307200;3405;3424;1,13%;300371;38,8054850101;1314,72740698;1353,53289199
18;205077;3229;201848;98718;479;98239;307200;3405;3708;1,22%;300087;39,8716950417;1034,96397805;1074,83567309
19;205077;3098;201979;98718;331;98387;307200;3405;3429;1,13%;300366;32,6469180584;1009,40767789;1042,05459595
20;205077;3280;201797;98718;339;98379;307200;3405;3619;1,19%;300176;33,0505452156;1099,90394688;1132,95449209
21;205077;3196;201881;98718;337;98381;307200;3405;3533;1,16%;300262;32,6442079544;1185,07468104;1217,718889
22;205077;3394;201683;98718;414;98304;307200;3405;3808;1,25%;299987;32,7000770569;1104,67604995;1137,376127
23;205077;3096;201981;98718;417;98301;307200;3405;3513;1,16%;300282;33,4759910107;1116,10529709;1149,5812881
24;205077;2912;202165;98718;398;98320;307200;3405;3310;1,09%;300485;32,9522829056;1116,98149204;1149,93377495
25;205077;3282;201795;98718;415;98303;307200;3405;3697;1,22%;300098;33,2670581341;1036,06465697;1069,33171511
26;205077;2868;202209;98718;365;98353;307200;3405;3233;1,06%;300562;33,760956049;1036,71538591;1070,47634196
27;205077;3188;201889;98718;412;98306;307200;3405;3600;1,19%;300195;33,635586977;1124,95274091;1158,58832788
28;205077;2976;202101;98718;359;98359;307200;3405;3335;1,10%;300460;33,2939260006;1218,24863887;1251,54256487
29;205077;3320;201757;98718;402;98316;307200;3405;3722;1,23%;300073;33,7423939705;1130,9322629;1164,67465687
;;;;;;;;;3523;1,16%;;;;1133,08
;;;;;;;;;182;0,06%;;;;100,47
