nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;215971;8980;206991;52289;1143;51146;270000;1740;10123;3,77%;258137;38,4081368446;1043,90129709;1082,30943394
1;215971;8885;207086;52289;806;51483;270000;1740;9691;3,61%;258569;37,8016908169;1045,95446014;1083,75615096
2;215971;8790;207181;52289;1176;51113;270000;1740;9966;3,72%;258294;38,0146870613;1041,99170399;1080,00639105
3;215971;9181;206790;52289;1136;51153;270000;1740;10317;3,85%;257943;39,0225949287;1041,78334808;1080,80594301
4;215971;9283;206688;52289;1163;51126;270000;1740;10446;3,89%;257814;38,6057310104;1045,10833693;1083,71406794
5;215971;8705;207266;52289;1326;50963;270000;1740;10031;3,74%;258229;39,2017879486;1043,99266219;1083,19445014
6;215971;8997;206974;52289;1224;51065;270000;1740;10221;3,81%;258039;38,6803381443;1049,47298384;1088,15332198
7;215971;8900;207071;52289;1080;51209;270000;1740;9980;3,72%;258280;38,0064108372;1055,7988162;1093,80522704
8;215971;9098;206873;52289;1138;51151;270000;1740;10236;3,82%;258024;38,2723920345;1046,21288395;1084,48527598
9;215971;9096;206875;52289;1099;51190;270000;1740;10195;3,80%;258065;38,6418449879;1047,28965616;1085,93150115
10;215971;9047;206924;52289;928;51361;270000;1740;9975;3,72%;258285;38,3443601131;1047,00586605;1085,35022616
11;215971;8968;207003;52289;907;51382;270000;1740;9875;3,68%;258385;38,6341941357;885,905510902;924,539705038
12;215971;8985;206986;52289;1146;51143;270000;1740;10131;3,78%;258129;38,2150380611;1037,19660711;1075,41164517
13;215971;8798;207173;52289;1154;51135;270000;1740;9952;3,71%;258308;38,0471680164;1047,30538702;1085,35255504
14;215971;9216;206755;52289;934;51355;270000;1740;10150;3,78%;258110;38,8676929474;1043,40260601;1082,27029896
15;215971;8850;207121;52289;1194;51095;270000;1740;10044;3,74%;258216;38,0337309837;1049,39786601;1087,43159699
16;215971;8952;207019;52289;1186;51103;270000;1740;10138;3,78%;258122;38,1987998486;1048,30638409;1086,50518394
17;215971;8981;206990;52289;1232;51057;270000;1740;10213;3,81%;258047;38,3950138092;1052,05359697;1090,44861078
18;215971;8967;207004;52289;1120;51169;270000;1740;10087;3,76%;258173;38,5751931667;1045,63878393;1084,2139771
19;215971;8945;207026;52289;1188;51101;270000;1740;10133;3,78%;258127;38,1480138302;1202,75837708;1240,90639091
20;215971;8911;207060;52289;1177;51112;270000;1740;10088;3,76%;258172;37,7169120312;1043,39418101;1081,11109304
21;215971;8850;207121;52289;1197;51092;270000;1740;10047;3,75%;258213;38,8191270828;1051,87403798;1090,69316506
22;215971;8588;207383;52289;1240;51049;270000;1740;9828;3,66%;258432;38,3872189522;1051,86212397;1090,24934292
23;215971;8945;207026;52289;1021;51268;270000;1740;9966;3,72%;258294;38,3584458828;879,502748013;917,861193895
24;215971;8552;207419;52289;1087;51202;270000;1740;9639;3,59%;258621;33,1015679836;747,867645025;780,969213009
25;215971;8746;207225;52289;1328;50961;270000;1740;10074;3,76%;258186;32,4214119911;747,144207954;779,565619946
26;215971;8856;207115;52289;1145;51144;270000;1740;10001;3,73%;258259;32,7310590744;880,343831062;913,074890137
27;215971;9024;206947;52289;1241;51048;270000;1740;10265;3,83%;257995;32,7113888264;749,516379118;782,227767944
28;215971;8659;207312;52289;1085;51204;270000;1740;9744;3,63%;258516;32,7076869011;883,22921896;915,936905861
29;215971;8516;207455;52289;1038;51251;270000;1740;9554;3,56%;258706;34,5862131119;881,686414003;916,272627115
;;;;;;;;;10037;3,74%;;;;1031,89
;;;;;;;;;201;0,08%;;;;111,06
