nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;144949;591;144358;9328;0;9328;154700;423;591;0,38%;153686;803,264463902;539,603092909;1342,86755681
1;144949;565;144384;9328;0;9328;154700;423;565;0,37%;153712;838,374520063;530,544502974;1368,91902304
2;144949;585;144364;9328;0;9328;154700;423;585;0,38%;153692;844,2460711;619,148886919;1463,39495802
3;144949;582;144367;9328;0;9328;154700;423;582;0,38%;153695;879,19847393;666,983792067;1546,182266
4;144949;592;144357;9328;0;9328;154700;423;592;0,38%;153685;819,409479141;465,354959965;1284,76443911
5;144949;606;144343;9328;0;9328;154700;423;606;0,39%;153671;802,485852003;540,431205988;1342,91705799
6;144949;611;144338;9328;0;9328;154700;423;611;0,40%;153666;795,358560085;540,743900061;1336,10246015
7;144949;605;144344;9328;0;9328;154700;423;605;0,39%;153672;799,276430845;540,434540987;1339,71097183
8;144949;597;144352;9328;0;9328;154700;423;597;0,39%;153680;806,605086088;537,39840889;1344,00349498
9;144949;600;144349;9328;0;9328;154700;423;600;0,39%;153677;793,200340986;535,422827959;1328,62316895
10;144949;602;144347;9328;0;9328;154700;423;602;0,39%;153675;794,013251066;612,362738132;1406,3759892
11;144949;589;144360;9328;0;9328;154700;423;589;0,38%;153688;804,227430105;457,119068861;1261,34649897
12;144949;583;144366;9328;0;9328;154700;423;583;0,38%;153694;803,482081175;534,422996044;1337,90507722
13;144949;576;144373;9328;0;9328;154700;423;576;0,37%;153701;788,051460028;537,557057858;1325,60851789
14;144949;598;144351;9328;0;9328;154700;423;598;0,39%;153679;786,032968044;529,046769857;1315,0797379
15;144949;600;144349;9328;0;9328;154700;423;600;0,39%;153677;774,883036137;530,049021959;1304,9320581
16;144949;587;144362;9328;0;9328;154700;423;587;0,38%;153690;797,275180817;631,816608191;1429,09178901
17;144949;597;144352;9328;0;9328;154700;423;597;0,39%;153680;806,754778862;550,229972124;1356,98475099
18;144949;581;144368;9328;0;9328;154700;423;581;0,38%;153696;817,989481926;561,68590498;1379,67538691
19;144949;594;144355;9328;0;9328;154700;423;594;0,39%;153683;832,583904028;556,562449932;1389,14635396
20;144949;594;144355;9328;0;9328;154700;423;594;0,39%;153683;815,955657959;550,181164026;1366,13682199
21;144949;598;144351;9328;0;9328;154700;423;598;0,39%;153679;821,883849144;554,135118008;1376,01896715
22;144949;594;144355;9328;0;9328;154700;423;594;0,39%;153683;804,634374857;554,962567091;1359,59694195
23;144949;587;144362;9328;0;9328;154700;423;587;0,38%;153690;827,979802132;563,055810928;1391,03561306
24;144949;603;144346;9328;0;9328;154700;423;603;0,39%;153674;829,916414022;577,750343084;1407,66675711
25;144949;593;144356;9328;0;9328;154700;423;593;0,38%;153684;871,877758026;641,987325907;1513,86508393
26;144949;589;144360;9328;0;9328;154700;423;589;0,38%;153688;887,362272024;631,058243036;1518,42051506
27;144949;594;144355;9328;0;9328;154700;423;594;0,39%;153683;957,332254887;627,348078012;1584,6803329
28;144949;586;144363;9328;0;9328;154700;423;586;0,38%;153691;896,913866997;504,251790047;1401,16565704
29;144949;597;144352;9328;0;9328;154700;423;597;0,39%;153680;822,885323048;594,835912943;1417,72123599
;;;;;;;;;593;0,38%;;;;1384,66
;;;;;;;;;10;0,01%;;;;76,13
