nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;236406;7378;229028;32326;424;31902;270000;1268;7802;2,90%;260930;34,2034108639;1304,75484419;1338,95825505
1;236406;7298;229108;32326;433;31893;270000;1268;7731;2,88%;261001;34,0767920017;1102,43583393;1136,51262593
2;236406;7619;228787;32326;405;31921;270000;1268;8024;2,99%;260708;34,1164078712;1304,66513515;1338,78154302
3;236406;7140;229266;32326;431;31895;270000;1268;7571;2,82%;261161;34,4139080048;1204,12187004;1238,53577805
4;236406;7166;229240;32326;466;31860;270000;1268;7632;2,84%;261100;34,0317919254;1099,5751431;1133,60693502
5;236406;6282;230124;32326;516;31810;270000;1268;6798;2,53%;261934;34,0203340054;1095,93484402;1129,95517802
6;236406;7750;228656;32326;384;31942;270000;1268;8134;3,03%;260598;34,2574779987;1202,98619294;1237,24367094
7;236406;7134;229272;32326;496;31830;270000;1268;7630;2,84%;261102;33,9680409431;1114,45482612;1148,42286706
8;236406;7133;229273;32326;484;31842;270000;1268;7617;2,83%;261115;33,883202076;1499,08299804;1532,96620011
9;236406;7395;229011;32326;372;31954;270000;1268;7767;2,89%;260965;43,3979558945;1224,29249811;1267,69045401
10;236406;7607;228799;32326;363;31963;270000;1268;7970;2,97%;260762;35,1289789677;1321,72312498;1356,85210395
11;236406;7187;229219;32326;437;31889;270000;1268;7624;2,84%;261108;35,9322109222;1316,50093007;1352,43314099
12;236406;6858;229548;32326;555;31771;270000;1268;7413;2,76%;261319;34,3014628887;1118,96787691;1153,2693398
13;236406;7730;228676;32326;430;31896;270000;1268;8160;3,04%;260572;35,2601850033;1241,367939;1276,628124
14;236406;7504;228902;32326;378;31948;270000;1268;7882;2,93%;260850;35,567761898;1242,10382199;1277,67158389
15;236406;6968;229438;32326;519;31807;270000;1268;7487;2,79%;261245;34,119426012;1228,70511699;1262,824543
16;236406;7558;228848;32326;415;31911;270000;1268;7973;2,97%;260759;34,367800951;1333,11988688;1367,48768783
17;236406;7316;229090;32326;450;31876;270000;1268;7766;2,89%;260966;33,7227621078;1203,07948303;1236,80224514
18;236406;7272;229134;32326;377;31949;270000;1268;7649;2,85%;261083;33,7613828182;1191,8592701;1225,62065291
19;236406;7339;229067;32326;402;31924;270000;1268;7741;2,88%;260991;33,7921259403;1312,65214396;1346,4442699
20;236406;6911;229495;32326;490;31836;270000;1268;7401;2,75%;261331;34,6216220856;1119,36088204;1153,98250413
21;236406;6795;229611;32326;468;31858;270000;1268;7263;2,70%;261469;34,3764920235;1221,05609512;1255,43258715
22;236406;6855;229551;32326;420;31906;270000;1268;7275;2,71%;261457;34,5827460289;1123,92236495;1158,50511098
23;236406;6987;229419;32326;446;31880;270000;1268;7433;2,77%;261299;34,0258128643;1121,85494614;1155,880759
24;236406;7740;228666;32326;350;31976;270000;1268;8090;3,01%;260642;34,5983641148;1239,89433002;1274,49269414
25;236406;6501;229905;32326;651;31675;270000;1268;7152;2,66%;261580;34,6535181999;1321,15980482;1355,81332302
26;236406;7392;229014;32326;385;31941;270000;1268;7777;2,89%;260955;34,7055468559;1303,92909217;1338,63463902
27;236406;7680;228726;32326;353;31973;270000;1268;8033;2,99%;260699;33,9001150131;1022,82407999;1056,724195
28;236406;7418;228988;32326;541;31785;270000;1268;7959;2,96%;260773;28,4994361401;908,438014984;936,937451124
29;236406;7949;228457;32326;375;31951;270000;1268;8324;3,10%;260408;28,4808299541;909,146517038;937,627346992
;;;;;;;;;7703;2,87%;;;;1232,76
;;;;;;;;;335;0,12%;;;;127,92
