nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;219478;3119;216359;268266;138;268128;494400;6656;3257;0,67%;484487;165,297947168;1767,30665183;1932,604599
1;219478;3631;215847;268266;93;268173;494400;6656;3724;0,76%;484020;126,422834158;1606,18674684;1732,60958099
2;219478;3042;216436;268266;116;268150;494400;6656;3158;0,65%;484586;115,935491085;1418,00334597;1533,93883705
3;219478;2633;216845;268266;119;268147;494400;6656;2752;0,56%;484992;115,067443848;1397,83882999;1512,90627384
4;219478;2628;216850;268266;143;268123;494400;6656;2771;0,57%;484973;116,859510899;1421,40659595;1538,26610684
5;219478;3090;216388;268266;126;268140;494400;6656;3216;0,66%;484528;119,161602974;1422,81935811;1541,98096108
6;219478;2836;216642;268266;134;268132;494400;6656;2970;0,61%;484774;115,293638945;1422,13881302;1537,43245196
7;219478;3018;216460;268266;119;268147;494400;6656;3137;0,64%;484607;110,479251862;1414,15252399;1524,63177586
8;219478;2900;216578;268266;126;268140;494400;6656;3026;0,62%;484718;105,333462954;1507,84889793;1613,18236089
9;219478;2804;216674;268266;90;268176;494400;6656;2894;0,59%;484850;119,376852036;1422,04312706;1541,4199791
10;219478;2976;216502;268266;105;268161;494400;6656;3081;0,63%;484663;124,450623989;1569,0627799;1693,51340389
11;219478;2310;217168;268266;147;268119;494400;6656;2457;0,50%;485287;126,022505045;1425,32065296;1551,34315801
12;219478;3324;216154;268266;129;268137;494400;6656;3453;0,71%;484291;121,352689981;1444,31679201;1565,66948199
13;219478;3114;216364;268266;132;268134;494400;6656;3246;0,67%;484498;129,689677;1453,37772608;1583,06740308
14;219478;3225;216253;268266;106;268160;494400;6656;3331;0,68%;484413;122,05767107;1461,849967;1583,90763807
15;219478;2813;216665;268266;130;268136;494400;6656;2943;0,60%;484801;125,128032923;1567,13240004;1692,26043296
16;219478;3309;216169;268266;102;268164;494400;6656;3411;0,70%;484333;195,013770103;1509,7473681;1704,7611382
17;219478;2999;216479;268266;129;268137;494400;6656;3128;0,64%;484616;139,303577185;1456,71777582;1596,02135301
18;219478;3199;216279;268266;108;268158;494400;6656;3307;0,68%;484437;154,41714716;1462,38188887;1616,79903603
19;219478;3055;216423;268266;118;268148;494400;6656;3173;0,65%;484571;146,107033968;1401,11710501;1547,22413898
20;219478;2640;216838;268266;135;268131;494400;6656;2775;0,57%;484969;123,142038822;1701,32825112;1824,47028995
21;219478;2948;216530;268266;113;268153;494400;6656;3061;0,63%;484683;177,486641884;1450,227669;1627,71431088
22;219478;3147;216331;268266;113;268153;494400;6656;3260;0,67%;484484;213,48333621;1603,00149083;1816,48482704
23;219478;2769;216709;268266;113;268153;494400;6656;2882;0,59%;484862;138,713046074;1403,6641469;1542,37719297
24;219478;2850;216628;268266;114;268152;494400;6656;2964;0,61%;484780;176,161364079;1475,18918705;1651,35055113
25;219478;3408;216070;268266;100;268166;494400;6656;3508;0,72%;484236;234,208313942;1406,32825708;1640,53657103
26;219478;2853;216625;268266;119;268147;494400;6656;2972;0,61%;484772;211,720593214;1636,41193199;1848,13252521
27;219478;2923;216555;268266;131;268135;494400;6656;3054;0,63%;484690;199,228312016;1415,10037208;1614,32868409
28;219478;3460;216018;268266;95;268171;494400;6656;3555;0,73%;484189;250,438570976;1445,68997717;1696,12854815
29;219478;3229;216249;268266;121;268145;494400;6656;3350;0,69%;484394;191,178333998;1541,79513407;1732,97346807
;;;;;;;;;3127;0,64%;;;;1637,93
;;;;;;;;;272;0,06%;;;;109,4
