nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;133105;2752;130353;8380;351;8029;143000;1515;3103;2,19%;138382;28,4982280731;922,291393042;950,789621115
1;133105;2647;130458;8380;443;7937;143000;1515;3090;2,18%;138395;28,7713251114;1128,25991797;1157,03124309
2;133105;2846;130259;8380;371;8009;143000;1515;3217;2,27%;138268;32,0281720161;1100,16420293;1132,19237494
3;133105;2505;130600;8380;361;8019;143000;1515;2866;2,03%;138619;30,7920680046;935,290760994;966,082828999
4;133105;2801;130304;8380;351;8029;143000;1515;3152;2,23%;138333;24,0075941086;851,757663012;875,76525712
5;133105;2780;130325;8380;413;7967;143000;1515;3193;2,26%;138292;24,0712947845;840,743904114;864,815198898
6;133105;2822;130283;8380;334;8046;143000;1515;3156;2,23%;138329;23,8265790939;837,30613184;861,132710934
7;133105;2550;130555;8380;408;7972;143000;1515;2958;2,09%;138527;23,8076050282;693,158053875;716,965658903
8;133105;2825;130280;8380;379;8001;143000;1515;3204;2,26%;138281;22,9711279869;978,268235922;1001,23936391
9;133105;2827;130278;8380;386;7994;143000;1515;3213;2,27%;138272;23,2841360569;1050,69890904;1073,9830451
10;133105;2651;130454;8380;356;8024;143000;1515;3007;2,13%;138478;23,4819769859;836,744387865;860,226364851
11;133105;2888;130217;8380;334;8046;143000;1515;3222;2,28%;138263;24,0763249397;841,024765968;865,101090908
12;133105;2602;130503;8380;377;8003;143000;1515;2979;2,11%;138506;23,1725521088;694,026576042;717,199128151
13;133105;2878;130227;8380;363;8017;143000;1515;3241;2,29%;138244;23,851348877;903,234758139;927,086107016
14;133105;3112;129993;8380;354;8026;143000;1515;3466;2,45%;138019;23,8310201168;839,684767962;863,515788078
15;133105;2835;130270;8380;391;7989;143000;1515;3226;2,28%;138259;23,6773359776;834,63293314;858,310269117
16;133105;2756;130349;8380;369;8011;143000;1515;3125;2,21%;138360;23,409678936;841,653563976;865,063242912
17;133105;3043;130062;8380;374;8006;143000;1515;3417;2,42%;138068;23,8541300297;776,477378845;800,331508875
18;133105;2809;130296;8380;401;7979;143000;1515;3210;2,27%;138275;23,9812831879;953,569348812;977,550632
19;133105;2915;130190;8380;378;8002;143000;1515;3293;2,33%;138192;30,4416480064;1039,49751306;1069,93916106
20;133105;2888;130217;8380;356;8024;143000;1515;3244;2,29%;138241;26,3245739937;985,020658016;1011,34523201
21;133105;2577;130528;8380;378;8002;143000;1515;2955;2,09%;138530;29,9079120159;1111,36357689;1141,2714889
22;133105;2861;130244;8380;410;7970;143000;1515;3271;2,31%;138214;35,8902430534;845,371741056;881,26198411
23;133105;2851;130254;8380;413;7967;143000;1515;3264;2,31%;138221;23,4632108212;820,385095119;843,848305941
24;133105;2850;130255;8380;373;8007;143000;1515;3223;2,28%;138262;23,6740980148;830,135452032;853,809550047
25;133105;2792;130313;8380;350;8030;143000;1515;3142;2,22%;138343;23,4822010994;899,783636093;923,265837193
26;133105;2921;130184;8380;386;7994;143000;1515;3307;2,34%;138178;23,5218429565;904,923508167;928,445351124
27;133105;2693;130412;8380;422;7958;143000;1515;3115;2,20%;138370;23,5921499729;908,710111856;932,302261829
28;133105;3065;130040;8380;351;8029;143000;1515;3416;2,41%;138069;24,4522461891;909,114879847;933,567126036
29;133105;2807;130298;8380;373;8007;143000;1515;3180;2,25%;138305;24,0123410225;909,24295187;933,255292892
;;;;;;;;;3182;2,25%;;;;926,22
;;;;;;;;;138;0,10%;;;;109,95
