nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;156868;7048;149820;33455;434;33021;190323;0;7482;3,93%;182841;22,4144260883;968,205636024;990,620062113
1;156868;7213;149655;33455;364;33091;190323;0;7577;3,98%;182746;27,3148019314;1200,83066392;1228,14546585
2;156868;6960;149908;33455;407;33048;190323;0;7367;3,87%;182956;30,287457943;1254,32627606;1284,61373401
3;156868;7153;149715;33455;441;33014;190323;0;7594;3,99%;182729;30,3509078026;1078,55619621;1108,90710402
4;156868;6806;150062;33455;415;33040;190323;0;7221;3,79%;183102;23,223361969;878,034719944;901,258081913
5;156868;7136;149732;33455;387;33068;190323;0;7523;3,95%;182800;23,0741150379;962,890064955;985,964179993
6;156868;6893;149975;33455;377;33078;190323;0;7270;3,82%;183053;22,9388320446;963,613780022;986,552612066
7;156868;6616;150252;33455;426;33029;190323;0;7042;3,70%;183281;22,6662809849;876,490020037;899,156301022
8;156868;7406;149462;33455;410;33045;190323;0;7816;4,11%;182507;23,1993510723;1140,74582505;1163,94517612
9;156868;6969;149899;33455;365;33090;190323;0;7334;3,85%;182989;22,9657890797;964,535932779;987,501721859
10;156868;7076;149792;33455;413;33042;190323;0;7489;3,93%;182834;22,7565450668;965,497946978;988,254492044
11;156868;7001;149867;33455;415;33040;190323;0;7416;3,90%;182907;22,8541841507;962,648779869;985,50296402
12;156868;7198;149670;33455;425;33030;190323;0;7623;4,01%;182700;22,9998238087;874,962650061;897,962473869
13;156868;7135;149733;33455;378;33077;190323;0;7513;3,95%;182810;22,8853311539;1051,56754279;1074,45287395
14;156868;7089;149779;33455;389;33066;190323;0;7478;3,93%;182845;23,0773320198;872,401882172;895,479214191
15;156868;6866;150002;33455;431;33024;190323;0;7297;3,83%;183026;23,1507740021;968,446018934;991,596792936
16;156868;7144;149724;33455;419;33036;190323;0;7563;3,97%;182760;23,0775418282;1128,75763297;1151,8351748
17;156868;7323;149545;33455;412;33043;190323;0;7735;4,06%;182588;29,7581238747;1269,56803799;1299,32616186
18;156868;7301;149567;33455;411;33044;190323;0;7712;4,05%;182611;32,8099889755;1144,98647189;1177,79646087
19;156868;6732;150136;33455;436;33019;190323;0;7168;3,77%;183155;33,1690170765;959,907879829;993,076896906
20;156868;6793;150075;33455;443;33012;190323;0;7236;3,80%;183087;22,3503088951;866,86435008;889,214658976
21;156868;7020;149848;33455;423;33032;190323;0;7443;3,91%;182880;22,6828830242;952,667860985;975,350744009
22;156868;7242;149626;33455;401;33054;190323;0;7643;4,02%;182680;22,9571118355;958,395123005;981,35223484
23;156868;7103;149765;33455;392;33063;190323;0;7495;3,94%;182828;22,8191161156;953,351667881;976,170783997
24;156868;7050;149818;33455;438;33017;190323;0;7488;3,93%;182835;22,8032720089;877,477030039;900,280302048
25;156868;7115;149753;33455;380;33075;190323;0;7495;3,94%;182828;22,9693229198;967,940505028;990,909827948
26;156868;7008;149860;33455;337;33118;190323;0;7345;3,86%;182978;23,1257450581;967,798592806;990,924337864
27;156868;7226;149642;33455;359;33096;190323;0;7585;3,99%;182738;23,1754560471;974,507432938;997,682888985
28;156868;6967;149901;33455;387;33068;190323;0;7354;3,86%;182969;23,509871006;880,884780884;904,39465189
29;156868;7242;149626;33455;403;33052;190323;0;7645;4,02%;182678;23,4283549786;971,434400082;994,86275506
;;;;;;;;;7465;3,92%;;;;1019,77
;;;;;;;;;177;0,09%;;;;115,27
