nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;218873;5706;213167;49885;820;49065;270000;1242;6526;2,43%;262232;42,284555912;1019,92452812;1062,20908403
1;218873;6106;212767;49885;778;49107;270000;1242;6884;2,56%;261874;39,7661440372;955,617624998;995,383769035
2;218873;6186;212687;49885;724;49161;270000;1242;6910;2,57%;261848;39,7666871548;960,08849287;999,855180025
3;218873;5988;212885;49885;793;49092;270000;1242;6781;2,52%;261977;40,599105835;959,481659174;1000,08076501
4;218873;6049;212824;49885;770;49115;270000;1242;6819;2,54%;261939;39,7970268726;962,628121138;1002,42514801
5;218873;6196;212677;49885;820;49065;270000;1242;7016;2,61%;261742;39,9007470608;967,339559078;1007,24030614
6;218873;6272;212601;49885;731;49154;270000;1242;7003;2,61%;261755;40,5475668907;967,197743893;1007,74531078
7;218873;6060;212813;49885;732;49153;270000;1242;6792;2,53%;261966;40,287927866;971,674807072;1011,96273494
8;218873;6167;212706;49885;790;49095;270000;1242;6957;2,59%;261801;40,3011031151;993,506236076;1033,80733919
9;218873;6103;212770;49885;759;49126;270000;1242;6862;2,55%;261896;40,6455628872;971,155709028;1011,80127192
10;218873;6206;212667;49885;793;49092;270000;1242;6999;2,60%;261759;40,4502668381;967,539936066;1007,9902029
11;218873;6206;212667;49885;717;49168;270000;1242;6923;2,58%;261835;40,1806800365;969,851621866;1010,0323019
12;218873;5753;213120;49885;769;49116;270000;1242;6522;2,43%;262236;40,1234428883;969,446913958;1009,57035685
13;218873;5999;212874;49885;730;49155;270000;1242;6729;2,50%;262029;40,6560800076;965,270162821;1005,92624283
14;218873;5897;212976;49885;847;49038;270000;1242;6744;2,51%;262014;40,2467038631;972,35748601;1012,60418987
15;218873;6197;212676;49885;752;49133;270000;1242;6949;2,59%;261809;40,4114089012;961,701385975;1002,11279488
16;218873;6050;212823;49885;730;49155;270000;1242;6780;2,52%;261978;39,900247097;969,380311966;1009,28055906
17;218873;6269;212604;49885;764;49121;270000;1242;7033;2,62%;261725;40,6133370399;1209,63768983;1250,25102687
18;218873;6284;212589;49885;718;49167;270000;1242;7002;2,61%;261756;40,3212239742;976,222107887;1016,54333186
19;218873;5962;212911;49885;792;49093;270000;1242;6754;2,51%;262004;40,3955938816;966,406100035;1006,80169392
20;218873;6058;212815;49885;748;49137;270000;1242;6806;2,53%;261952;40,1861948967;966,986346006;1007,1725409
21;218873;6178;212695;49885;752;49133;270000;1242;6930;2,58%;261828;40,2907340527;969,785398006;1010,07613206
22;218873;6093;212780;49885;763;49122;270000;1242;6856;2,55%;261902;40,0989451408;965,435293913;1005,53423905
23;218873;5962;212911;49885;754;49131;270000;1242;6716;2,50%;262042;40,5612230301;846,61093998;887,17216301
24;218873;6134;212739;49885;758;49127;270000;1242;6892;2,56%;261866;40,4124631882;1205,52226186;1245,93472505
25;218873;5994;212879;49885;853;49032;270000;1242;6847;2,55%;261911;40,0202159882;963,825495005;1003,84571099
26;218873;5860;213013;49885;752;49133;270000;1242;6612;2,46%;262146;40,5592458248;963,206618071;1003,7658639
27;218873;6301;212572;49885;733;49152;270000;1242;7034;2,62%;261724;40,6510801315;964,341215849;1004,99229598
28;218873;6015;212858;49885;825;49060;270000;1242;6840;2,55%;261918;40,7901329994;973,272300005;1014,062433
29;218873;6412;212461;49885;740;49145;270000;1242;7152;2,66%;261606;40,5289690495;1207,12763691;1247,65660596
;;;;;;;;;6856;2,55%;;;;1029,79
;;;;;;;;;148;0,05%;;;;78,18
