nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;133937;4352;129585;51333;626;50707;187500;2230;4978;2,69%;180292;19,087968111;949,552468061;968,640436172
1;133937;4214;129723;51333;607;50726;187500;2230;4821;2,60%;180449;19,92750597;865,530786991;885,458292961
2;133937;4163;129774;51333;601;50732;187500;2230;4764;2,57%;180506;19,7601490021;956,215039015;975,975188017
3;133937;4540;129397;51333;608;50725;187500;2230;5148;2,78%;180122;20,1554141045;801,462702036;821,61811614
4;133937;4586;129351;51333;531;50802;187500;2230;5117;2,76%;180153;19,8819999695;956,331807137;976,213807106
5;133937;4166;129771;51333;582;50751;187500;2230;4748;2,56%;180522;20,2518720627;963,36085701;983,612729073
6;133937;4508;129429;51333;609;50724;187500;2230;5117;2,76%;180153;20,6097109318;1123,0694201;1143,67913103
7;133937;4303;129634;51333;621;50712;187500;2230;4924;2,66%;180346;20,3108558655;887,570863008;907,881718874
8;133937;3802;130135;51333;657;50676;187500;2230;4459;2,41%;180811;20,5792200565;992,574521065;1013,15374112
9;133937;3871;130066;51333;664;50669;187500;2230;4535;2,45%;180735;20,5171320438;891,623743057;912,140875101
10;133937;4084;129853;51333;589;50744;187500;2230;4673;2,52%;180597;20,4084408283;968,146836042;988,555276871
11;133937;4094;129843;51333;547;50786;187500;2230;4641;2,50%;180629;20,3930048943;1050,43859696;1070,83160186
12;133937;4036;129901;51333;599;50734;187500;2230;4635;2,50%;180635;20,3770999908;889,905973911;910,283073902
13;133937;3955;129982;51333;569;50764;187500;2230;4524;2,44%;180746;20,7240560055;890,839761972;911,563817978
14;133937;4377;129560;51333;649;50684;187500;2230;5026;2,71%;180244;20,6192359924;1044,10829091;1064,7275269
15;133937;4195;129742;51333;623;50710;187500;2230;4818;2,60%;180452;20,4283919334;968,271420002;988,699811935
16;133937;3706;130231;51333;630;50703;187500;2230;4336;2,34%;180934;20,2160439491;955,04518199;975,261225939
17;133937;3947;129990;51333;655;50678;187500;2230;4602;2,48%;180668;20,7962260246;969,479164839;990,275390863
18;133937;4233;129704;51333;498;50835;187500;2230;4731;2,55%;180539;20,6653409004;888,069961071;908,735301971
19;133937;4647;129290;51333;641;50692;187500;2230;5288;2,85%;179982;20,2313799858;976,536776066;996,768156052
20;133937;4153;129784;51333;615;50718;187500;2230;4768;2,57%;180502;20,1847629547;1124,01549196;1144,20025492
21;133937;4202;129735;51333;663;50670;187500;2230;4865;2,63%;180405;20,3772082329;1041,56045198;1061,93766022
22;133937;4172;129765;51333;639;50694;187500;2230;4811;2,60%;180459;20,3869700432;957,119035959;977,506006002
23;133937;4227;129710;51333;561;50772;187500;2230;4788;2,58%;180482;20,3870551586;963,230867863;983,617923021
24;133937;3867;130070;51333;627;50706;187500;2230;4494;2,43%;180776;20,6791908741;961,643445015;982,322635889
25;133937;4349;129588;51333;611;50722;187500;2230;4960;2,68%;180310;20,4002451897;1047,94820285;1068,34844804
26;133937;4322;129615;51333;609;50724;187500;2230;4931;2,66%;180339;20,6016509533;959,282106161;979,883757114
27;133937;4216;129721;51333;629;50704;187500;2230;4845;2,62%;180425;20,3341350555;1043,77470684;1064,1088419
28;133937;4147;129790;51333;641;50692;187500;2230;4788;2,58%;180482;20,1964950562;964,339451075;984,535946131
29;133937;3976;129961;51333;643;50690;187500;2230;4619;2,49%;180651;20,4285960197;969,034188032;989,462784052
;;;;;;;;;4792;2,59%;;;;987,67
;;;;;;;;;222;0,12%;;;;71,78
