nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;197773;7641;190132;106831;402;106429;307200;2596;8043;2,64%;296561;40,0241761208;1172,748106;1212,77228212
1;197773;7810;189963;106831;385;106446;307200;2596;8195;2,69%;296409;42,0433349609;1342,03803301;1384,08136797
2;197773;7437;190336;106831;592;106239;307200;2596;8029;2,64%;296575;41,7604050636;1337,50811982;1379,26852489
3;197773;7970;189803;106831;311;106520;307200;2596;8281;2,72%;296323;41,971681118;1350,14386582;1392,11554694
4;197773;7233;190540;106831;602;106229;307200;2596;7835;2,57%;296769;41,6284210682;1329,90121603;1371,5296371
5;197773;7578;190195;106831;522;106309;307200;2596;8100;2,66%;296504;41,7350149155;1333,75560117;1375,49061608
6;197773;7550;190223;106831;424;106407;307200;2596;7974;2,62%;296630;42,4178211689;1330,13326597;1372,55108714
7;197773;7663;190110;106831;465;106366;307200;2596;8128;2,67%;296476;42,3224260807;1341,49425697;1383,81668305
8;197773;7267;190506;106831;406;106425;307200;2596;7673;2,52%;296931;42,0665280819;1338,09994984;1380,16647792
9;197773;7683;190090;106831;410;106421;307200;2596;8093;2,66%;296511;42,2047719955;1331,16370606;1373,36847806
10;197773;7547;190226;106831;454;106377;307200;2596;8001;2,63%;296603;41,9450809956;1345,60090685;1387,54598784
11;197773;7445;190328;106831;498;106333;307200;2596;7943;2,61%;296661;49,7412550449;1334,01612782;1383,75738287
12;197773;7736;190037;106831;491;106340;307200;2596;8227;2,70%;296377;41,9931530952;1330,47896791;1372,472121
13;197773;7662;190111;106831;513;106318;307200;2596;8175;2,68%;296429;41,9275231361;1327,812639;1369,74016213
14;197773;7707;190066;106831;474;106357;307200;2596;8181;2,69%;296423;41,5436019897;1221,52725005;1263,07085204
15;197773;7605;190168;106831;456;106375;307200;2596;8061;2,65%;296543;41,7007701397;1320,4078629;1362,10863304
16;197773;7624;190149;106831;632;106199;307200;2596;8256;2,71%;296348;41,6855201721;1316,69565988;1358,38118005
17;197773;7530;190243;106831;498;106333;307200;2596;8028;2,64%;296576;41,5932731628;1319,73567986;1361,32895303
18;197773;7312;190461;106831;642;106189;307200;2596;7954;2,61%;296650;41,3279960155;1323,97012687;1365,29812288
19;197773;7607;190166;106831;551;106280;307200;2596;8158;2,68%;296446;41,2757029533;1120,11703706;1161,39274001
20;197773;7519;190254;106831;501;106330;307200;2596;8020;2,63%;296584;41,3041300774;1309,31315494;1350,61728501
21;197773;7219;190554;106831;540;106291;307200;2596;7759;2,55%;296845;41,3772678375;1310,37719297;1351,75446081
22;197773;7926;189847;106831;367;106464;307200;2596;8293;2,72%;296311;41,6822018623;1311,85699201;1353,53919387
23;197773;7656;190117;106831;346;106485;307200;2596;8002;2,63%;296602;41,2553169727;1308,24470019;1349,50001717
24;197773;7199;190574;106831;518;106313;307200;2596;7717;2,53%;296887;41,3148100376;1305,81844211;1347,13325214
25;197773;7788;189985;106831;521;106310;307200;2596;8309;2,73%;296295;41,2728228569;1307,00465512;1348,27747798
26;197773;7611;190162;106831;398;106433;307200;2596;8009;2,63%;296595;41,1697368622;1339,22044015;1380,39017701
27;197773;7017;190756;106831;449;106382;307200;2596;7466;2,45%;297138;52,9899787903;1532,95055509;1585,94053388
28;197773;7213;190560;106831;527;106304;307200;2596;7740;2,54%;296864;52,5723679066;1660,13662004;1712,70898795
29;197773;7571;190202;106831;411;106420;307200;2596;7982;2,62%;296622;53,9821970463;1686,43572187;1740,41791892
;;;;;;;;;8021;2,63%;;;;1384,35
;;;;;;;;;200;0,07%;;;;114,35
