nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;219787;13321;206466;48758;673;48085;270000;1455;13994;5,21%;254551;41,1641068459;1457,38166618;1498,54577303
1;219787;13737;206050;48758;602;48156;270000;1455;14339;5,34%;254206;44,248100996;1471,72915411;1515,97725511
2;219787;14196;205591;48758;668;48090;270000;1455;14864;5,54%;253681;42,624448061;1486,62179494;1529,246243
3;219787;13376;206411;48758;733;48025;270000;1455;14109;5,25%;254436;44,4756669998;1603,63575315;1648,11142015
4;219787;13954;205833;48758;648;48110;270000;1455;14602;5,44%;253943;43,4791140556;1380,90914392;1424,38825798
5;219787;14019;205768;48758;661;48097;270000;1455;14680;5,47%;253865;43,1977720261;1379,04526305;1422,24303508
6;219787;13712;206075;48758;706;48052;270000;1455;14418;5,37%;254127;43,0225639343;1386,98819494;1430,01075888
7;219787;13408;206379;48758;713;48045;270000;1455;14121;5,26%;254424;43,7755980492;1608,63827991;1652,41387796
8;219787;13286;206501;48758;666;48092;270000;1455;13952;5,20%;254593;42,4653298855;1620,32330108;1662,78863096
9;219787;13434;206353;48758;684;48074;270000;1455;14118;5,26%;254427;43,7577419281;1514,902143;1558,65988493
10;219787;13997;205790;48758;739;48019;270000;1455;14736;5,49%;253809;43,7425248623;1491,34661198;1535,08913684
11;219787;14359;205428;48758;689;48069;270000;1455;15048;5,60%;253497;41,2311401367;1510,15888381;1551,39002395
12;219787;13311;206476;48758;701;48057;270000;1455;14012;5,22%;254533;43,5060169697;1307,7942481;1351,30026507
13;219787;13978;205809;48758;575;48183;270000;1455;14553;5,42%;253992;42,7002670765;1602,79167295;1645,49194002
14;219787;14388;205399;48758;641;48117;270000;1455;15029;5,60%;253516;43,9396238327;1618,15567708;1662,09530091
15;219787;14338;205449;48758;673;48085;270000;1455;15011;5,59%;253534;45,8427569866;1620,57980084;1666,42255783
16;219787;13441;206346;48758;716;48042;270000;1455;14157;5,27%;254388;42,9406619072;1378,95224404;1421,89290595
17;219787;14073;205714;48758;674;48084;270000;1455;14747;5,49%;253798;42,4289219379;1498,37561798;1540,80453992
18;219787;13837;205950;48758;743;48015;270000;1455;14580;5,43%;253965;43,3126368523;1496,40618515;1539,718822
19;219787;13336;206451;48758;750;48008;270000;1455;14086;5,25%;254459;43,0638160706;1623,73564291;1666,79945898
20;219787;13460;206327;48758;645;48113;270000;1455;14105;5,25%;254440;43,9515249729;1398,3333621;1442,28488708
21;219787;13784;206003;48758;614;48144;270000;1455;14398;5,36%;254147;43,4197649956;1630,80654097;1674,22630596
22;219787;13399;206388;48758;721;48037;270000;1455;14120;5,26%;254425;41,1484510899;1722,99992085;1764,14837193
23;219787;13310;206477;48758;759;47999;270000;1455;14069;5,24%;254476;43,5677051544;1515,96120191;1559,52890706
24;219787;15053;204734;48758;574;48184;270000;1455;15627;5,82%;252918;44,2910690308;1728,93945193;1773,23052096
25;219787;12986;206801;48758;678;48080;270000;1455;13664;5,09%;254881;42,0784549713;1617,61209106;1659,69054604
26;219787;13593;206194;48758;706;48052;270000;1455;14299;5,32%;254246;42,6429710388;1737,42790699;1780,07087803
27;219787;13775;206012;48758;636;48122;270000;1455;14411;5,37%;254134;43,9914338589;1389,68310094;1433,6745348
28;219787;13711;206076;48758;662;48096;270000;1455;14373;5,35%;254172;43,5586299896;1612,17112398;1655,72975397
29;219787;13536;206251;48758;728;48030;270000;1455;14264;5,31%;254281;43,6719200611;1507,15859699;1550,83051705
;;;;;;;;;14416;5,37%;;;;1573,89
;;;;;;;;;418;0,16%;;;;115,1
