nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;157698;10774;146924;24486;1730;22756;187500;5316;12504;6,86%;169680;26,6691870689;1156,18332696;1182,85251403
1;157698;11113;146585;24486;1572;22914;187500;5316;12685;6,96%;169499;24,2930891514;1153,93405104;1178,22714019
2;157698;10589;147109;24486;1610;22876;187500;5316;12199;6,70%;169985;24,6904070377;1074,33819294;1099,02859998
3;157698;10052;147646;24486;1690;22796;187500;5316;11742;6,45%;170442;24,4392340183;1073,40165496;1097,84088898
4;157698;11197;146501;24486;1633;22853;187500;5316;12830;7,04%;169354;24,685379982;1144,25009322;1168,9354732
5;157698;11222;146476;24486;1745;22741;187500;5316;12967;7,12%;169217;24,6497690678;1295,38141108;1320,03118014
6;157698;11540;146158;24486;1631;22855;187500;5316;13171;7,23%;169013;31,2925150394;1001,45113182;1032,74364686
7;157698;11300;146398;24486;1865;22621;187500;5316;13165;7,23%;169019;24,3628399372;1292,90888906;1317,27172899
8;157698;10754;146944;24486;1503;22983;187500;5316;12257;6,73%;169927;25,277834177;993,063201904;1018,34103608
9;157698;10389;147309;24486;1761;22725;187500;5316;12150;6,67%;170034;24,6287639141;992,297277212;1016,92604113
10;157698;10641;147057;24486;1795;22691;187500;5316;12436;6,83%;169748;24,0954709053;1061,14788914;1085,24336004
11;157698;11283;146415;24486;1636;22850;187500;5316;12919;7,09%;169265;24,3620018959;1221,94453502;1246,30653691
12;157698;11689;146009;24486;1540;22946;187500;5316;13229;7,26%;168955;24,9129669666;1218,9801929;1243,89315987
13;157698;11604;146094;24486;1530;22956;187500;5316;13134;7,21%;169050;24,6227149963;1222,08291197;1246,70562696
14;157698;9670;148028;24486;1729;22757;187500;5316;11399;6,26%;170785;24,2605838776;992,826210022;1017,0867939
15;157698;10481;147217;24486;1816;22670;187500;5316;12297;6,75%;169887;24,9591021538;1224,16776395;1249,1268661
16;157698;10799;146899;24486;1645;22841;187500;5316;12444;6,83%;169740;24,7532820702;1069,73441386;1094,48769593
17;157698;11099;146599;24486;1557;22929;187500;5316;12656;6,95%;169528;24,8365848064;1069,38452315;1094,22110796
18;157698;11166;146532;24486;1614;22872;187500;5316;12780;7,01%;169404;24,0202159882;1375,79756308;1399,81777906
19;157698;11743;145955;24486;1596;22890;187500;5316;13339;7,32%;168845;32,4843420982;1520,14647007;1552,63081217
20;157698;11393;146305;24486;1561;22925;187500;5316;12954;7,11%;169230;29,5633540154;1419,51985598;1449,08320999
21;157698;11287;146411;24486;1823;22663;187500;5316;13110;7,20%;169074;32,5500850677;1347,04005003;1379,5901351
22;157698;11198;146500;24486;1624;22862;187500;5316;12822;7,04%;169362;26,9108071327;1413,40921998;1440,32002711
23;157698;10997;146701;24486;1807;22679;187500;5316;12804;7,03%;169380;23,6433579922;1293,82306099;1317,46641898
24;157698;11464;146234;24486;1632;22854;187500;5316;13096;7,19%;169088;29,9880900383;1269,7565341;1299,74462414
25;157698;12060;145638;24486;1554;22932;187500;5316;13614;7,47%;168570;30,1636459827;1442,40138912;1472,5650351
26;157698;11718;145980;24486;1843;22643;187500;5316;13561;7,44%;168623;22,976072073;998,758868933;1021,73494101
27;157698;11202;146496;24486;1593;22893;187500;5316;12795;7,02%;169389;23,7554109097;1015,39924097;1039,15465188
28;157698;11728;145970;24486;1346;23140;187500;5316;13074;7,18%;169110;23,3495540619;1180,54370308;1203,89325714
29;157698;10825;146873;24486;1614;22872;187500;5316;12439;6,83%;169745;23,6942210197;1021,70067716;1045,39489818
;;;;;;;;;12752;7,00%;;;;1211,02
;;;;;;;;;501;0,28%;;;;157,01
