nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;163594;3533;160061;22538;3567;18971;187500;1368;7100;3,81%;179032;32,3522059917;1396,30940604;1428,66161203
1;163594;3452;160142;22538;3610;18928;187500;1368;7062;3,79%;179070;31,8701689243;1391,99771309;1423,86788201
2;163594;3677;159917;22538;3230;19308;187500;1368;6907;3,71%;179225;31,6375701427;1592,26148987;1623,89906001
3;163594;3448;160146;22538;3780;18758;187500;1368;7228;3,88%;178904;30,911906004;1295,85569096;1326,76759696
4;163594;4187;159407;22538;3718;18820;187500;1368;7905;4,25%;178227;31,717291832;1705,74315715;1737,46044898
5;163594;3730;159864;22538;3823;18715;187500;1368;7553;4,06%;178579;30,8281719685;1798,48637509;1829,31454706
6;163594;4093;159501;22538;3619;18919;187500;1368;7712;4,14%;178420;31,4902231693;1489,734586;1521,22480917
7;163594;3597;159997;22538;3822;18716;187500;1368;7419;3,99%;178713;30,6972231865;1588,07553697;1618,77276015
8;163594;3630;159964;22538;3397;19141;187500;1368;7027;3,78%;179105;31,4276709557;1479,61249995;1511,04017091
9;163594;3611;159983;22538;3679;18859;187500;1368;7290;3,92%;178842;30,6560609341;1380,403476;1411,05953693
10;163594;3645;159949;22538;4108;18430;187500;1368;7753;4,17%;178379;31,0691959858;1469,91367507;1500,98287106
11;163594;3756;159838;22538;3670;18868;187500;1368;7426;3,99%;178706;30,6999611855;1275,95221186;1306,65217304
12;163594;3835;159759;22538;3712;18826;187500;1368;7547;4,05%;178585;30,4851520061;1468,95660186;1499,44175386
13;163594;4093;159501;22538;3892;18646;187500;1368;7985;4,29%;178147;30,9728500843;1451,87777591;1482,85062599
14;163594;3390;160204;22538;3618;18920;187500;1368;7008;3,77%;179124;30,334305048;1645,48863006;1675,8229351
15;163594;3644;159950;22538;3938;18600;187500;1368;7582;4,07%;178550;31,375038147;1562,40746403;1593,78250217
16;163594;3626;159968;22538;3569;18969;187500;1368;7195;3,87%;178937;30,952614069;1755,36330509;1786,31591916
17;163594;3832;159762;22538;3774;18764;187500;1368;7606;4,09%;178526;32,5339100361;1799,80766416;1832,34157419
18;163594;3509;160085;22538;3937;18601;187500;1368;7446;4,00%;178686;33,1215419769;1555,37565017;1588,49719214
19;163594;4104;159490;22538;3737;18801;187500;1368;7841;4,21%;178291;31,9164860249;1802,64549303;1834,56197906
20;163594;3380;160214;22538;3706;18832;187500;1368;7086;3,81%;179046;32,7766880989;1643,83942485;1676,61611295
21;163594;3481;160113;22538;3434;19104;187500;1368;6915;3,72%;179217;36,6621320248;1526,57472205;1563,23685408
22;163594;4024;159570;22538;3757;18781;187500;1368;7781;4,18%;178351;31,7805259228;1565,38672018;1597,1672461
23;163594;4204;159390;22538;3828;18710;187500;1368;8032;4,32%;178100;26,310888052;1365,79962897;1392,11051702
24;163594;3532;160062;22538;3474;19064;187500;1368;7006;3,76%;179126;24,4210929871;1238,55994892;1262,98104191
25;163594;3885;159709;22538;3699;18839;187500;1368;7584;4,07%;178548;24,6697490215;1086,04296088;1110,7127099
26;163594;3596;159998;22538;3801;18737;187500;1368;7397;3,97%;178735;23,7933819294;1341,55863118;1365,35201311
27;163594;3549;160045;22538;3593;18945;187500;1368;7142;3,84%;178990;27,189013958;1145,14911985;1172,33813381
28;163594;4340;159254;22538;3691;18847;187500;1368;8031;4,31%;178101;26,1254041195;1354,45651889;1380,58192301
29;163594;4004;159590;22538;3629;18909;187500;1368;7633;4,10%;178499;24,187964201;1473,64934397;1497,83730817
;;;;;;;;;7440;4,00%;;;;1518,41
;;;;;;;;;347;0,19%;;;;188,17
