nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;271299;1705;269594;33402;163;33239;307200;2499;1868;0,61%;302833;61,0526559353;1167,36547112;1228,41812706
1;271299;1775;269524;33402;175;33227;307200;2499;1950;0,64%;302751;61,2667279243;1164,46271014;1225,72943807
2;271299;1606;269693;33402;205;33197;307200;2499;1811;0,59%;302890;60,213037014;1161,50585508;1221,7188921
3;271299;1670;269629;33402;237;33165;307200;2499;1907;0,63%;302794;60,8478059769;1159,48358798;1220,33139396
4;271299;1517;269782;33402;197;33205;307200;2499;1714;0,56%;302987;60,3139829636;1164,94919515;1225,26317811
5;271299;1717;269582;33402;217;33185;307200;2499;1934;0,63%;302767;60,4829368591;1165,44759798;1225,93053484
6;271299;1708;269591;33402;223;33179;307200;2499;1931;0,63%;302770;60,1722409725;1169,24496913;1229,4172101
7;271299;1695;269604;33402;267;33135;307200;2499;1962;0,64%;302739;60,6430468559;1173,41644406;1234,05949092
8;271299;1659;269640;33402;199;33203;307200;2499;1858;0,61%;302843;59,577742815;1162,14665699;1221,72439981
9;271299;1531;269768;33402;200;33202;307200;2499;1731;0,57%;302970;59,9542169571;1168,00649905;1227,96071601
10;271299;1501;269798;33402;196;33206;307200;2499;1697;0,56%;303004;60,1968491077;1158,53995109;1218,73680019
11;271299;1631;269668;33402;157;33245;307200;2499;1788;0,59%;302913;58,8264768124;1150,37694502;1209,20342183
12;271299;1610;269689;33402;172;33230;307200;2499;1782;0,58%;302919;59,8446331024;1144,66471887;1204,50935197
13;271299;1491;269808;33402;170;33232;307200;2499;1661;0,55%;303040;57,1415231228;1149,90853596;1207,05005908
14;271299;1651;269648;33402;183;33219;307200;2499;1834;0,60%;302867;59,7263450623;1139,36754894;1199,093894
15;271299;1704;269595;33402;168;33234;307200;2499;1872;0,61%;302829;59,3962237835;1155,17990112;1214,57612491
16;271299;1765;269534;33402;151;33251;307200;2499;1916;0,63%;302785;59,5712189674;1140,28648496;1199,85770392
17;271299;1655;269644;33402;182;33220;307200;2499;1837;0,60%;302864;59,3659889698;1136,95998716;1196,32597613
18;271299;1775;269524;33402;165;33237;307200;2499;1940;0,64%;302761;57,7996311188;1139,51781797;1197,31744909
19;271299;1728;269571;33402;173;33229;307200;2499;1901;0,62%;302800;59,5293829441;1130,38200998;1189,91139293
20;271299;1566;269733;33402;249;33153;307200;2499;1815;0,60%;302886;57,2548959255;1138,46132803;1195,71622396
21;271299;1589;269710;33402;230;33172;307200;2499;1819;0,60%;302882;58,9904549122;1189,40658998;1248,3970449
22;271299;1495;269804;33402;231;33171;307200;2499;1726;0,57%;302975;61,465061903;1228,80430293;1290,26936483
23;271299;1547;269752;33402;210;33192;307200;2499;1757;0,58%;302944;64,64179492;1245,58665705;1310,22845197
24;271299;1711;269588;33402;188;33214;307200;2499;1899;0,62%;302802;70,9539248943;1302,23861909;1373,19254398
25;271299;1787;269512;33402;219;33183;307200;2499;2006;0,66%;302695;60,8887739182;1250,84084105;1311,72961497
26;271299;1840;269459;33402;153;33249;307200;2499;1993;0,65%;302708;74,3876349926;1220,92742705;1295,31506205
27;271299;1703;269596;33402;192;33210;307200;2499;1895;0,62%;302806;65,7939748764;1304,23479295;1370,02876782
28;271299;1736;269563;33402;203;33199;307200;2499;1939;0,64%;302762;67,5805978775;1252,29983115;1319,88042903
29;271299;1682;269617;33402;149;33253;307200;2499;1831;0,60%;302870;61,1414880753;1346,49445796;1407,63594604
;;;;;;;;;1852;0,61%;;;;1247,32
;;;;;;;;;91;0,03%;;;;59,08
