nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;255134;4025;251109;14034;136;13898;270000;832;4161;1,55%;265007;67,653730154;1222,05036402;1289,70409417
1;255134;4219;250915;14034;149;13885;270000;832;4368;1,62%;264800;43,8644669056;1078,86295819;1122,7274251
2;255134;3951;251183;14034;147;13887;270000;832;4098;1,52%;265070;44,9216740131;1063,07984495;1108,00151896
3;255134;3893;251241;14034;132;13902;270000;832;4025;1,50%;265143;43,8286859989;929,293117046;973,121803045
4;255134;4032;251102;14034;141;13893;270000;832;4173;1,55%;264995;46,9881269932;963,545157909;1010,5332849
5;255134;4087;251047;14034;104;13930;270000;832;4191;1,56%;264977;45,4164369106;1001,75108504;1047,16752195
6;255134;4073;251061;14034;147;13887;270000;832;4220;1,57%;264948;53,1519830227;976,25698185;1029,40896487
7;255134;4151;250983;14034;128;13906;270000;832;4279;1,59%;264889;49,3005280495;1260,06911302;1309,36964107
8;255134;3995;251139;14034;135;13899;270000;832;4130;1,53%;265038;46,4997541904;1119,40506792;1165,90482211
9;255134;3966;251168;14034;147;13887;270000;832;4113;1,53%;265055;45,2023980618;1164,04857588;1209,25097394
10;255134;3900;251234;14034;160;13874;270000;832;4060;1,51%;265108;45,2388691902;939,200003862;984,438873053
11;255134;3895;251239;14034;119;13915;270000;832;4014;1,49%;265154;45,3674938679;944,298824072;989,66631794
12;255134;3918;251216;14034;138;13896;270000;832;4056;1,51%;265112;45,8829159737;941,525090933;987,408006907
13;255134;3814;251320;14034;140;13894;270000;832;3954;1,47%;265214;45,0531480312;1089,23286295;1134,28601098
14;255134;3944;251190;14034;160;13874;270000;832;4104;1,52%;265064;45,7184100151;1159,04468107;1204,76309109
15;255134;3986;251148;14034;141;13893;270000;832;4127;1,53%;265041;45,8160898685;1090,65633202;1136,47242188
16;255134;4057;251077;14034;145;13889;270000;832;4202;1,56%;264966;45,6177430153;1177,04397607;1222,66171908
17;255134;3968;251166;14034;143;13891;270000;832;4111;1,53%;265057;45,7832589149;1171,15541387;1216,93867278
18;255134;3845;251289;14034;156;13878;270000;832;4001;1,49%;265167;45,5845329762;936,432781219;982,017314196
19;255134;4072;251062;14034;133;13901;270000;832;4205;1,56%;264963;45,4578220844;947,029633999;992,487456083
20;255134;3935;251199;14034;140;13894;270000;832;4075;1,51%;265093;45,7931559086;1174,41765213;1220,21080804
21;255134;3914;251220;14034;144;13890;270000;832;4058;1,51%;265110;45,52297616;945,43927598;990,96225214
22;255134;3922;251212;14034;117;13917;270000;832;4039;1,50%;265129;45,3072109222;1094,5767231;1139,88393402
23;255134;4152;250982;14034;134;13900;270000;832;4286;1,59%;264882;45,256734848;1165,60532904;1210,86206388
24;255134;4007;251127;14034;155;13879;270000;832;4162;1,55%;265006;46,0129339695;1166,20392108;1212,21685505
25;255134;3960;251174;14034;133;13901;270000;832;4093;1,52%;265075;45,1235060692;1087,99861193;1133,122118
26;255134;3988;251146;14034;154;13880;270000;832;4142;1,54%;265026;45,5589570999;1173,76506186;1219,32401896
27;255134;3965;251169;14034;126;13908;270000;832;4091;1,52%;265077;45,980479002;1163,24646997;1209,22694898
28;255134;4179;250955;14034;105;13929;270000;832;4284;1,59%;264884;45,0782690048;1162,57272315;1207,65099216
29;255134;3911;251223;14034;144;13890;270000;832;4055;1,51%;265113;46,3153610229;1159,5018971;1205,81725812
;;;;;;;;;4129;1,53%;;;;1128,85
;;;;;;;;;95;0,04%;;;;103,78
