nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;152927;1836;151091;9056;825;8231;164000;2017;2661;1,64%;159322;19,3643431664;980,841398001;1000,20574117
1;152927;1808;151119;9056;889;8167;164000;2017;2697;1,66%;159286;18,9365520477;972,152434111;991,088986158
2;152927;1889;151038;9056;938;8118;164000;2017;2827;1,75%;159156;19,0224330425;1132,05497098;1151,07740402
3;152927;1118;151809;9056;1306;7750;164000;2017;2424;1,50%;159559;18,8176050186;889,474404812;908,29200983
4;152927;1851;151076;9056;898;8158;164000;2017;2749;1,70%;159234;18,7706859112;896,936980009;915,70766592
5;152927;1422;151505;9056;1272;7784;164000;2017;2694;1,66%;159289;19,0281789303;895,729115963;914,757294893
6;152927;1676;151251;9056;887;8169;164000;2017;2563;1,58%;159420;19,2904260159;812,822982073;832,113408089
7;152927;1564;151363;9056;892;8164;164000;2017;2456;1,52%;159527;18,7995209694;1126,4612031;1145,26072407
8;152927;1070;151857;9056;1238;7818;164000;2017;2308;1,42%;159675;18,9620189667;799,931499004;818,893517971
9;152927;1558;151369;9056;1139;7917;164000;2017;2697;1,66%;159286;18,6021869183;967,021904945;985,624091864
10;152927;1516;151411;9056;1029;8027;164000;2017;2545;1,57%;159438;19,1389138699;886,852765083;905,991678953
11;152927;1816;151111;9056;841;8215;164000;2017;2657;1,64%;159326;19,2970199585;980,530654907;999,827674866
12;152927;1267;151660;9056;1239;7817;164000;2017;2506;1,55%;159477;19,1192700863;894,941020012;914,060290098
13;152927;1400;151527;9056;1039;8017;164000;2017;2439;1,51%;159544;18,7359879017;888,967823029;907,70381093
14;152927;1425;151502;9056;1031;8025;164000;2017;2456;1,52%;159527;19,2056679726;893,537099838;912,742767811
15;152927;1351;151576;9056;1059;7997;164000;2017;2410;1,49%;159573;19,1082558632;726,267277002;745,375532866
16;152927;1470;151457;9056;1234;7822;164000;2017;2704;1,67%;159279;18,887294054;972,621299028;991,508593082
17;152927;1551;151376;9056;993;8063;164000;2017;2544;1,57%;159439;18,9516010284;886,668868065;905,620469093
18;152927;1461;151466;9056;1083;7973;164000;2017;2544;1,57%;159439;18,9493298531;889,778684139;908,728013992
19;152927;1873;151054;9056;1105;7951;164000;2017;2978;1,84%;159005;19,0075609684;887,298883915;906,306444883
20;152927;1162;151765;9056;1179;7877;164000;2017;2341;1,45%;159642;18,8148379326;965,86729598;984,682133913
21;152927;1464;151463;9056;993;8063;164000;2017;2457;1,52%;159526;18,898763895;960,234946966;979,133710861
22;152927;1511;151416;9056;1023;8033;164000;2017;2534;1,56%;159449;18,5119650364;1049,61744094;1068,12940598
23;152927;1759;151168;9056;1120;7936;164000;2017;2879;1,78%;159104;18,7707440853;896,454859972;915,225604057
24;152927;1962;150965;9056;931;8125;164000;2017;2893;1,79%;159090;18,6374428272;1052,98618102;1071,62362385
25;152927;1928;150999;9056;894;8162;164000;2017;2822;1,74%;159161;18,4514498711;960,644567013;979,096016884
26;152927;1621;151306;9056;1056;8000;164000;2017;2677;1,65%;159306;18,5973629951;804,113855124;822,711218119
27;152927;1467;151460;9056;1057;7999;164000;2017;2524;1,56%;159459;18,9574379921;879,308973074;898,266411066
28;152927;1649;151278;9056;985;8071;164000;2017;2634;1,63%;159349;18,5559718609;796,076037169;814,632009029
29;152927;2005;150922;9056;832;8224;164000;2017;2837;1,75%;159146;18,6309189796;878,219424009;896,850342989
;;;;;;;;;2615;1,61%;;;;939,71
;;;;;;;;;173;0,11%;;;;92,3
