nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;159159;7704;151455;26655;237;26418;187500;1686;7941;4,27%;177873;19,4971501827;988,420584917;1007,9177351
1;159159;7241;151918;26655;231;26424;187500;1686;7472;4,02%;178342;23,3258500099;875,50777483;898,83362484
2;159159;6973;152186;26655;262;26393;187500;1686;7235;3,89%;178579;24,5804929733;851,026546955;875,607039928
3;159159;7210;151949;26655;279;26376;187500;1686;7489;4,03%;178325;21,2582309246;1054,826684;1076,08491492
4;159159;7437;151722;26655;281;26374;187500;1686;7718;4,15%;178096;27,8674309254;966,149469137;994,016900063
5;159159;7071;152088;26655;277;26378;187500;1686;7348;3,95%;178466;20,6385688782;860,115312099;880,753880978
6;159159;7230;151929;26655;302;26353;187500;1686;7532;4,05%;178282;20,8592300415;882,119411945;902,978641987
7;159159;7319;151840;26655;260;26395;187500;1686;7579;4,08%;178235;21,168159008;879,21591711;900,384076118
8;159159;7152;152007;26655;282;26373;187500;1686;7434;4,00%;178380;21,0096440315;875,347726107;896,357370138
9;159159;7492;151667;26655;256;26399;187500;1686;7748;4,17%;178066;21,2423119545;965,178599119;986,420911074
10;159159;7094;152065;26655;267;26388;187500;1686;7361;3,96%;178453;21,362814188;797,785417795;819,148231983
11;159159;7562;151597;26655;239;26416;187500;1686;7801;4,20%;178013;21,3217811584;880,951160908;902,272942066
12;159159;7421;151738;26655;269;26386;187500;1686;7690;4,14%;178124;21,0423638821;874,160290956;895,202654839
13;159159;7745;151414;26655;261;26394;187500;1686;8006;4,31%;177808;21,2278058529;1108,45824194;1129,68604779
14;159159;7298;151861;26655;314;26341;187500;1686;7612;4,10%;178202;20,8334419727;869,039490938;889,872932911
15;159159;7562;151597;26655;279;26376;187500;1686;7841;4,22%;177973;21,2573668957;877,492656946;898,750023842
16;159159;7522;151637;26655;302;26353;187500;1686;7824;4,21%;177990;20,916672945;876,443463087;897,360136032
17;159159;7675;151484;26655;243;26412;187500;1686;7918;4,26%;177896;21,2188770771;868,938858032;890,157735109
18;159159;7625;151534;26655;286;26369;187500;1686;7911;4,26%;177903;20,8124160767;886,476875067;907,289291143
19;159159;7293;151866;26655;283;26372;187500;1686;7576;4,08%;178238;21,2706050873;714,064054012;735,3346591
20;159159;8203;150956;26655;267;26388;187500;1686;8470;4,56%;177344;20,8768069744;941,922861099;962,799668074
21;159159;7570;151589;26655;250;26405;187500;1686;7820;4,21%;177994;21,5611698627;715,426557064;736,987726927
22;159159;7334;151825;26655;288;26367;187500;1686;7622;4,10%;178192;21,1233341694;944,298169851;965,421504021
23;159159;7809;151350;26655;233;26422;187500;1686;8042;4,33%;177772;26,0703289509;1191,98757505;1218,05790401
24;159159;7244;151915;26655;274;26381;187500;1686;7518;4,05%;178296;24,9761128426;791,124122143;816,100234985
25;159159;7208;151951;26655;304;26351;187500;1686;7512;4,04%;178302;25,0667951107;986,065873861;1011,13266897
26;159159;7307;151852;26655;225;26430;187500;1686;7532;4,05%;178282;24,369287014;910,182404995;934,551692009
27;159159;6878;152281;26655;271;26384;187500;1686;7149;3,85%;178665;25,6292550564;871,498975992;897,128231049
28;159159;7875;151284;26655;331;26324;187500;1686;8206;4,42%;177608;29,5079860687;1097,2834239;1126,79140997
29;159159;7961;151198;26655;257;26398;187500;1686;8218;4,42%;177596;21,1469871998;879,86470294;901,01169014
;;;;;;;;;7704;4,15%;;;;931,81
;;;;;;;;;301;0,16%;;;;105,74
