nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;247499;4745;242754;58432;14;58418;307200;1269;4759;1,56%;301172;28,3909351826;1265,51913095;1293,91006613
1;247499;4608;242891;58432;7;58425;307200;1269;4615;1,51%;301316;36,124943018;1120,7214911;1156,84643412
2;247499;4657;242842;58432;8;58424;307200;1269;4665;1,52%;301266;39,324739933;1241,07986808;1280,40460801
3;247499;4630;242869;58432;7;58425;307200;1269;4637;1,52%;301294;42,4722859859;1250,65671086;1293,12899685
4;247499;4710;242789;58432;16;58416;307200;1269;4726;1,54%;301205;32,6981709003;1127,33331013;1160,03148103
5;247499;4719;242780;58432;9;58423;307200;1269;4728;1,55%;301203;32,5125460625;1058,3089819;1090,82152796
6;247499;4585;242914;58432;7;58425;307200;1269;4592;1,50%;301339;33,4101660252;955,544440985;988,95460701
7;247499;4698;242801;58432;19;58413;307200;1269;4717;1,54%;301214;33,2135879993;1145,71380401;1178,92739201
8;247499;4671;242828;58432;8;58424;307200;1269;4679;1,53%;301252;33,3361489773;1147,38795209;1180,72410107
9;247499;4673;242826;58432;12;58420;307200;1269;4685;1,53%;301246;33,1496620178;1138,26451087;1171,41417289
10;247499;4701;242798;58432;7;58425;307200;1269;4708;1,54%;301223;32,8663740158;1139,56648207;1172,43285608
11;247499;4517;242982;58432;8;58424;307200;1269;4525;1,48%;301406;32,8117558956;1134,08590603;1166,89766192
12;247499;4653;242846;58432;7;58425;307200;1269;4660;1,52%;301271;33,1085541248;1144,89889693;1178,00745106
13;247499;4590;242909;58432;7;58425;307200;1269;4597;1,50%;301334;33,1570708752;1137,93642497;1171,09349585
14;247499;4677;242822;58432;11;58421;307200;1269;4688;1,53%;301243;32,9401941299;1142,20299578;1175,14318991
15;247499;4634;242865;58432;34;58398;307200;1269;4668;1,53%;301263;33,1286439896;1132,14750504;1165,27614903
16;247499;4421;243078;58432;309;58123;307200;1269;4730;1,55%;301201;33,0557999611;1133,23710084;1166,2929008
17;247499;4504;242995;58432;104;58328;307200;1269;4608;1,51%;301323;33,336728096;1250,09745288;1283,43418097
18;247499;4629;242870;58432;8;58424;307200;1269;4637;1,52%;301294;39,4501230717;1466,13660908;1505,58673215
19;247499;4741;242758;58432;14;58418;307200;1269;4755;1,55%;301176;36,9656190872;1298,31539083;1335,28100991
20;247499;4657;242842;58432;7;58425;307200;1269;4664;1,52%;301267;37,6915929317;1333,70034695;1371,39193988
21;247499;4726;242773;58432;7;58425;307200;1269;4733;1,55%;301198;39,460723877;1279,60479903;1319,06552291
22;247499;4764;242735;58432;7;58425;307200;1269;4771;1,56%;301160;32,9524178505;1141,61000896;1174,56242681
23;247499;4736;242763;58432;8;58424;307200;1269;4744;1,55%;301187;33,1130230427;1224,70538998;1257,81841302
24;247499;4695;242804;58432;8;58424;307200;1269;4703;1,54%;301228;33,1355609894;1129,30736089;1162,44292188
25;247499;4761;242738;58432;7;58425;307200;1269;4768;1,56%;301163;32,599364996;1130,21560597;1162,81497097
26;247499;4630;242869;58432;7;58425;307200;1269;4637;1,52%;301294;32,7746760845;1135,92044401;1168,6951201
27;247499;4682;242817;58432;8;58424;307200;1269;4690;1,53%;301241;32,7834470272;1132,99481297;1165,77825999
28;247499;4749;242750;58432;55;58377;307200;1269;4804;1,57%;301127;32,8399400711;1127,03944111;1159,87938118
29;247499;4677;242822;58432;8;58424;307200;1269;4685;1,53%;301246;32,7085950375;1123,67843199;1156,38702703
;;;;;;;;;4686;1,53%;;;;1207,11
;;;;;;;;;63;0,02%;;;;95,55
