nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;88869;2464;86405;24163;39;24124;113032;0;2503;2,21%;110529;9,92731595039;628,040060997;637,967376947
1;88869;2455;86414;24163;42;24121;113032;0;2497;2,21%;110535;10,2191898823;471,226104975;481,445294857
2;88869;2616;86253;24163;31;24132;113032;0;2647;2,34%;110385;10,1636328697;592,854600906;603,018233776
3;88869;2273;86596;24163;60;24103;113032;0;2333;2,06%;110699;10,0594949722;562,18969202;572,249186993
4;88869;2464;86405;24163;30;24133;113032;0;2494;2,21%;110538;10,1767809391;499,323013067;509,499794006
5;88869;2436;86433;24163;48;24115;113032;0;2484;2,20%;110548;10,1920011044;502,461559772;512,653560877
6;88869;2696;86173;24163;35;24128;113032;0;2731;2,42%;110301;10,2095000744;596,815618038;607,025118113
7;88869;2548;86321;24163;66;24097;113032;0;2614;2,31%;110418;10,36216712;535,082974911;545,445142031
8;88869;2520;86349;24163;35;24128;113032;0;2555;2,26%;110477;10,1448600292;504,947019815;515,091879845
9;88869;2533;86336;24163;65;24098;113032;0;2598;2,30%;110434;10,1693990231;500,235177994;510,404577017
10;88869;2705;86164;24163;33;24130;113032;0;2738;2,42%;110294;10,1968460083;621,226709127;631,423555136
11;88869;2723;86146;24163;44;24119;113032;0;2767;2,45%;110265;10,1182878017;529,728989124;539,847276926
12;88869;2348;86521;24163;51;24112;113032;0;2399;2,12%;110633;10,1660339832;494,948960066;505,114994049
13;88869;2654;86215;24163;40;24123;113032;0;2694;2,38%;110338;10,2820780277;653,063806057;663,345884085
14;88869;2644;86225;24163;42;24121;113032;0;2686;2,38%;110346;10,1263620853;499,259382963;509,385745049
15;88869;2488;86381;24163;53;24110;113032;0;2541;2,25%;110491;10,3069958687;511,792024136;522,099020004
16;88869;2822;86047;24163;34;24129;113032;0;2856;2,53%;110176;10,2851531506;627,452482939;637,737636089
17;88869;2481;86388;24163;39;24124;113032;0;2520;2,23%;110512;10,256333828;557,846408129;568,102741957
18;88869;2333;86536;24163;42;24121;113032;0;2375;2,10%;110657;12,3439090252;606,987622023;619,331531048
19;88869;2587;86282;24163;29;24134;113032;0;2616;2,31%;110416;12,1583840847;658,782457829;670,940841913
20;88869;2714;86155;24163;28;24135;113032;0;2742;2,43%;110290;12,6871221066;669,488879919;682,176002026
21;88869;2506;86363;24163;37;24126;113032;0;2543;2,25%;110489;12,1269309521;687,024493933;699,151424885
22;88869;2389;86480;24163;46;24117;113032;0;2435;2,15%;110597;12,5415430069;652,53015399;665,071696997
23;88869;2720;86149;24163;33;24130;113032;0;2753;2,44%;110279;12,6411321163;621,065766811;633,706898928
24;88869;2513;86356;24163;64;24099;113032;0;2577;2,28%;110455;10,552863121;700,558996916;711,111860037
25;88869;2511;86358;24163;29;24134;113032;0;2540;2,25%;110492;10,3119008541;475,445860147;485,757761002
26;88869;2769;86100;24163;27;24136;113032;0;2796;2,47%;110236;10,7230069637;505,706763029;516,429769993
27;88869;2665;86204;24163;49;24114;113032;0;2714;2,40%;110318;10,3944280148;697,30362606;707,698054075
28;88869;2612;86257;24163;47;24116;113032;0;2659;2,35%;110373;10,3475041389;507,693641901;518,04114604
29;88869;2556;86313;24163;39;24124;113032;0;2595;2,30%;110437;10,2403540611;507,446563005;517,686917067
;;;;;;;;;2600;2,30%;;;;583,3
;;;;;;;;;131;0,12%;;;;74,55
