nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;214930;4525;210405;19469;235;19234;236000;1601;4760;2,03%;229639;28,2657749653;856,002704859;884,268479824
1;214930;4402;210528;19469;254;19215;236000;1601;4656;1,99%;229743;27,7952799797;738,853741884;766,649021864
2;214930;4583;210347;19469;255;19214;236000;1601;4838;2,06%;229561;23,7601499557;737,830585957;761,590735912
3;214930;4619;210311;19469;246;19223;236000;1601;4865;2,08%;229534;23,6357350349;730,833214998;754,468950033
4;214930;4545;210385;19469;243;19226;236000;1601;4788;2,04%;229611;23,57873106;740,217701912;763,796432972
5;214930;4364;210566;19469;257;19212;236000;1601;4621;1,97%;229778;28,4303860664;845,794500113;874,224886179
6;214930;4238;210692;19469;235;19234;236000;1601;4473;1,91%;229926;27,5137031078;846,349363804;873,863066912
7;214930;3912;211018;19469;270;19199;236000;1601;4182;1,78%;230217;27,5305049419;845,720386982;873,250891924
8;214930;4431;210499;19469;244;19225;236000;1601;4675;1,99%;229724;27,5734829903;856,829168081;884,402651072
9;214930;4171;210759;19469;243;19226;236000;1601;4414;1,88%;229985;27,6945362091;852,187709808;879,882246017
10;214930;4487;210443;19469;250;19219;236000;1601;4737;2,02%;229662;27,4095351696;850,809000969;878,218536139
11;214930;4515;210415;19469;256;19213;236000;1601;4771;2,04%;229628;27,82634902;854,397862196;882,224211216
12;214930;4512;210418;19469;253;19216;236000;1601;4765;2,03%;229634;27,9456369877;857,483929157;885,429566145
13;214930;4200;210730;19469;260;19209;236000;1601;4460;1,90%;229939;27,8139679432;856,04814291;883,862110853
14;214930;4442;210488;19469;256;19213;236000;1601;4698;2,00%;229701;27,4415550232;862,600547075;890,042102098
15;214930;4745;210185;19469;239;19230;236000;1601;4984;2,13%;229415;27,7228350639;860,356709003;888,079544067
16;214930;4308;210622;19469;257;19212;236000;1601;4565;1,95%;229834;27,8800370693;876,215786934;904,095824003
17;214930;4414;210516;19469;241;19228;236000;1601;4655;1,99%;229744;29,2071020603;899,297623873;928,504725933
18;214930;4614;210316;19469;242;19227;236000;1601;4856;2,07%;229543;31,4607439041;1005,97792721;1037,43867111
19;214930;4315;210615;19469;240;19229;236000;1601;4555;1,94%;229844;35,1341118813;1040,09208107;1075,22619295
20;214930;4354;210576;19469;248;19221;236000;1601;4602;1,96%;229797;35,7299659252;1011,76834512;1047,49831104
21;214930;4470;210460;19469;254;19215;236000;1601;4724;2,02%;229675;28,6535599232;858,260809183;886,914369106
22;214930;4494;210436;19469;254;19215;236000;1601;4748;2,03%;229651;28,1255028248;865,504530191;893,630033016
23;214930;4807;210123;19469;248;19221;236000;1601;5055;2,16%;229344;27,9021949768;938,506401062;966,408596039
24;214930;4669;210261;19469;251;19218;236000;1601;4920;2,10%;229479;27,9805428982;856,327126026;884,307668924
25;214930;4414;210516;19469;247;19222;236000;1601;4661;1,99%;229738;28,496021986;869,515208006;898,011229992
26;214930;4014;210916;19469;257;19212;236000;1601;4271;1,82%;230128;27,9181559086;891,87963891;919,797794819
27;214930;4548;210382;19469;262;19207;236000;1601;4810;2,05%;229589;29,2474589348;860,576021194;889,823480129
28;214930;4650;210280;19469;248;19221;236000;1601;4898;2,09%;229501;27,8265631199;861,509362936;889,335926056
29;214930;4507;210423;19469;247;19222;236000;1601;4754;2,03%;229645;27,9312579632;860,246268034;888,177525997
;;;;;;;;;4692;2,00%;;;;891,11
;;;;;;;;;195;0,08%;;;;73,48
