nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;116761;11724;105037;45679;3296;42383;166500;4060;15020;9,25%;147420;22,2955210209;1595,17373896;1617,46925998
1;116761;11171;105590;45679;2607;43072;166500;4060;13778;8,48%;148662;19,0217449665;1261,51464701;1280,53639197
2;116761;9044;107717;45679;3150;42529;166500;4060;12194;7,51%;150246;23,0759871006;1615,56117201;1638,63715911
3;116761;11980;104781;45679;3045;42634;166500;4060;15025;9,25%;147415;24,5093140602;1743,22913909;1767,73845315
4;116761;10002;106759;45679;3069;42610;166500;4060;13071;8,05%;149369;19,5526380539;1339,43612289;1358,98876095
5;116761;11106;105655;45679;2903;42776;166500;4060;14009;8,62%;148431;19,5402760506;1412,21596599;1431,75624204
6;116761;8889;107872;45679;3193;42486;166500;4060;12082;7,44%;150358;19,4546949863;1078,73278093;1098,18747592
7;116761;11970;104791;45679;2903;42776;166500;4060;14873;9,16%;147567;19,2543997765;1319,16357803;1338,41797781
8;116761;9400;107361;45679;3030;42649;166500;4060;12430;7,65%;150010;19,3910732269;1240,54886079;1259,93993402
9;116761;9285;107476;45679;3188;42491;166500;4060;12473;7,68%;149967;19,3841888905;1317,06086302;1336,44505191
10;116761;9417;107344;45679;2755;42924;166500;4060;12172;7,49%;150268;18,9359622002;1148,23804688;1167,17400908
11;116761;9694;107067;45679;3377;42302;166500;4060;13071;8,05%;149369;19,5183689594;1225,20759916;1244,72596812
12;116761;10427;106334;45679;2944;42735;166500;4060;13371;8,23%;149069;19,2355620861;1242,52969384;1261,76525593
13;116761;9602;107159;45679;2924;42755;166500;4060;12526;7,71%;149914;19,4028270245;1161,56699204;1180,96981907
14;116761;9409;107352;45679;2919;42760;166500;4060;12328;7,59%;150112;19,2558379173;1398,52288389;1417,77872181
15;116761;9773;106988;45679;2865;42814;166500;4060;12638;7,78%;149802;19,1909589767;1320,19681907;1339,38777804
16;116761;12216;104545;45679;3036;42643;166500;4060;15252;9,39%;147188;19,2640960217;1488,77382898;1508,037925
17;116761;10648;106113;45679;3124;42555;166500;4060;13772;8,48%;148668;19,3223419189;1234,69542098;1254,0177629
18;116761;12198;104563;45679;3165;42514;166500;4060;15363;9,46%;147077;19,2086129189;1547,84549713;1567,05411005
19;116761;11090;105671;45679;3242;42437;166500;4060;14332;8,82%;148108;19,0440738201;1458,99490023;1478,03897405
20;116761;10302;106459;45679;2812;42867;166500;4060;13114;8,07%;149326;19,8990869522;1279,9823432;1299,88143015
21;116761;9281;107480;45679;2929;42750;166500;4060;12210;7,52%;150230;19,0290691853;1306,69170499;1325,72077417
22;116761;11230;105531;45679;2914;42765;166500;4060;14144;8,71%;148296;19,1265420914;1139,95591092;1159,08245301
23;116761;10139;106622;45679;2833;42846;166500;4060;12972;7,99%;149468;19,1528470516;1393,69159007;1412,84443712
24;116761;11823;104938;45679;2923;42756;166500;4060;14746;9,08%;147694;18,977118969;1378,82654595;1397,80366492
25;116761;9880;106881;45679;3012;42667;166500;4060;12892;7,94%;149548;19,2196409702;1306,17558002;1325,39522099
26;116761;10224;106537;45679;3212;42467;166500;4060;13436;8,27%;149004;19,0594880581;1069,64056492;1088,70005298
27;116761;10377;106384;45679;2921;42758;166500;4060;13298;8,19%;149142;19,4819278717;1304,52569795;1324,00762582
28;116761;10277;106484;45679;2786;42893;166500;4060;13063;8,04%;149377;18,7869541645;1562,81299496;1581,59994912
29;116761;9825;106936;45679;2864;42815;166500;4060;12689;7,81%;149751;19,1223988533;1224,66575599;1243,78815484
;;;;;;;;;13411;8,26%;;;;1356,86
;;;;;;;;;1024;0,63%;;;;163,46
