nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;154401;80104;7104;767971;2453;79922;182;0;3375;151026;668,240396023
1;154401;80104;7104;767971;2453;79890;214;0;3143;151258;634,229115009
2;154401;80104;7104;767971;2453;79934;170;0;3327;151074;428,078704834
3;154401;80104;7104;767971;2453;79870;234;0;3092;151309;763,473227978
4;154401;80104;7104;767971;2453;79851;253;0;3084;151317;821,415297031
5;154401;80104;7104;767971;2453;79831;273;0;2877;151524;860,375794888
6;154401;80104;7104;767971;2453;79920;184;0;3258;151143;550,404438019
7;154401;80104;7104;767971;2453;79924;180;0;3420;150981;629,910444975
8;154401;80104;7104;767971;2453;79911;193;0;3424;150977;654,285478115
9;154401;80104;7104;767971;2453;79943;161;0;3360;151041;600,181194067
10;154401;80104;7104;767971;2453;79898;206;0;3313;151088;687,009294987
11;154401;80104;7104;767971;2453;79916;188;0;3309;151092;537,042323112
12;154401;80104;7104;767971;2453;79887;217;0;3179;151222;697,150098801
13;154401;80104;7104;767971;2453;79887;217;0;3051;151350;729,823068142
14;154401;80104;7104;767971;2453;79962;142;0;3388;151013;508,352941036
15;154401;80104;7104;767971;2453;79894;210;0;3319;151082;569,29864502
16;154401;80104;7104;767971;2453;79915;189;0;3412;150989;485,215898037
17;154401;80104;7104;767971;2453;79922;182;0;3278;151123;532,942534924
18;154401;80104;7104;767971;2453;79929;175;0;3348;151053;479,563141823
19;154401;80104;7104;767971;2453;79922;182;0;3192;151209;478,687423944
20;154401;80104;7104;767971;2453;79929;175;0;3227;151174;505,99825716
21;154401;80104;7104;767971;2453;79926;178;0;3436;150965;470,89130187
22;154401;80104;7104;767971;2453;79883;221;0;3072;151329;612,747612
23;154401;80104;7104;767971;2453;79955;149;0;3455;150946;658,997142076
24;154401;80104;7104;767971;2453;79919;185;0;3178;151223;743,902405977
25;154401;80104;7104;767971;2453;79914;190;0;3107;151294;761,534589052
26;154401;80104;7104;767971;2453;79890;214;0;3280;151121;700,002300024
27;154401;80104;7104;767971;2453;79910;194;0;3161;151240;791,924657106
28;154401;80104;7104;767971;2453;79883;221;0;3084;151317;871,22019887
29;154401;80104;7104;767971;2453;79865;239;0;3162;151239;992,146218061
