nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;984;;;716,31
;;;;;;;;;151;;;123,9
0;253638;123279;11074;1252248;2225;120574;467;2238;1193;0,47%;250207;678,41612196
1;253638;123279;11074;1252248;2225;120612;429;2238;718;0,29%;250682;1099,46734285
2;253638;123279;11074;1252248;2225;120538;503;2238;904;0,36%;250496;835,224835157
3;253638;123279;11074;1252248;2225;120573;468;2238;804;0,32%;250596;1014,05218005
4;253638;123279;11074;1252248;2225;120519;522;2238;852;0,34%;250548;707,992052078
5;253638;123279;11074;1252248;2225;120498;543;2238;1280;0,51%;250120;593,444017172
6;253638;123279;11074;1252248;2225;120479;562;2238;981;0,39%;250419;649,680167913
7;253638;123279;11074;1252248;2225;120530;511;2238;1049;0,42%;250351;819,285876989
8;253638;123279;11074;1252248;2225;120553;488;2238;853;0,34%;250547;649,473454952
9;253638;123279;11074;1252248;2225;120548;493;2238;909;0,36%;250491;736,749655008
10;253638;123279;11074;1252248;2225;120523;518;2238;882;0,35%;250518;876,888791084
11;253638;123279;11074;1252248;2225;120568;473;2238;1059;0,42%;250341;654,191468
12;253638;123279;11074;1252248;2225;120442;599;2238;1338;0,53%;250062;635,416275024
13;253638;123279;11074;1252248;2225;120521;520;2238;965;0,38%;250435;794,034250975
14;253638;123279;11074;1252248;2225;120506;535;2238;966;0,38%;250434;712,443964958
15;253638;123279;11074;1252248;2225;120507;534;2238;893;0,36%;250507;679,703699112
16;253638;123279;11074;1252248;2225;120486;555;2238;997;0,40%;250403;657,285854816
17;253638;123279;11074;1252248;2225;120471;570;2238;887;0,35%;250513;794,271235943
18;253638;123279;11074;1252248;2225;120574;467;2238;958;0,38%;250442;678,325351
19;253638;123279;11074;1252248;2225;120564;477;2238;913;0,36%;250487;709,746520996
20;253638;123279;11074;1252248;2225;120559;482;2238;901;0,36%;250499;658,320509195
21;253638;123279;11074;1252248;2225;120473;568;2238;1104;0,44%;250296;687,396682024
22;253638;123279;11074;1252248;2225;120562;479;2238;1158;0,46%;250242;604,850212097
23;253638;123279;11074;1252248;2225;120491;550;2238;1150;0,46%;250250;631,871293068
24;253638;123279;11074;1252248;2225;120500;541;2238;913;0,36%;250487;710,302444935
25;253638;123279;11074;1252248;2225;120592;449;2238;810;0,32%;250590;818,892766953
26;253638;123279;11074;1252248;2225;120557;484;2238;834;0,33%;250566;709,818485022
27;253638;123279;11074;1252248;2225;120439;602;2238;1251;0,50%;250149;557,862308025
28;253638;123279;11074;1252248;2225;120468;573;2238;968;0,39%;250432;579,936068058
29;253638;123279;11074;1252248;2225;120440;601;2238;1022;0,41%;250378;553,908833027
;;;;;;;;;;0,39%;;
;;;;;;;;;;0,06%;;
