nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1299;;;701,87
;;;;;;;;;67;;;72,69
0;307200;178893;16000;1842439;4399;174278;1210;3405;1249;0,41%;302546;751,51800108
1;307200;178893;16000;1842439;4399;174160;1328;3405;1373;0,45%;302422;840,154744148
2;307200;178893;16000;1842439;4399;174315;1173;3405;1254;0,41%;302541;773,042504072
3;307200;178893;16000;1842439;4399;174279;1209;3405;1248;0,41%;302547;819,785363913
4;307200;178893;16000;1842439;4399;174234;1254;3405;1302;0,43%;302493;833,960682869
5;307200;178893;16000;1842439;4399;174223;1265;3405;1322;0,44%;302473;860,369371891
6;307200;178893;16000;1842439;4399;174231;1257;3405;1308;0,43%;302487;679,801910162
7;307200;178893;16000;1842439;4399;174292;1196;3405;1240;0,41%;302555;674,448721886
8;307200;178893;16000;1842439;4399;174125;1363;3405;1409;0,46%;302386;783,959605932
9;307200;178893;16000;1842439;4399;174243;1245;3405;1321;0,43%;302474;677,221095085
10;307200;178893;16000;1842439;4399;174239;1249;3405;1291;0,42%;302504;679,470205069
11;307200;178893;16000;1842439;4399;174311;1177;3405;1221;0,40%;302574;678,491308212
12;307200;178893;16000;1842439;4399;174349;1139;3405;1201;0,40%;302594;568,506683111
13;307200;178893;16000;1842439;4399;174246;1242;3405;1268;0,42%;302527;677,237232924
14;307200;178893;16000;1842439;4399;174169;1319;3405;1353;0,45%;302442;626,347465992
15;307200;178893;16000;1842439;4399;174265;1223;3405;1273;0,42%;302522;750,443589211
16;307200;178893;16000;1842439;4399;174204;1284;3405;1332;0,44%;302463;676,839766026
17;307200;178893;16000;1842439;4399;174105;1383;3405;1428;0,47%;302367;623,936187029
18;307200;178893;16000;1842439;4399;174267;1221;3405;1262;0,42%;302533;683,067614079
19;307200;178893;16000;1842439;4399;174300;1188;3405;1227;0,40%;302568;686,947643042
20;307200;178893;16000;1842439;4399;174250;1238;3405;1283;0,42%;302512;683,099225044
21;307200;178893;16000;1842439;4399;174289;1199;3405;1243;0,41%;302552;677,008754015
22;307200;178893;16000;1842439;4399;174157;1331;3405;1376;0,45%;302419;621,498084068
23;307200;178893;16000;1842439;4399;174200;1288;3405;1348;0,44%;302447;631,18948102
24;307200;178893;16000;1842439;4399;174368;1120;3405;1186;0,39%;302609;630,846670151
25;307200;178893;16000;1842439;4399;174282;1206;3405;1270;0,42%;302525;629,388664961
26;307200;178893;16000;1842439;4399;174101;1387;3405;1461;0,48%;302334;746,881905079
27;307200;178893;16000;1842439;4399;174192;1296;3405;1355;0,45%;302440;680,091348171
28;307200;178893;16000;1842439;4399;174228;1260;3405;1312;0,43%;302483;678,032295227
29;307200;178893;16000;1842439;4399;174269;1219;3405;1262;0,42%;302533;732,612159014
;;;;;;;;;;0,43%;;
;;;;;;;;;;0,02%;;
