nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1005;;;1567,95
;;;;;;;;;135;;;20,95
0;494400;494400;44400;5247685;7598;486659;1085;6656;1085;0,22%;486659;1523,68251109
1;494400;494400;44400;5247685;7598;486700;1044;6656;1044;0,21%;486700;1541,46883512
2;494400;494400;44400;5247685;7598;486798;946;6656;946;0,19%;486798;1549,58905411
3;494400;494400;44400;5247685;7598;486807;937;6656;937;0,19%;486807;1560,26243496
4;494400;494400;44400;5247685;7598;486636;1108;6656;1108;0,23%;486636;1560,47414279
5;494400;494400;44400;5247685;7598;486645;1099;6656;1099;0,23%;486645;1580,06604815
6;494400;494400;44400;5247685;7598;486830;914;6656;914;0,19%;486830;1566,0820241
7;494400;494400;44400;5247685;7598;486585;1159;6656;1159;0,24%;486585;1584,59595203
8;494400;494400;44400;5247685;7598;486694;1050;6656;1050;0,22%;486694;1570,48742795
9;494400;494400;44400;5247685;7598;486836;908;6656;908;0,19%;486836;1583,67445683
10;494400;494400;44400;5247685;7598;486825;919;6656;919;0,19%;486825;1576,29385805
11;494400;494400;44400;5247685;7598;486945;799;6656;799;0,16%;486945;1577,404737
12;494400;494400;44400;5247685;7598;486492;1252;6656;1252;0,26%;486492;1588,679214
13;494400;494400;44400;5247685;7598;486861;883;6656;883;0,18%;486861;1589,72670197
14;494400;494400;44400;5247685;7598;486737;1007;6656;1007;0,21%;486737;1593,11556602
15;494400;494400;44400;5247685;7598;486755;989;6656;989;0,20%;486755;1582,66013408
16;494400;494400;44400;5247685;7598;486742;1002;6656;1002;0,21%;486742;1581,30084491
17;494400;494400;44400;5247685;7598;486800;944;6656;944;0,19%;486800;1563,69203496
18;494400;494400;44400;5247685;7598;486597;1147;6656;1147;0,24%;486597;1589,936064
19;494400;494400;44400;5247685;7598;486677;1067;6656;1067;0,22%;486677;1586,1928339
20;494400;494400;44400;5247685;7598;486628;1116;6656;1116;0,23%;486628;1608,17741919
21;494400;494400;44400;5247685;7598;486938;806;6656;806;0,17%;486938;1510,21940398
22;494400;494400;44400;5247685;7598;486888;856;6656;856;0,18%;486888;1552,36490297
23;494400;494400;44400;5247685;7598;486917;827;6656;827;0,17%;486917;1562,20040512
24;494400;494400;44400;5247685;7598;486619;1125;6656;1125;0,23%;486619;1546,29745412
25;494400;494400;44400;5247685;7598;486429;1315;6656;1315;0,27%;486429;1555,17720413
26;494400;494400;44400;5247685;7598;486757;987;6656;987;0,20%;486757;1557,19466305
27;494400;494400;44400;5247685;7598;486905;839;6656;839;0,17%;486905;1567,99864101
28;494400;494400;44400;5247685;7598;486574;1170;6656;1170;0,24%;486574;1561,61544704
29;494400;494400;44400;5247685;7598;486900;844;6656;844;0,17%;486900;1567,8859942
;;;;;;;;;;0,21%;;
;;;;;;;;;;0,03%;;
