nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;4995;;;1505,62
;;;;;;;;;272;;;90,38
0;476000;476000;42720;5149011;5314;458712;4859;12429;4859;1,05%;458712;1502,84975505
1;476000;476000;42720;5149011;5314;458637;4934;12429;4934;1,06%;458637;1634,59806705
2;476000;476000;42720;5149011;5314;458540;5031;12429;5031;1,09%;458540;1530,38963389
3;476000;476000;42720;5149011;5314;458039;5532;12429;5532;1,19%;458039;1462,06457615
4;476000;476000;42720;5149011;5314;458844;4727;12429;4727;1,02%;458844;1598,43650198
5;476000;476000;42720;5149011;5314;458346;5225;12429;5225;1,13%;458346;1474,22310996
6;476000;476000;42720;5149011;5314;458378;5193;12429;5193;1,12%;458378;1478,69261909
7;476000;476000;42720;5149011;5314;458822;4749;12429;4749;1,02%;458822;1537,06284094
8;476000;476000;42720;5149011;5314;458793;4778;12429;4778;1,03%;458793;1599,11757207
9;476000;476000;42720;5149011;5314;458284;5287;12429;5287;1,14%;458284;1466,36227989
10;476000;476000;42720;5149011;5314;458528;5043;12429;5043;1,09%;458528;1482,07265687
11;476000;476000;42720;5149011;5314;458597;4974;12429;4974;1,07%;458597;1468,781353
12;476000;476000;42720;5149011;5314;459110;4461;12429;4461;0,96%;459110;1462,59363198
13;476000;476000;42720;5149011;5314;458653;4918;12429;4918;1,06%;458653;1664,94919109
14;476000;476000;42720;5149011;5314;458623;4948;12429;4948;1,07%;458623;1618,66936111
15;476000;476000;42720;5149011;5314;458566;5005;12429;5005;1,08%;458566;1480,54832911
16;476000;476000;42720;5149011;5314;458080;5491;12429;5491;1,18%;458080;1634,34920788
17;476000;476000;42720;5149011;5314;458914;4657;12429;4657;1,00%;458914;1685,46417809
18;476000;476000;42720;5149011;5314;458202;5369;12429;5369;1,16%;458202;1443,332057
19;476000;476000;42720;5149011;5314;458791;4780;12429;4780;1,03%;458791;1423,62702703
20;476000;476000;42720;5149011;5314;458628;4943;12429;4943;1,07%;458628;1422,96149683
21;476000;476000;42720;5149011;5314;458937;4634;12429;4634;1,00%;458937;1365,30618501
22;476000;476000;42720;5149011;5314;458531;5040;12429;5040;1,09%;458531;1486,50356698
23;476000;476000;42720;5149011;5314;458318;5253;12429;5253;1,13%;458318;1421,61557913
24;476000;476000;42720;5149011;5314;458427;5144;12429;5144;1,11%;458427;1482,4001379
25;476000;476000;42720;5149011;5314;458913;4658;12429;4658;1,00%;458913;1394,32198405
26;476000;476000;42720;5149011;5314;458611;4960;12429;4960;1,07%;458611;1403,81542182
27;476000;476000;42720;5149011;5314;458809;4762;12429;4762;1,03%;458809;1670,64725709
28;476000;476000;42720;5149011;5314;458086;5485;12429;5485;1,18%;458086;1437,00550008
29;476000;476000;42720;5149011;5314;458548;5023;12429;5023;1,08%;458548;1435,69261694
;;;;;;;;;;1,08%;;
;;;;;;;;;;0,06%;;
