nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1383;;;571,4
;;;;;;;;;23;;;124,79
0;113032;52250;4674;556958;1335;50940;1310;0;1409;1,25%;111623;571,147731066
1;113032;52250;4674;556958;1335;50982;1268;0;1369;1,21%;111663;492,450157166
2;113032;52250;4674;556958;1335;50988;1262;0;1364;1,21%;111668;475,405933857
3;113032;52250;4674;556958;1335;50996;1254;0;1353;1,20%;111679;392,769645929
4;113032;52250;4674;556958;1335;50970;1280;0;1381;1,22%;111651;427,132337093
5;113032;52250;4674;556958;1335;50991;1259;0;1359;1,20%;111673;489,666012049
6;113032;52250;4674;556958;1335;50995;1255;0;1360;1,20%;111672;487,966811895
7;113032;52250;4674;556958;1335;50995;1255;0;1359;1,20%;111673;424,048345089
8;113032;52250;4674;556958;1335;51020;1230;0;1336;1,18%;111696;419,960091114
9;113032;52250;4674;556958;1335;50960;1290;0;1390;1,23%;111642;501,726755857
10;113032;52250;4674;556958;1335;50990;1260;0;1369;1,21%;111663;470,855675936
11;113032;52250;4674;556958;1335;50962;1288;0;1392;1,23%;111640;501,325363874
12;113032;52250;4674;556958;1335;50923;1327;0;1423;1,26%;111609;694,922334909
13;113032;52250;4674;556958;1335;50967;1283;0;1390;1,23%;111642;421,425883055
14;113032;52250;4674;556958;1335;50960;1290;0;1390;1,23%;111642;483,356409073
15;113032;52250;4674;556958;1335;50945;1305;0;1405;1,24%;111627;535,781318188
16;113032;52250;4674;556958;1335;50950;1300;0;1399;1,24%;111633;772,002191067
17;113032;52250;4674;556958;1335;50970;1280;0;1380;1,22%;111652;594,235280037
18;113032;52250;4674;556958;1335;50932;1318;0;1417;1,25%;111615;806,837095976
19;113032;52250;4674;556958;1335;50958;1292;0;1392;1,23%;111640;760,4394238
20;113032;52250;4674;556958;1335;50954;1296;0;1401;1,24%;111631;538,951200962
21;113032;52250;4674;556958;1335;51005;1245;0;1347;1,19%;111685;591,813205004
22;113032;52250;4674;556958;1335;50938;1312;0;1411;1,25%;111621;587,284560919
23;113032;52250;4674;556958;1335;50941;1309;0;1408;1,25%;111624;780,30986619
24;113032;52250;4674;556958;1335;50989;1261;0;1362;1,20%;111670;661,59663105
25;113032;52250;4674;556958;1335;51002;1248;0;1361;1,20%;111671;509,78421402
26;113032;52250;4674;556958;1335;50980;1270;0;1370;1,21%;111662;682,818304062
27;113032;52250;4674;556958;1335;50935;1315;0;1413;1,25%;111619;588,323194981
28;113032;52250;4674;556958;1335;50966;1284;0;1388;1,23%;111644;724,313282967
29;113032;52250;4674;556958;1335;50970;1280;0;1384;1,22%;111648;753,494817972
;;;;;;;;;;1,22%;;
;;;;;;;;;;0,02%;;
