nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;46968;4140;397966;2297;44076;610;2282;610;184608;209,368046999
1;187500;46968;4140;397966;2297;44043;643;2282;643;184575;217,600878954
2;187500;46968;4140;397966;2297;44090;596;2282;596;184622;219,301901817
3;187500;46968;4140;397966;2297;44052;634;2282;634;184584;220,050675154
4;187500;46968;4140;397966;2297;44065;621;2282;621;184597;221,08383894
5;187500;46968;4140;397966;2297;44058;628;2282;628;184590;223,734484911
6;187500;46968;4140;397966;2297;44046;640;2282;640;184578;355,176856995
7;187500;46968;4140;397966;2297;44056;630;2282;630;184588;223,687978983
8;187500;46968;4140;397966;2297;44062;624;2282;624;184594;218,800982952
9;187500;46968;4140;397966;2297;44067;619;2282;619;184599;215,884301901
10;187500;46968;4140;397966;2297;44066;620;2282;620;184598;221,185653925
11;187500;46968;4140;397966;2297;44037;649;2282;649;184569;217,960911989
12;187500;46968;4140;397966;2297;44090;596;2282;596;184622;300,283931017
13;187500;46968;4140;397966;2297;44091;595;2282;595;184623;357,890259981
14;187500;46968;4140;397966;2297;44075;611;2282;611;184607;223,584228992
15;187500;46968;4140;397966;2297;44091;595;2282;595;184623;232,913537979
16;187500;46968;4140;397966;2297;44063;623;2282;623;184595;219,906399012
17;187500;46968;4140;397966;2297;44077;609;2282;609;184609;221,047636032
18;187500;46968;4140;397966;2297;44069;617;2282;617;184601;220,718047857
19;187500;46968;4140;397966;2297;44052;634;2282;634;184584;220,034588814
20;187500;46968;4140;397966;2297;44065;621;2282;621;184597;222,847306013
21;187500;46968;4140;397966;2297;44054;632;2282;632;184586;218,922316074
22;187500;46968;4140;397966;2297;44063;623;2282;623;184595;220,66396904
23;187500;46968;4140;397966;2297;44076;610;2282;610;184608;221,455523014
24;187500;46968;4140;397966;2297;44054;632;2282;632;184586;221,576884985
25;187500;46968;4140;397966;2297;44074;612;2282;612;184606;223,954853058
26;187500;46968;4140;397966;2297;44069;617;2282;617;184601;219,055602074
27;187500;46968;4140;397966;2297;44073;613;2282;613;184605;301,971702099
28;187500;46968;4140;397966;2297;44060;626;2282;626;184592;358,603780985
29;187500;46968;4140;397966;2297;44055;631;2282;631;184587;302,573671818
