nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;167000;89698;8010;865896;3879;83724;681;5293;681;161026;401,304533005
1;167000;89698;8010;865896;3879;83753;652;5293;652;161055;354,391072035
2;167000;89698;8010;865896;3879;83789;616;5293;616;161091;401,371981144
3;167000;89698;8010;865896;3879;83744;661;5293;661;161046;398,71261096
4;167000;89698;8010;865896;3879;83776;629;5293;629;161078;400,182515144
5;167000;89698;8010;865896;3879;83770;635;5293;635;161072;401,254743814
6;167000;89698;8010;865896;3879;83760;645;5293;645;161062;447,162073135
7;167000;89698;8010;865896;3879;83798;607;5293;607;161100;450,195044041
8;167000;89698;8010;865896;3879;83752;653;5293;653;161054;398,221104145
9;167000;89698;8010;865896;3879;83755;650;5293;650;161057;347,939835072
10;167000;89698;8010;865896;3879;83779;626;5293;626;161081;349,338252068
11;167000;89698;8010;865896;3879;83771;634;5293;634;161073;542,092272043
12;167000;89698;8010;865896;3879;83782;623;5293;623;161084;446,611137867
13;167000;89698;8010;865896;3879;83752;653;5293;653;161054;451,37551713
14;167000;89698;8010;865896;3879;83766;639;5293;639;161068;422,627804995
15;167000;89698;8010;865896;3879;83793;612;5293;612;161095;469,965949059
16;167000;89698;8010;865896;3879;83789;616;5293;616;161091;468,295194864
17;167000;89698;8010;865896;3879;83710;695;5293;695;161012;777,002285957
18;167000;89698;8010;865896;3879;83819;586;5293;586;161121;635,675560951
19;167000;89698;8010;865896;3879;83777;628;5293;628;161079;572,290405035
20;167000;89698;8010;865896;3879;83764;641;5293;641;161066;643,161710978
21;167000;89698;8010;865896;3879;83763;642;5293;642;161065;385,118118048
22;167000;89698;8010;865896;3879;83774;631;5293;631;161076;443,324455023
23;167000;89698;8010;865896;3879;83725;680;5293;680;161027;469,45958209
24;167000;89698;8010;865896;3879;83808;597;5293;597;161110;409,986639977
25;167000;89698;8010;865896;3879;83714;691;5293;691;161016;491,434371233
26;167000;89698;8010;865896;3879;83772;633;5293;633;161074;478,41919589
27;167000;89698;8010;865896;3879;83770;635;5293;635;161072;428,951060057
28;167000;89698;8010;865896;3879;83757;648;5293;648;161059;523,020421028
29;167000;89698;8010;865896;3879;83789;616;5293;616;161091;526,809896946
