nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;307200;224010;20007;2306610;5306;218881;2187;2942;2187;302071;823,128005981
1;307200;224010;20007;2306610;5306;218940;2128;2942;2128;302130;645,408993959
2;307200;224010;20007;2306610;5306;219005;2063;2942;2063;302195;1087,17225599
3;307200;224010;20007;2306610;5306;218837;2231;2942;2231;302027;675,374526978
4;307200;224010;20007;2306610;5306;218899;2169;2942;2169;302089;739,674544096
5;307200;224010;20007;2306610;5306;218912;2156;2942;2156;302102;728,657130003
6;307200;224010;20007;2306610;5306;218893;2175;2942;2175;302083;681,855663061
7;307200;224010;20007;2306610;5306;218930;2138;2942;2138;302120;813,722253084
8;307200;224010;20007;2306610;5306;218986;2082;2942;2082;302176;881,564188957
9;307200;224010;20007;2306610;5306;218818;2250;2942;2250;302008;662,96400404
10;307200;224010;20007;2306610;5306;218931;2137;2942;2137;302121;664,503587961
11;307200;224010;20007;2306610;5306;218879;2189;2942;2189;302069;664,280669928
12;307200;224010;20007;2306610;5306;218917;2151;2942;2151;302107;890,687751055
13;307200;224010;20007;2306610;5306;218937;2131;2942;2131;302127;812,731966972
14;307200;224010;20007;2306610;5306;218862;2206;2942;2206;302052;671,196938992
15;307200;224010;20007;2306610;5306;219010;2058;2942;2058;302200;779,576375008
16;307200;224010;20007;2306610;5306;218885;2183;2942;2183;302075;732,650954962
17;307200;224010;20007;2306610;5306;218843;2225;2942;2225;302033;664,242614985
0;307200;224010;20007;2306610;5306;218861;2207;2942;2207;302051;1242,69120193
1;307200;224010;20007;2306610;5306;218794;2274;2942;2274;301984;825,886831999
2;307200;224010;20007;2306610;5306;219041;2027;2942;2027;302231;1140,64446402
3;307200;224010;20007;2306610;5306;219082;1986;2942;1986;302272;1003,95390701
4;307200;224010;20007;2306610;5306;218827;2241;2942;2241;302017;846,689452887
5;307200;224010;20007;2306610;5306;218848;2220;2942;2220;302038;869,270956993
6;307200;224010;20007;2306610;5306;218869;2199;2942;2199;302059;803,470221043
7;307200;224010;20007;2306610;5306;218784;2284;2942;2284;301974;861,822226048
8;307200;224010;20007;2306610;5306;218851;2217;2942;2217;302041;785,63431406
9;307200;224010;20007;2306610;5306;218905;2163;2942;2163;302095;875,583174944
10;307200;224010;20007;2306610;5306;218889;2179;2942;2179;302079;904,77015996
11;307200;224010;20007;2306610;5306;219077;1991;2942;1991;302267;1081,40128803
12;307200;224010;20007;2306610;5306;218899;2169;2942;2169;302089;922,186798096
