nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;134368;12012;1275188;6134;123308;1230;9841;1305;176354;463,242063999
1;187500;134368;12012;1275188;6134;123297;1241;9841;1316;176343;440,906096935
2;187500;134368;12012;1275188;6134;123314;1224;9841;1299;176360;443,695397854
3;187500;134368;12012;1275188;6134;123330;1208;9841;1283;176376;444,116569042
4;187500;134368;12012;1275188;6134;123299;1239;9841;1314;176345;441,933712959
5;187500;134368;12012;1275188;6134;123312;1226;9841;1301;176358;441,985777855
6;187500;134368;12012;1275188;6134;123335;1203;9841;1278;176381;442,262396812
7;187500;134368;12012;1275188;6134;123289;1249;9841;1324;176335;445,265094995
8;187500;134368;12012;1275188;6134;123314;1224;9841;1299;176360;458,191006184
9;187500;134368;12012;1275188;6134;123340;1198;9841;1273;176386;440,87153697
10;187500;134368;12012;1275188;6134;123290;1248;9841;1323;176336;443,358691931
11;187500;134368;12012;1275188;6134;123300;1238;9841;1313;176346;438,400032997
12;187500;134368;12012;1275188;6134;123317;1221;9841;1296;176363;440,203684092
13;187500;134368;12012;1275188;6134;123321;1217;9841;1292;176367;439,471959114
14;187500;134368;12012;1275188;6134;123277;1261;9841;1336;176323;442,807480097
15;187500;134368;12012;1275188;6134;123307;1231;9841;1306;176353;438,009902954
16;187500;134368;12012;1275188;6134;123327;1211;9841;1286;176373;439,473576069
17;187500;134368;12012;1275188;6134;123314;1224;9841;1299;176360;438,048099995
18;187500;134368;12012;1275188;6134;123297;1241;9841;1316;176343;442,796856165
19;187500;134368;12012;1275188;6134;123307;1231;9841;1306;176353;437,075866222
20;187500;134368;12012;1275188;6134;123331;1207;9841;1282;176377;434,346984148
21;187500;134368;12012;1275188;6134;123312;1226;9841;1301;176358;437,748437166
22;187500;134368;12012;1275188;6134;123322;1216;9841;1291;176368;432,823049068
23;187500;134368;12012;1275188;6134;123293;1245;9841;1320;176339;437,879874945
24;187500;134368;12012;1275188;6134;123328;1210;9841;1285;176374;435,534469843
25;187500;134368;12012;1275188;6134;123297;1241;9841;1316;176343;438,24211812
26;187500;134368;12012;1275188;6134;123304;1234;9841;1309;176350;434,959967136
27;187500;134368;12012;1275188;6134;123326;1212;9841;1287;176372;437,114276886
28;187500;134368;12012;1275188;6134;123326;1212;9841;1287;176372;435,755766153
29;187500;134368;12012;1275188;6134;123308;1230;9841;1305;176354;434,205970049
