nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;929;;;382,65
;;;;;;;;;15;;;36,01
0;187500;75632;6693;625414;3821;69546;906;5180;906;0,50%;181414;395,439499855
1;187500;75632;6693;625414;3821;69519;933;5180;933;0,51%;181387;386,056566954
2;187500;75632;6693;625414;3821;69518;934;5180;934;0,51%;181386;448,800755978
3;187500;75632;6693;625414;3821;69541;911;5180;911;0,50%;181409;374,407646894
4;187500;75632;6693;625414;3821;69524;928;5180;928;0,51%;181392;452,489751816
5;187500;75632;6693;625414;3821;69534;918;5180;918;0,50%;181402;467,042907
6;187500;75632;6693;625414;3821;69531;921;5180;921;0,51%;181399;393,35907793
7;187500;75632;6693;625414;3821;69524;928;5180;928;0,51%;181392;306,507155895
8;187500;75632;6693;625414;3821;69515;937;5180;937;0,51%;181383;422,038897038
9;187500;75632;6693;625414;3821;69516;936;5180;936;0,51%;181384;358,618476868
10;187500;75632;6693;625414;3821;69523;929;5180;929;0,51%;181391;359,847451925
11;187500;75632;6693;625414;3821;69534;918;5180;918;0,50%;181402;359,023766994
12;187500;75632;6693;625414;3821;69493;959;5180;959;0,53%;181361;360,053017855
13;187500;75632;6693;625414;3821;69516;936;5180;936;0,51%;181384;372,768481016
14;187500;75632;6693;625414;3821;69498;954;5180;954;0,52%;181366;360,499986887
15;187500;75632;6693;625414;3821;69491;961;5180;961;0,53%;181359;365,743765116
16;187500;75632;6693;625414;3821;69526;926;5180;926;0,51%;181394;416,502460003
17;187500;75632;6693;625414;3821;69529;923;5180;923;0,51%;181397;355,503885984
18;187500;75632;6693;625414;3821;69522;930;5180;930;0,51%;181390;354,513655186
19;187500;75632;6693;625414;3821;69515;937;5180;937;0,51%;181383;358,544282913
20;187500;75632;6693;625414;3821;69505;947;5180;947;0,52%;181373;413,464138031
21;187500;75632;6693;625414;3821;69520;932;5180;932;0,51%;181388;357,721351862
22;187500;75632;6693;625414;3821;69533;919;5180;919;0,50%;181401;360,065319061
23;187500;75632;6693;625414;3821;69536;916;5180;916;0,50%;181404;358,69856596
24;187500;75632;6693;625414;3821;69543;909;5180;909;0,50%;181411;361,773921967
25;187500;75632;6693;625414;3821;69549;903;5180;903;0,50%;181417;420,539412975
26;187500;75632;6693;625414;3821;69535;917;5180;917;0,50%;181403;366,726173878
27;187500;75632;6693;625414;3821;69525;927;5180;927;0,51%;181393;358,562540054
28;187500;75632;6693;625414;3821;69533;919;5180;919;0,50%;181401;425,49896121
29;187500;75632;6693;625414;3821;69510;942;5180;942;0,52%;181378;388,624756813
;;;;;;;;;;0,51%;;
;;;;;;;;;;0,01%;;
