nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1102;;;307,22
;;;;;;;;;37;;;31,47
0;187500;34105;2996;307618;1495;31116;1112;1877;1112;0,60%;184511;273,065215826
1;187500;34105;2996;307618;1495;31118;1110;1877;1110;0,60%;184513;293,171540976
2;187500;34105;2996;307618;1495;31115;1113;1877;1113;0,60%;184510;326,974413872
3;187500;34105;2996;307618;1495;31055;1173;1877;1173;0,63%;184450;328,841131926
4;187500;34105;2996;307618;1495;31182;1046;1877;1046;0,56%;184577;273,13905406
5;187500;34105;2996;307618;1495;31176;1052;1877;1052;0,57%;184571;271,399923086
6;187500;34105;2996;307618;1495;31161;1067;1877;1067;0,57%;184556;291,648838043
7;187500;34105;2996;307618;1495;31110;1118;1877;1118;0,60%;184505;313,046607971
8;187500;34105;2996;307618;1495;31163;1065;1877;1065;0,57%;184558;272,769922972
9;187500;34105;2996;307618;1495;31025;1203;1877;1203;0,65%;184420;329,710496187
10;187500;34105;2996;307618;1495;31103;1125;1877;1125;0,61%;184498;310,507200003
11;187500;34105;2996;307618;1495;31125;1103;1877;1103;0,59%;184520;269,658024073
12;187500;34105;2996;307618;1495;31197;1031;1877;1031;0,56%;184592;348,813714981
13;187500;34105;2996;307618;1495;31132;1096;1877;1096;0,59%;184527;272,174637794
14;187500;34105;2996;307618;1495;31130;1098;1877;1098;0,59%;184525;290,935915947
15;187500;34105;2996;307618;1495;31143;1085;1877;1085;0,58%;184538;365,752984047
16;187500;34105;2996;307618;1495;31105;1123;1877;1123;0,60%;184500;311,751133919
17;187500;34105;2996;307618;1495;31136;1092;1877;1092;0,59%;184531;309,01136899
18;187500;34105;2996;307618;1495;31104;1124;1877;1124;0,61%;184499;308,809537888
19;187500;34105;2996;307618;1495;31076;1152;1877;1152;0,62%;184471;386,742380857
20;187500;34105;2996;307618;1495;31155;1073;1877;1073;0,58%;184550;292,883445978
21;187500;34105;2996;307618;1495;31120;1108;1877;1108;0,60%;184515;349,168671131
22;187500;34105;2996;307618;1495;31149;1079;1877;1079;0,58%;184544;272,978395939
23;187500;34105;2996;307618;1495;31123;1105;1877;1105;0,60%;184518;347,68979001
24;187500;34105;2996;307618;1495;31135;1093;1877;1093;0,59%;184530;329,08881402
25;187500;34105;2996;307618;1495;31101;1127;1877;1127;0,61%;184496;291,542276144
26;187500;34105;2996;307618;1495;31135;1093;1877;1093;0,59%;184530;291,717954159
27;187500;34105;2996;307618;1495;31175;1053;1877;1053;0,57%;184570;290,284411907
28;187500;34105;2996;307618;1495;31088;1140;1877;1140;0,61%;184483;329,790238857
29;187500;34105;2996;307618;1495;31113;1115;1877;1115;0,60%;184508;273,624654055
;;;;;;;;;;0,59%;;
;;;;;;;;;;0,02%;;
