nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;857;;;677,41
;;;;;;;;;59;;;79,5
0;307200;230720;20664;2481056;4163;227387;767;2566;767;0,25%;303867;787,238425016
1;307200;230720;20664;2481056;4163;227278;876;2566;876;0,29%;303758;614,883589983
2;307200;230720;20664;2481056;4163;227249;905;2566;905;0,30%;303729;787,306416035
3;307200;230720;20664;2481056;4163;227230;924;2566;924;0,30%;303710;620,98350811
4;307200;230720;20664;2481056;4163;227308;846;2566;846;0,28%;303788;615,44138813
5;307200;230720;20664;2481056;4163;227243;911;2566;911;0,30%;303723;723,778021097
6;307200;230720;20664;2481056;4163;227371;783;2566;783;0,26%;303851;615,852887154
7;307200;230720;20664;2481056;4163;227263;891;2566;891;0,29%;303743;782,354675055
8;307200;230720;20664;2481056;4163;227280;874;2566;874;0,29%;303760;779,861876011
9;307200;230720;20664;2481056;4163;227257;897;2566;897;0,29%;303737;617,132340908
10;307200;230720;20664;2481056;4163;227176;978;2566;978;0,32%;303656;613,75532198
11;307200;230720;20664;2481056;4163;227376;778;2566;778;0,26%;303856;778,595935106
12;307200;230720;20664;2481056;4163;227318;836;2566;836;0,27%;303798;611,916248083
13;307200;230720;20664;2481056;4163;227200;954;2566;954;0,31%;303680;612,430463076
14;307200;230720;20664;2481056;4163;227274;880;2566;880;0,29%;303754;724,819332123
15;307200;230720;20664;2481056;4163;227273;881;2566;881;0,29%;303753;620,471957922
16;307200;230720;20664;2481056;4163;227326;828;2566;828;0,27%;303806;780,947030783
17;307200;230720;20664;2481056;4163;227237;917;2566;917;0,30%;303717;623,127029181
18;307200;230720;20664;2481056;4163;227321;833;2566;833;0,27%;303801;616,992747068
19;307200;230720;20664;2481056;4163;227290;864;2566;864;0,28%;303770;719,169145107
20;307200;230720;20664;2481056;4163;227318;836;2566;836;0,27%;303798;774,493626833
21;307200;230720;20664;2481056;4163;227259;895;2566;895;0,29%;303739;612,500339985
22;307200;230720;20664;2481056;4163;227349;805;2566;805;0,26%;303829;829,281639099
23;307200;230720;20664;2481056;4163;227288;866;2566;866;0,28%;303768;616,357038975
24;307200;230720;20664;2481056;4163;227362;792;2566;792;0,26%;303842;617,396553993
25;307200;230720;20664;2481056;4163;227256;898;2566;898;0,29%;303736;609,800455093
26;307200;230720;20664;2481056;4163;227260;894;2566;894;0,29%;303740;613,989670992
27;307200;230720;20664;2481056;4163;227424;730;2566;730;0,24%;303904;773,050376892
28;307200;230720;20664;2481056;4163;227367;787;2566;787;0,26%;303847;614,04478097
29;307200;230720;20664;2481056;4163;227368;786;2566;786;0,26%;303848;614,284873962
;;;;;;;;;;0,28%;;
;;;;;;;;;;0,02%;;
