nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1749;;;470,74
;;;;;;;;;15;;;3,65
0;234000;112029;9984;1119617;4816;108477;1668;1888;1717;0,74%;230395;483,738862038
1;234000;112029;9984;1119617;4816;108431;1714;1888;1763;0,76%;230349;471,147114992
2;234000;112029;9984;1119617;4816;108432;1713;1888;1762;0,76%;230350;472,182069063
3;234000;112029;9984;1119617;4816;108465;1680;1888;1729;0,74%;230383;471,010226011
4;234000;112029;9984;1119617;4816;108463;1682;1888;1731;0,75%;230381;468,24565196
5;234000;112029;9984;1119617;4816;108441;1704;1888;1753;0,76%;230359;469,033216953
6;234000;112029;9984;1119617;4816;108454;1691;1888;1740;0,75%;230372;471,918553114
7;234000;112029;9984;1119617;4816;108441;1704;1888;1753;0,76%;230359;470,385734081
8;234000;112029;9984;1119617;4816;108459;1686;1888;1735;0,75%;230377;469,513443947
9;234000;112029;9984;1119617;4816;108458;1687;1888;1736;0,75%;230376;466,086102962
10;234000;112029;9984;1119617;4816;108431;1714;1888;1763;0,76%;230349;470,158754826
11;234000;112029;9984;1119617;4816;108438;1707;1888;1756;0,76%;230356;466,139150143
12;234000;112029;9984;1119617;4816;108424;1721;1888;1770;0,76%;230342;468,828485012
13;234000;112029;9984;1119617;4816;108445;1700;1888;1749;0,75%;230363;467,245978832
14;234000;112029;9984;1119617;4816;108433;1712;1888;1761;0,76%;230351;467,450711966
15;234000;112029;9984;1119617;4816;108437;1708;1888;1757;0,76%;230355;469,351075888
16;234000;112029;9984;1119617;4816;108432;1713;1888;1762;0,76%;230350;468,862205982
17;234000;112029;9984;1119617;4816;108432;1713;1888;1762;0,76%;230350;471,561272144
18;234000;112029;9984;1119617;4816;108478;1667;1888;1716;0,74%;230396;469,844551802
19;234000;112029;9984;1119617;4816;108430;1715;1888;1764;0,76%;230348;473,096060991
20;234000;112029;9984;1119617;4816;108436;1709;1888;1758;0,76%;230354;470,642007828
21;234000;112029;9984;1119617;4816;108445;1700;1888;1749;0,75%;230363;472,377797127
22;234000;112029;9984;1119617;4816;108454;1691;1888;1740;0,75%;230372;469,627655029
23;234000;112029;9984;1119617;4816;108425;1720;1888;1769;0,76%;230343;481,069486856
24;234000;112029;9984;1119617;4816;108464;1681;1888;1730;0,75%;230382;467,846312046
25;234000;112029;9984;1119617;4816;108424;1721;1888;1770;0,76%;230342;470,967392921
26;234000;112029;9984;1119617;4816;108441;1704;1888;1753;0,76%;230359;470,920243979
27;234000;112029;9984;1119617;4816;108442;1703;1888;1752;0,75%;230360;470,221930981
28;234000;112029;9984;1119617;4816;108460;1685;1888;1734;0,75%;230378;470,60401082
29;234000;112029;9984;1119617;4816;108446;1699;1888;1748;0,75%;230364;472,193073988
;;;;;;;;;;0,75%;;
;;;;;;;;;;0,01%;;
