nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;916;;;425,24
;;;;;;;;;41;;;76,36
0;166500;62700;5576;605688;2017;60718;659;1326;911;0,55%;164263;431,355669022
1;166500;62700;5576;605688;2017;60727;650;1326;902;0,55%;164272;484,521672964
2;166500;62700;5576;605688;2017;60600;777;1326;1029;0,62%;164145;351,580085993
3;166500;62700;5576;605688;2017;60724;653;1326;905;0,55%;164269;483,473206043
4;166500;62700;5576;605688;2017;60658;719;1326;971;0,59%;164203;301,151482105
5;166500;62700;5576;605688;2017;60704;673;1326;925;0,56%;164249;379,495668173
6;166500;62700;5576;605688;2017;60752;625;1326;877;0,53%;164297;460,261793137
7;166500;62700;5576;605688;2017;60719;658;1326;910;0,55%;164264;481,147478819
8;166500;62700;5576;605688;2017;60659;718;1326;970;0,59%;164204;349,562206984
9;166500;62700;5576;605688;2017;60721;656;1326;908;0,55%;164266;377,385977983
10;166500;62700;5576;605688;2017;60717;660;1326;912;0,55%;164262;427,873595953
11;166500;62700;5576;605688;2017;60760;617;1326;869;0,53%;164305;481,138154984
12;166500;62700;5576;605688;2017;60729;648;1326;900;0,54%;164274;376,156723976
13;166500;62700;5576;605688;2017;60760;617;1326;869;0,53%;164305;571,316504002
14;166500;62700;5576;605688;2017;60617;760;1326;1012;0,61%;164162;294,747806072
15;166500;62700;5576;605688;2017;60690;687;1326;939;0,57%;164235;299,390644073
16;166500;62700;5576;605688;2017;60740;637;1326;889;0,54%;164285;508,564951897
17;166500;62700;5576;605688;2017;60700;677;1326;929;0,56%;164245;406,784767151
18;166500;62700;5576;605688;2017;60672;705;1326;957;0,58%;164217;404,602864981
19;166500;62700;5576;605688;2017;60687;690;1326;942;0,57%;164232;435,465666056
20;166500;62700;5576;605688;2017;60741;636;1326;888;0,54%;164286;363,64586997
21;166500;62700;5576;605688;2017;60733;644;1326;896;0,54%;164278;406,364937782
22;166500;62700;5576;605688;2017;60749;628;1326;880;0,53%;164294;378,267591
23;166500;62700;5576;605688;2017;60706;671;1326;923;0,56%;164251;431,520713091
24;166500;62700;5576;605688;2017;60708;669;1326;921;0,56%;164253;374,025779009
25;166500;62700;5576;605688;2017;60704;673;1326;925;0,56%;164249;481,928462029
26;166500;62700;5576;605688;2017;60719;658;1326;910;0,55%;164264;428,019921064
27;166500;62700;5576;605688;2017;60780;597;1326;849;0,51%;164325;590,159359932
28;166500;62700;5576;605688;2017;60725;652;1326;904;0,55%;164270;431,383364916
29;166500;62700;5576;605688;2017;60760;617;1326;869;0,53%;164305;566,028809071
;;;;;;;;;;0,55%;;
;;;;;;;;;;0,02%;;
