nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1416;;;373,7
;;;;;;;;;21;;;34,99
0;270000;103950;9324;993519;4551;100339;1374;2237;1374;0,51%;266389;357,424623966
1;270000;103950;9324;993519;4551;100273;1440;2237;1440;0,54%;266323;409,857128143
2;270000;103950;9324;993519;4551;100291;1422;2237;1422;0,53%;266341;360,247415066
3;270000;103950;9324;993519;4551;100293;1420;2237;1420;0,53%;266343;358,477539062
4;270000;103950;9324;993519;4551;100307;1406;2237;1406;0,53%;266357;460,683463812
5;270000;103950;9324;993519;4551;100279;1434;2237;1434;0,54%;266329;358,813977003
6;270000;103950;9324;993519;4551;100278;1435;2237;1435;0,54%;266328;360,157191038
7;270000;103950;9324;993519;4551;100331;1382;2237;1382;0,52%;266381;367,494796991
8;270000;103950;9324;993519;4551;100269;1444;2237;1444;0,54%;266319;410,607553005
9;270000;103950;9324;993519;4551;100315;1398;2237;1398;0,52%;266365;360,163816214
10;270000;103950;9324;993519;4551;100312;1401;2237;1401;0,52%;266362;412,3411901
11;270000;103950;9324;993519;4551;100278;1435;2237;1435;0,54%;266328;362,069862127
12;270000;103950;9324;993519;4551;100285;1428;2237;1428;0,53%;266335;361,901991129
13;270000;103950;9324;993519;4551;100316;1397;2237;1397;0,52%;266366;359,97452116
14;270000;103950;9324;993519;4551;100294;1419;2237;1419;0,53%;266344;359,181740046
15;270000;103950;9324;993519;4551;100290;1423;2237;1423;0,53%;266340;360,91384697
16;270000;103950;9324;993519;4551;100262;1451;2237;1451;0,54%;266312;358,71139884
17;270000;103950;9324;993519;4551;100317;1396;2237;1396;0,52%;266367;360,518810987
18;270000;103950;9324;993519;4551;100282;1431;2237;1431;0,53%;266332;512,069542885
19;270000;103950;9324;993519;4551;100289;1424;2237;1424;0,53%;266339;359,438905001
20;270000;103950;9324;993519;4551;100320;1393;2237;1393;0,52%;266370;361,176440001
21;270000;103950;9324;993519;4551;100317;1396;2237;1396;0,52%;266367;361,686613798
22;270000;103950;9324;993519;4551;100307;1406;2237;1406;0,53%;266357;358,698740959
23;270000;103950;9324;993519;4551;100331;1382;2237;1382;0,52%;266381;359,595087051
24;270000;103950;9324;993519;4551;100261;1452;2237;1452;0,54%;266311;360,057394981
25;270000;103950;9324;993519;4551;100273;1440;2237;1440;0,54%;266323;360,90278101
26;270000;103950;9324;993519;4551;100304;1409;2237;1409;0,53%;266354;358,992002964
27;270000;103950;9324;993519;4551;100306;1407;2237;1407;0,53%;266356;359,46687603
28;270000;103950;9324;993519;4551;100303;1410;2237;1410;0,53%;266353;360,891768932
29;270000;103950;9324;993519;4551;100290;1423;2237;1423;0,53%;266340;358,437290907
;;;;;;;;;;0,53%;;
;;;;;;;;;;0,01%;;
