nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;143;;;273,7
;;;;;;;;;9;;;34,1
0;143424;45312;4028;373544;2127;42137;147;3028;147;0,10%;140249;262,388838053
1;143424;45312;4028;373544;2127;42130;154;3028;154;0,11%;140242;264,618325949
2;143424;45312;4028;373544;2127;42152;132;3028;132;0,09%;140264;262,151648998
3;143424;45312;4028;373544;2127;42151;133;3028;133;0,09%;140263;264,575175047
4;143424;45312;4028;373544;2127;42126;158;3028;158;0,11%;140238;265,261038065
5;143424;45312;4028;373544;2127;42149;135;3028;135;0,10%;140261;266,502609015
6;143424;45312;4028;373544;2127;42130;154;3028;154;0,11%;140242;264,344573021
7;143424;45312;4028;373544;2127;42137;147;3028;147;0,10%;140249;266,175572872
8;143424;45312;4028;373544;2127;42117;167;3028;167;0,12%;140229;262,990036011
9;143424;45312;4028;373544;2127;42152;132;3028;132;0,09%;140264;398,125233889
10;143424;45312;4028;373544;2127;42141;143;3028;143;0,10%;140253;265,988766909
11;143424;45312;4028;373544;2127;42143;141;3028;141;0,10%;140255;265,62715888
12;143424;45312;4028;373544;2127;42151;133;3028;133;0,09%;140263;265,838903904
13;143424;45312;4028;373544;2127;42149;135;3028;135;0,10%;140261;265,729119062
14;143424;45312;4028;373544;2127;42142;142;3028;142;0,10%;140254;265,08920002
15;143424;45312;4028;373544;2127;42139;145;3028;145;0,10%;140251;264,75486207
16;143424;45312;4028;373544;2127;42136;148;3028;148;0,11%;140248;399,812934875
17;143424;45312;4028;373544;2127;42150;134;3028;134;0,10%;140262;264,00267911
18;143424;45312;4028;373544;2127;42135;149;3028;149;0,11%;140247;261,499603033
19;143424;45312;4028;373544;2127;42146;138;3028;138;0,10%;140258;261,804271936
20;143424;45312;4028;373544;2127;42136;148;3028;148;0,11%;140248;263,932086945
21;143424;45312;4028;373544;2127;42148;136;3028;136;0,10%;140260;266,356921911
22;143424;45312;4028;373544;2127;42152;132;3028;132;0,09%;140264;263,918662786
23;143424;45312;4028;373544;2127;42144;140;3028;140;0,10%;140256;266,436290979
24;143424;45312;4028;373544;2127;42144;140;3028;140;0,10%;140256;263,933717012
25;143424;45312;4028;373544;2127;42131;153;3028;153;0,11%;140243;266,485591888
26;143424;45312;4028;373544;2127;42135;149;3028;149;0,11%;140247;264,0470469
27;143424;45312;4028;373544;2127;42149;135;3028;135;0,10%;140261;266,530021906
28;143424;45312;4028;373544;2127;42151;133;3028;133;0,09%;140263;262,048413992
29;143424;45312;4028;373544;2127;42137;147;3028;147;0,10%;140249;269,961855173
;;;;;;;;;;0,10%;;
;;;;;;;;;;0,01%;;
