nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;399;;;374,65
;;;;;;;;;12;;;46,34
0;167000;85050;7614;775282;3686;77724;389;6958;389;0,24%;159653;355,531162024
1;167000;85050;7614;775282;3686;77723;390;6958;390;0,24%;159652;353,122411966
2;167000;85050;7614;775282;3686;77706;407;6958;407;0,25%;159635;355,200242996
3;167000;85050;7614;775282;3686;77716;397;6958;397;0,25%;159645;350,505371809
4;167000;85050;7614;775282;3686;77730;383;6958;383;0,24%;159659;356,217119932
5;167000;85050;7614;775282;3686;77726;387;6958;387;0,24%;159655;406,937734842
6;167000;85050;7614;775282;3686;77699;414;6958;414;0,26%;159628;356,057347059
7;167000;85050;7614;775282;3686;77725;388;6958;388;0,24%;159654;355,285681009
8;167000;85050;7614;775282;3686;77714;399;6958;399;0,25%;159643;356,889209032
9;167000;85050;7614;775282;3686;77711;402;6958;402;0,25%;159640;357,57625699
10;167000;85050;7614;775282;3686;77734;379;6958;379;0,24%;159663;359,38379693
11;167000;85050;7614;775282;3686;77725;388;6958;388;0,24%;159654;361,375164032
12;167000;85050;7614;775282;3686;77704;409;6958;409;0,26%;159633;409,834633827
13;167000;85050;7614;775282;3686;77728;385;6958;385;0,24%;159657;404,652898073
14;167000;85050;7614;775282;3686;77703;410;6958;410;0,26%;159632;413,812736034
15;167000;85050;7614;775282;3686;77721;392;6958;392;0,24%;159650;519,06388998
16;167000;85050;7614;775282;3686;77715;398;6958;398;0,25%;159644;414,188246012
17;167000;85050;7614;775282;3686;77712;401;6958;401;0,25%;159641;447,432914972
18;167000;85050;7614;775282;3686;77722;391;6958;391;0,24%;159651;351,241036177
19;167000;85050;7614;775282;3686;77713;400;6958;400;0,25%;159642;331,570970058
20;167000;85050;7614;775282;3686;77681;432;6958;432;0,27%;159610;333,924870968
21;167000;85050;7614;775282;3686;77724;389;6958;389;0,24%;159653;337,774215937
22;167000;85050;7614;775282;3686;77718;395;6958;395;0,25%;159647;337,094940901
23;167000;85050;7614;775282;3686;77714;399;6958;399;0,25%;159643;337,102048874
24;167000;85050;7614;775282;3686;77694;419;6958;419;0,26%;159623;488,987794161
25;167000;85050;7614;775282;3686;77700;413;6958;413;0,26%;159629;332,705543041
26;167000;85050;7614;775282;3686;77714;399;6958;399;0,25%;159643;382,516731977
27;167000;85050;7614;775282;3686;77714;399;6958;399;0,25%;159643;339,44643712
28;167000;85050;7614;775282;3686;77709;404;6958;404;0,25%;159638;339,850854874
29;167000;85050;7614;775282;3686;77706;407;6958;407;0,25%;159635;394,339555025
;;;;;;;;;;0,25%;;
;;;;;;;;;;0,01%;;
