nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;2044;;;838,99
;;;;;;;;;106;;;171,41
0;307200;167217;15000;1721171;4377;161981;2040;3196;2040;0,67%;301964;746,031641006
1;307200;167217;15000;1721171;4377;161788;2233;3196;2233;0,73%;301771;633,415021896
2;307200;167217;15000;1721171;4377;162144;1877;3196;1877;0,62%;302127;925,187268972
3;307200;167217;15000;1721171;4377;161870;2151;3196;2151;0,71%;301853;694,485517025
4;307200;167217;15000;1721171;4377;161910;2111;3196;2111;0,69%;301893;1057,36965489
5;307200;167217;15000;1721171;4377;161926;2095;3196;2095;0,69%;301909;1211,26558208
6;307200;167217;15000;1721171;4377;162091;1930;3196;1930;0,63%;302074;1231,43385601
7;307200;167217;15000;1721171;4377;161946;2075;3196;2075;0,68%;301929;950,675258875
8;307200;167217;15000;1721171;4377;161923;2098;3196;2098;0,69%;301906;750,12824893
9;307200;167217;15000;1721171;4377;162002;2019;3196;2019;0,66%;301985;745,325239897
10;307200;167217;15000;1721171;4377;161958;2063;3196;2063;0,68%;301941;796,934123993
11;307200;167217;15000;1721171;4377;161864;2157;3196;2157;0,71%;301847;642,94741106
12;307200;167217;15000;1721171;4377;161909;2112;3196;2112;0,69%;301892;858,604635954
13;307200;167217;15000;1721171;4377;161914;2107;3196;2107;0,69%;301897;750,117156029
14;307200;167217;15000;1721171;4377;161909;2112;3196;2112;0,69%;301892;750,303146124
15;307200;167217;15000;1721171;4377;161971;2050;3196;2050;0,67%;301954;748,17196393
16;307200;167217;15000;1721171;4377;162146;1875;3196;1875;0,62%;302129;908,863893032
17;307200;167217;15000;1721171;4377;162171;1850;3196;1850;0,61%;302154;918,319962978
18;307200;167217;15000;1721171;4377;161857;2164;3196;2164;0,71%;301840;674,962412119
19;307200;167217;15000;1721171;4377;161967;2054;3196;2054;0,68%;301950;789,92809701
20;307200;167217;15000;1721171;4377;161935;2086;3196;2086;0,69%;301918;901,779340982
21;307200;167217;15000;1721171;4377;161975;2046;3196;2046;0,67%;301958;987,414101839
22;307200;167217;15000;1721171;4377;161984;2037;3196;2037;0,67%;301967;1013,0154891
23;307200;167217;15000;1721171;4377;162272;1749;3196;1749;0,58%;302255;1180,62480307
24;307200;167217;15000;1721171;4377;161858;2163;3196;2163;0,71%;301841;582,003757
25;307200;167217;15000;1721171;4377;161993;2028;3196;2028;0,67%;301976;726,681848049
26;307200;167217;15000;1721171;4377;162041;1980;3196;1980;0,65%;302024;677,500757933
27;307200;167217;15000;1721171;4377;162042;1979;3196;1979;0,65%;302025;778,56824398
28;307200;167217;15000;1721171;4377;162040;1981;3196;1981;0,65%;302023;828,616482019
29;307200;167217;15000;1721171;4377;161928;2093;3196;2093;0,69%;301911;708,99987793
;;;;;;;;;;0,67%;;
;;;;;;;;;;0,03%;;
