nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1048;;;351,23
;;;;;;;;;44;;;47,02
0;207000;73914;6612;718659;2738;70834;993;2087;993;0,48%;203920;371,836379051
1;207000;73914;6612;718659;2738;70715;1112;2087;1112;0,54%;203801;370,421028852
2;207000;73914;6612;718659;2738;70723;1104;2087;1104;0,54%;203809;336,156532049
3;207000;73914;6612;718659;2738;70782;1045;2087;1045;0,51%;203868;401,643355131
4;207000;73914;6612;718659;2738;70735;1092;2087;1092;0,53%;203821;338,454197168
5;207000;73914;6612;718659;2738;70755;1072;2087;1072;0,52%;203841;370,173434973
6;207000;73914;6612;718659;2738;70830;997;2087;997;0,49%;203916;309,150367975
7;207000;73914;6612;718659;2738;70744;1083;2087;1083;0,53%;203830;428,257673025
8;207000;73914;6612;718659;2738;70775;1052;2087;1052;0,51%;203861;306,90309906
9;207000;73914;6612;718659;2738;70710;1117;2087;1117;0,55%;203796;365,760320902
10;207000;73914;6612;718659;2738;70738;1089;2087;1089;0,53%;203824;307,746649027
11;207000;73914;6612;718659;2738;70795;1032;2087;1032;0,50%;203881;335,83555007
12;207000;73914;6612;718659;2738;70812;1015;2087;1015;0,50%;203898;370,451052904
13;207000;73914;6612;718659;2738;70811;1016;2087;1016;0,50%;203897;274,634392023
14;207000;73914;6612;718659;2738;70807;1020;2087;1020;0,50%;203893;309,739221096
15;207000;73914;6612;718659;2738;70728;1099;2087;1099;0,54%;203814;369,060928106
16;207000;73914;6612;718659;2738;70821;1006;2087;1006;0,49%;203907;279,361109972
17;207000;73914;6612;718659;2738;70773;1054;2087;1054;0,51%;203859;430,938274145
18;207000;73914;6612;718659;2738;70864;963;2087;963;0,47%;203950;340,075107098
19;207000;73914;6612;718659;2738;70773;1054;2087;1054;0,51%;203859;275,54942894
20;207000;73914;6612;718659;2738;70784;1043;2087;1043;0,51%;203870;397,416540861
21;207000;73914;6612;718659;2738;70780;1047;2087;1047;0,51%;203866;368,049257994
22;207000;73914;6612;718659;2738;70792;1035;2087;1035;0,51%;203878;276,65524292
23;207000;73914;6612;718659;2738;70802;1025;2087;1025;0,50%;203888;349,062088013
24;207000;73914;6612;718659;2738;70718;1109;2087;1109;0,54%;203804;428,289538145
25;207000;73914;6612;718659;2738;70876;951;2087;951;0,46%;203962;372,983159065
26;207000;73914;6612;718659;2738;70727;1100;2087;1100;0,54%;203813;429,416502953
27;207000;73914;6612;718659;2738;70767;1060;2087;1060;0,52%;203853;314,580127001
28;207000;73914;6612;718659;2738;70766;1061;2087;1061;0,52%;203852;370,168117046
29;207000;73914;6612;718659;2738;70820;1007;2087;1007;0,49%;203906;338,108375788
;;;;;;;;;;0,51%;;
;;;;;;;;;;0,02%;;
