nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;403;;;224,88
;;;;;;;;;1;;;26,77
0;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;230,652310848
1;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;231,538970947
2;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;205,319487095
3;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;282,818435907
4;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;227,835026979
5;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;273,666062117
6;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;226,618242025
7;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;223,427547932
8;187500;11850;1035;93503;683;10571;403;876;403;0,22%;186221;209,565976858
9;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;192,879339933
10;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;250,484803915
11;187500;11850;1035;93503;683;10575;399;876;399;0,21%;186225;208,406591177
12;187500;11850;1035;93503;683;10571;403;876;403;0,22%;186221;261,487093925
13;187500;11850;1035;93503;683;10571;403;876;403;0,22%;186221;232,276751041
14;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;210,396493912
15;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;275,468049049
16;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;199,092936993
17;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;218,398902178
18;187500;11850;1035;93503;683;10571;403;876;403;0,22%;186221;208,015605927
19;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;194,371211052
20;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;252,167860031
21;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;211,580156088
22;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;192,295865059
23;187500;11850;1035;93503;683;10571;403;876;403;0,22%;186221;234,889630079
24;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;219,677927017
25;187500;11850;1035;93503;683;10574;400;876;400;0,21%;186224;231,002266169
26;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;260,468236923
27;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;194,811151028
28;187500;11850;1035;93503;683;10573;401;876;401;0,21%;186223;194,082461119
29;187500;11850;1035;93503;683;10570;404;876;404;0,22%;186220;192,717541933
;;;;;;;;;;0,22%;;
;;;;;;;;;;0,00%;;
